country,city,years,rows,sst_mean,wind_cf,ci_mean,price
USA,Los Angeles,2025,8760,17.59938356164384,0.14030614940563985,149.46461187214612,127.5
CHN,Shanghai,2025,8760,19.608447488584474,0.42110522995911526,441.4961187214612,55.65
GBR,Cardiff,2025,8760,13.192979452054795,0.44142163125652745,112.08949771689498,305.2564102564103
AUS,Sydney,2025,8760,21.278116438356168,0.43008012690591485,469.76963470319635,236.8421052631579
JPN,Tokyo,2025,8760,18.49764840182649,0.3367624488841693,447.44018264840184,130.8493536808262
IRL,Dublin,2025,8760,12.21953196347032,0.4938081326163879,225.8615296803653,269.3478260869565
NOR,Oslo,2025,8760,10.402454337899544,0.1406087167184929,0.9950913242009133,80.86956521739128
IND,Mumbai,2025,8760,28.403778538812787,0.2517436937631874,598.237100456621,106.95
MYS,Johor Bahru,2025,8760,29.761312785388128,0.10040048537941632,573.6307077625571,113.71
PRT,Lisbon,2025,8760,16.854657534246574,0.4444831973579319,75.05342465753425,123.15217391304347
KOR,Incheon,2025,8760,14.476963470319633,0.33474019686475326,356.79897260273975,126.88318737255938
NLD,Amsterdam,2025,8760,12.639018264840184,0.5006990686696795,195.6173515981735,174.89130434782606
CAN,Vancouver,2025,8760,12.111472602739726,0.10123910082232114,23.456849315068492,83.06569343065692
IDN,Jakarta,2025,8760,29.81904109589041,0.10078475399771099,587.3527397260274,78.14
SGP,Singapore,2025,8760,29.761312785388128,0.10040048537941632,365.797602739726,188.06
