country,city,years,rows,sst_mean,wind_cf,ci_mean,price
USA,Los Angeles,"2023,2024",17544,17.586496808025537,0.15772684782082977,179.4983470132239,127.5
CHN,Shanghai,"2023,2024",17544,19.073050615595076,0.3916223207375873,474.765731874145,55.65
GBR,Cardiff,"2023,2024",17544,12.981777245782034,0.45223984104173637,123.74555403556772,305.2564102564103
AUS,Sydney,"2023,2024",17544,21.092983356133153,0.36687778440193564,500.4139306885545,236.8421052631579
JPN,Tokyo,"2023,2024",17544,18.567373461012313,0.31534875565769743,450.4794231646147,130.8493536808262
IRL,Dublin,"2023,2024",17544,12.080335157318743,0.5127824727626417,306.0392726858185,269.3478260869565
NOR,Oslo,"2023,2024",17544,9.511200410396716,0.1411248728795148,2.750170998632011,80.86956521739128
IND,Mumbai,"2023,2024",17544,28.61340059279526,0.22637219287720572,609.046967624259,106.95
MYS,Johor Bahru,"2023,2024",17544,29.69276105791154,0.09143801097386657,568.3946648426812,113.71
PRT,Lisbon,"2023,2024",17544,17.36973324213406,0.4345806892426473,79.35043319653442,123.15217391304347
KOR,Incheon,"2023,2024",17544,14.815338577291381,0.30603800461904246,367.18724350205196,126.88318737255938
NLD,Amsterdam,"2023,2024",17544,12.994476744186047,0.5314056978384509,201.02929776561788,174.89130434782606
CAN,Vancouver,"2023,2024",17544,11.782911536707708,0.11193827348692544,27.424874601003193,83.06569343065692
IDN,Jakarta,"2023,2024",17544,29.82124373005016,0.07882338982091802,582.2889876880985,78.14
SGP,Singapore,"2023,2024",17544,29.69276105791154,0.09143801097386657,368.07250341997263,188.06
