timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2025-01-01 00:00:00,1.23,1.29,33.25,-118.75,33.25,-118.75
2025-01-01 01:00:00,1.17,1.24,33.25,-118.75,33.25,-118.75
2025-01-01 02:00:00,0.35,0.35,33.25,-118.75,33.25,-118.75
2025-01-01 03:00:00,0.07,0.11,33.25,-118.75,33.25,-118.75
2025-01-01 04:00:00,0.78,0.76,33.25,-118.75,33.25,-118.75
2025-01-01 05:00:00,0.6,0.56,33.25,-118.75,33.25,-118.75
2025-01-01 06:00:00,0.74,0.74,33.25,-118.75,33.25,-118.75
2025-01-01 07:00:00,1.35,1.35,33.25,-118.75,33.25,-118.75
2025-01-01 08:00:00,1.74,1.77,33.25,-118.75,33.25,-118.75
2025-01-01 09:00:00,2.7,2.77,33.25,-118.75,33.25,-118.75
2025-01-01 10:00:00,2.84,2.94,33.25,-118.75,33.25,-118.75
2025-01-01 11:00:00,3.43,3.61,33.25,-118.75,33.25,-118.75
2025-01-01 12:00:00,3.8,4.05,33.25,-118.75,33.25,-118.75
2025-01-01 13:00:00,3.07,3.23,33.25,-118.75,33.25,-118.75
2025-01-01 14:00:00,2.13,2.18,33.25,-118.75,33.25,-118.75
2025-01-01 15:00:00,1.37,1.37,33.25,-118.75,33.25,-118.75
2025-01-01 16:00:00,1.51,1.51,33.25,-118.75,33.25,-118.75
2025-01-01 17:00:00,1.63,1.74,33.25,-118.75,33.25,-118.75
2025-01-01 18:00:00,1.62,1.67,33.25,-118.75,33.25,-118.75
2025-01-01 19:00:00,2.17,2.25,33.25,-118.75,33.25,-118.75
2025-01-01 20:00:00,3.2,3.35,33.25,-118.75,33.25,-118.75
2025-01-01 21:00:00,4.03,4.32,33.25,-118.75,33.25,-118.75
2025-01-01 22:00:00,3.09,3.29,33.25,-118.75,33.25,-118.75
2025-01-01 23:00:00,3.11,3.29,33.25,-118.75,33.25,-118.75
2025-01-02 00:00:00,3.51,3.74,33.25,-118.75,33.25,-118.75
2025-01-02 01:00:00,2.86,3.08,33.25,-118.75,33.25,-118.75
2025-01-02 02:00:00,1.54,1.64,33.25,-118.75,33.25,-118.75
2025-01-02 03:00:00,0.92,1.0,33.25,-118.75,33.25,-118.75
2025-01-02 04:00:00,0.75,0.85,33.25,-118.75,33.25,-118.75
2025-01-02 05:00:00,0.65,0.76,33.25,-118.75,33.25,-118.75
2025-01-02 06:00:00,0.25,0.16,33.25,-118.75,33.25,-118.75
2025-01-02 07:00:00,0.32,0.4,33.25,-118.75,33.25,-118.75
2025-01-02 08:00:00,1.07,0.85,33.25,-118.75,33.25,-118.75
2025-01-02 09:00:00,2.0,1.92,33.25,-118.75,33.25,-118.75
2025-01-02 10:00:00,1.43,1.29,33.25,-118.75,33.25,-118.75
2025-01-02 11:00:00,1.12,0.92,33.25,-118.75,33.25,-118.75
2025-01-02 12:00:00,1.05,0.91,33.25,-118.75,33.25,-118.75
2025-01-02 13:00:00,1.58,1.68,33.25,-118.75,33.25,-118.75
2025-01-02 14:00:00,1.9,2.25,33.25,-118.75,33.25,-118.75
2025-01-02 15:00:00,2.17,2.66,33.25,-118.75,33.25,-118.75
2025-01-02 16:00:00,2.04,2.67,33.25,-118.75,33.25,-118.75
2025-01-02 17:00:00,1.8,2.38,33.25,-118.75,33.25,-118.75
2025-01-02 18:00:00,1.74,2.18,33.25,-118.75,33.25,-118.75
2025-01-02 19:00:00,1.53,1.97,33.25,-118.75,33.25,-118.75
2025-01-02 20:00:00,1.1,1.5,33.25,-118.75,33.25,-118.75
2025-01-02 21:00:00,1.1,1.4,33.25,-118.75,33.25,-118.75
2025-01-02 22:00:00,0.67,0.74,33.25,-118.75,33.25,-118.75
2025-01-02 23:00:00,2.0,2.05,33.25,-118.75,33.25,-118.75
2025-01-03 00:00:00,2.58,2.73,33.25,-118.75,33.25,-118.75
2025-01-03 01:00:00,2.53,2.75,33.25,-118.75,33.25,-118.75
2025-01-03 02:00:00,2.07,2.31,33.25,-118.75,33.25,-118.75
2025-01-03 03:00:00,1.89,2.14,33.25,-118.75,33.25,-118.75
2025-01-03 04:00:00,1.61,1.86,33.25,-118.75,33.25,-118.75
2025-01-03 05:00:00,1.45,1.75,33.25,-118.75,33.25,-118.75
2025-01-03 06:00:00,1.76,2.14,33.25,-118.75,33.25,-118.75
2025-01-03 07:00:00,2.17,2.62,33.25,-118.75,33.25,-118.75
2025-01-03 08:00:00,2.27,2.81,33.25,-118.75,33.25,-118.75
2025-01-03 09:00:00,2.39,2.91,33.25,-118.75,33.25,-118.75
2025-01-03 10:00:00,1.35,1.62,33.25,-118.75,33.25,-118.75
2025-01-03 11:00:00,1.14,1.36,33.25,-118.75,33.25,-118.75
2025-01-03 12:00:00,0.67,0.85,33.25,-118.75,33.25,-118.75
2025-01-03 13:00:00,1.11,1.32,33.25,-118.75,33.25,-118.75
2025-01-03 14:00:00,2.13,2.33,33.25,-118.75,33.25,-118.75
2025-01-03 15:00:00,2.13,2.28,33.25,-118.75,33.25,-118.75
2025-01-03 16:00:00,1.98,2.13,33.25,-118.75,33.25,-118.75
2025-01-03 17:00:00,1.56,1.77,33.25,-118.75,33.25,-118.75
2025-01-03 18:00:00,1.6,1.75,33.25,-118.75,33.25,-118.75
2025-01-03 19:00:00,1.7,1.84,33.25,-118.75,33.25,-118.75
2025-01-03 20:00:00,2.72,2.88,33.25,-118.75,33.25,-118.75
2025-01-03 21:00:00,3.65,3.85,33.25,-118.75,33.25,-118.75
2025-01-03 22:00:00,1.54,1.54,33.25,-118.75,33.25,-118.75
2025-01-03 23:00:00,2.71,2.83,33.25,-118.75,33.25,-118.75
2025-01-04 00:00:00,3.0,3.15,33.25,-118.75,33.25,-118.75
2025-01-04 01:00:00,3.76,4.03,33.25,-118.75,33.25,-118.75
2025-01-04 02:00:00,4.81,5.26,33.25,-118.75,33.25,-118.75
2025-01-04 03:00:00,5.04,5.51,33.25,-118.75,33.25,-118.75
2025-01-04 04:00:00,5.16,5.7,33.25,-118.75,33.25,-118.75
2025-01-04 05:00:00,4.23,4.68,33.25,-118.75,33.25,-118.75
2025-01-04 06:00:00,4.17,4.79,33.25,-118.75,33.25,-118.75
2025-01-04 07:00:00,4.97,5.88,33.25,-118.75,33.25,-118.75
2025-01-04 08:00:00,4.85,5.91,33.25,-118.75,33.25,-118.75
2025-01-04 09:00:00,4.76,6.05,33.25,-118.75,33.25,-118.75
2025-01-04 10:00:00,5.95,6.78,33.25,-118.75,33.25,-118.75
2025-01-04 11:00:00,6.18,6.97,33.25,-118.75,33.25,-118.75
2025-01-04 12:00:00,6.15,6.86,33.25,-118.75,33.25,-118.75
2025-01-04 13:00:00,5.51,5.98,33.25,-118.75,33.25,-118.75
2025-01-04 14:00:00,5.12,5.5,33.25,-118.75,33.25,-118.75
2025-01-04 15:00:00,4.22,4.43,33.25,-118.75,33.25,-118.75
2025-01-04 16:00:00,2.85,2.9,33.25,-118.75,33.25,-118.75
2025-01-04 17:00:00,1.86,1.98,33.25,-118.75,33.25,-118.75
2025-01-04 18:00:00,1.68,1.8,33.25,-118.75,33.25,-118.75
2025-01-04 19:00:00,1.8,1.86,33.25,-118.75,33.25,-118.75
2025-01-04 20:00:00,1.85,1.87,33.25,-118.75,33.25,-118.75
2025-01-04 21:00:00,2.88,2.95,33.25,-118.75,33.25,-118.75
2025-01-04 22:00:00,1.52,1.55,33.25,-118.75,33.25,-118.75
2025-01-04 23:00:00,2.27,2.36,33.25,-118.75,33.25,-118.75
