timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2023-01-01 00:00:00,12.71,17.17,51.25,-3.75,51.25,-3.75
2023-01-01 01:00:00,11.62,15.48,51.25,-3.75,51.25,-3.75
2023-01-01 02:00:00,10.7,14.31,51.25,-3.75,51.25,-3.75
2023-01-01 03:00:00,9.9,13.58,51.25,-3.75,51.25,-3.75
2023-01-01 04:00:00,9.62,13.08,51.25,-3.75,51.25,-3.75
2023-01-01 05:00:00,9.27,12.94,51.25,-3.75,51.25,-3.75
2023-01-01 06:00:00,10.18,14.14,51.25,-3.75,51.25,-3.75
2023-01-01 07:00:00,10.41,14.43,51.25,-3.75,51.25,-3.75
2023-01-01 08:00:00,9.75,13.41,51.25,-3.75,51.25,-3.75
2023-01-01 09:00:00,9.4,13.06,51.25,-3.75,51.25,-3.75
2023-01-01 10:00:00,8.55,12.23,51.25,-3.75,51.25,-3.75
2023-01-01 11:00:00,8.78,12.43,51.25,-3.75,51.25,-3.75
2023-01-01 12:00:00,7.88,11.32,51.25,-3.75,51.25,-3.75
2023-01-01 13:00:00,7.61,10.89,51.25,-3.75,51.25,-3.75
2023-01-01 14:00:00,7.34,10.53,51.25,-3.75,51.25,-3.75
2023-01-01 15:00:00,6.8,9.77,51.25,-3.75,51.25,-3.75
2023-01-01 16:00:00,6.26,8.91,51.25,-3.75,51.25,-3.75
2023-01-01 17:00:00,6.14,8.7,51.25,-3.75,51.25,-3.75
2023-01-01 18:00:00,5.05,7.5,51.25,-3.75,51.25,-3.75
2023-01-01 19:00:00,4.66,7.03,51.25,-3.75,51.25,-3.75
2023-01-01 20:00:00,4.84,7.16,51.25,-3.75,51.25,-3.75
2023-01-01 21:00:00,5.64,8.05,51.25,-3.75,51.25,-3.75
2023-01-01 22:00:00,6.59,9.69,51.25,-3.75,51.25,-3.75
2023-01-01 23:00:00,6.8,9.67,51.25,-3.75,51.25,-3.75
2023-01-02 00:00:00,7.34,10.0,51.25,-3.75,51.25,-3.75
2023-01-02 01:00:00,7.02,9.3,51.25,-3.75,51.25,-3.75
2023-01-02 02:00:00,6.01,8.19,51.25,-3.75,51.25,-3.75
2023-01-02 03:00:00,5.95,7.88,51.25,-3.75,51.25,-3.75
2023-01-02 04:00:00,6.48,8.32,51.25,-3.75,51.25,-3.75
2023-01-02 05:00:00,6.31,8.16,51.25,-3.75,51.25,-3.75
2023-01-02 06:00:00,5.42,6.96,51.25,-3.75,51.25,-3.75
2023-01-02 07:00:00,4.61,5.97,51.25,-3.75,51.25,-3.75
2023-01-02 08:00:00,4.11,5.32,51.25,-3.75,51.25,-3.75
2023-01-02 09:00:00,3.81,4.95,51.25,-3.75,51.25,-3.75
2023-01-02 10:00:00,3.75,4.69,51.25,-3.75,51.25,-3.75
2023-01-02 11:00:00,4.5,5.2,51.25,-3.75,51.25,-3.75
2023-01-02 12:00:00,5.1,5.8,51.25,-3.75,51.25,-3.75
2023-01-02 13:00:00,5.02,5.83,51.25,-3.75,51.25,-3.75
2023-01-02 14:00:00,4.69,5.51,51.25,-3.75,51.25,-3.75
2023-01-02 15:00:00,4.02,5.0,51.25,-3.75,51.25,-3.75
