timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2023-01-01 00:00:00,5.69,6.32,-34.0,152.0,-34.0,152.0
2023-01-01 01:00:00,5.91,6.69,-34.0,152.0,-34.0,152.0
2023-01-01 02:00:00,6.19,6.96,-34.0,152.0,-34.0,152.0
2023-01-01 03:00:00,6.1,6.88,-34.0,152.0,-34.0,152.0
2023-01-01 04:00:00,6.35,7.13,-34.0,152.0,-34.0,152.0
2023-01-01 05:00:00,6.44,7.21,-34.0,152.0,-34.0,152.0
2023-01-01 06:00:00,6.59,7.53,-34.0,152.0,-34.0,152.0
2023-01-01 07:00:00,6.85,7.74,-34.0,152.0,-34.0,152.0
2023-01-01 08:00:00,7.2,8.14,-34.0,152.0,-34.0,152.0
2023-01-01 09:00:00,7.29,8.32,-34.0,152.0,-34.0,152.0
2023-01-01 10:00:00,6.81,7.7,-34.0,152.0,-34.0,152.0
2023-01-01 11:00:00,6.95,7.8,-34.0,152.0,-34.0,152.0
2023-01-01 12:00:00,6.74,7.6,-34.0,152.0,-34.0,152.0
2023-01-01 13:00:00,6.58,7.36,-34.0,152.0,-34.0,152.0
2023-01-01 14:00:00,6.1,6.74,-34.0,152.0,-34.0,152.0
2023-01-01 15:00:00,5.88,6.44,-34.0,152.0,-34.0,152.0
2023-01-01 16:00:00,5.45,6.01,-34.0,152.0,-34.0,152.0
2023-01-01 17:00:00,4.88,5.38,-34.0,152.0,-34.0,152.0
2023-01-01 18:00:00,4.48,4.84,-34.0,152.0,-34.0,152.0
2023-01-01 19:00:00,4.0,4.3,-34.0,152.0,-34.0,152.0
2023-01-01 20:00:00,3.88,4.19,-34.0,152.0,-34.0,152.0
2023-01-01 21:00:00,3.91,4.19,-34.0,152.0,-34.0,152.0
2023-01-01 22:00:00,3.47,3.75,-34.0,152.0,-34.0,152.0
2023-01-01 23:00:00,3.61,3.89,-34.0,152.0,-34.0,152.0
2023-01-02 00:00:00,4.55,4.97,-34.0,152.0,-34.0,152.0
2023-01-02 01:00:00,5.28,5.73,-34.0,152.0,-34.0,152.0
2023-01-02 02:00:00,5.25,5.66,-34.0,152.0,-34.0,152.0
2023-01-02 03:00:00,5.64,6.18,-34.0,152.0,-34.0,152.0
2023-01-02 04:00:00,6.31,6.95,-34.0,152.0,-34.0,152.0
2023-01-02 05:00:00,7.29,8.13,-34.0,152.0,-34.0,152.0
2023-01-02 06:00:00,7.86,8.92,-34.0,152.0,-34.0,152.0
2023-01-02 07:00:00,8.44,9.71,-34.0,152.0,-34.0,152.0
2023-01-02 08:00:00,8.72,10.21,-34.0,152.0,-34.0,152.0
2023-01-02 09:00:00,9.07,10.7,-34.0,152.0,-34.0,152.0
2023-01-02 10:00:00,9.98,11.67,-34.0,152.0,-34.0,152.0
2023-01-02 11:00:00,9.48,11.03,-34.0,152.0,-34.0,152.0
2023-01-02 12:00:00,9.28,10.77,-34.0,152.0,-34.0,152.0
2023-01-02 13:00:00,8.88,10.32,-34.0,152.0,-34.0,152.0
2023-01-02 14:00:00,8.32,9.53,-34.0,152.0,-34.0,152.0
2023-01-02 15:00:00,8.32,9.62,-34.0,152.0,-34.0,152.0
2023-01-02 16:00:00,8.12,9.42,-34.0,152.0,-34.0,152.0
2023-01-02 17:00:00,8.1,9.27,-34.0,152.0,-34.0,152.0
2023-01-02 18:00:00,8.01,9.08,-34.0,152.0,-34.0,152.0
2023-01-02 19:00:00,7.74,8.81,-34.0,152.0,-34.0,152.0
2023-01-02 20:00:00,7.33,8.19,-34.0,152.0,-34.0,152.0
2023-01-02 21:00:00,7.2,7.96,-34.0,152.0,-34.0,152.0
