timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2025-01-01 00:00:00,8.43,10.41,53.25,-5.5,53.25,-5.5
2025-01-01 01:00:00,7.85,9.16,53.25,-5.5,53.25,-5.5
2025-01-01 02:00:00,8.25,9.46,53.25,-5.5,53.25,-5.5
2025-01-01 03:00:00,9.5,10.67,53.25,-5.5,53.25,-5.5
2025-01-01 04:00:00,10.41,11.81,53.25,-5.5,53.25,-5.5
2025-01-01 05:00:00,10.14,11.5,53.25,-5.5,53.25,-5.5
2025-01-01 06:00:00,12.13,13.9,53.25,-5.5,53.25,-5.5
2025-01-01 07:00:00,12.64,14.79,53.25,-5.5,53.25,-5.5
2025-01-01 08:00:00,12.31,14.55,53.25,-5.5,53.25,-5.5
2025-01-01 09:00:00,12.2,14.4,53.25,-5.5,53.25,-5.5
2025-01-01 10:00:00,11.77,14.04,53.25,-5.5,53.25,-5.5
2025-01-01 11:00:00,11.42,13.26,53.25,-5.5,53.25,-5.5
2025-01-01 12:00:00,10.93,12.54,53.25,-5.5,53.25,-5.5
2025-01-01 13:00:00,10.52,12.04,53.25,-5.5,53.25,-5.5
2025-01-01 14:00:00,9.75,10.97,53.25,-5.5,53.25,-5.5
2025-01-01 15:00:00,9.55,10.7,53.25,-5.5,53.25,-5.5
2025-01-01 16:00:00,9.88,10.96,53.25,-5.5,53.25,-5.5
2025-01-01 17:00:00,9.8,10.89,53.25,-5.5,53.25,-5.5
2025-01-01 18:00:00,8.83,9.66,53.25,-5.5,53.25,-5.5
2025-01-01 19:00:00,7.57,8.13,53.25,-5.5,53.25,-5.5
2025-01-01 20:00:00,6.99,7.4,53.25,-5.5,53.25,-5.5
2025-01-01 21:00:00,7.25,7.69,53.25,-5.5,53.25,-5.5
2025-01-01 22:00:00,7.93,8.49,53.25,-5.5,53.25,-5.5
2025-01-01 23:00:00,7.66,8.24,53.25,-5.5,53.25,-5.5
2025-01-02 00:00:00,7.7,8.21,53.25,-5.5,53.25,-5.5
2025-01-02 01:00:00,8.08,8.62,53.25,-5.5,53.25,-5.5
2025-01-02 02:00:00,7.89,8.41,53.25,-5.5,53.25,-5.5
2025-01-02 03:00:00,7.82,8.28,53.25,-5.5,53.25,-5.5
2025-01-02 04:00:00,8.04,8.56,53.25,-5.5,53.25,-5.5
2025-01-02 05:00:00,8.07,8.59,53.25,-5.5,53.25,-5.5
2025-01-02 06:00:00,7.86,8.33,53.25,-5.5,53.25,-5.5
2025-01-02 07:00:00,7.74,8.16,53.25,-5.5,53.25,-5.5
2025-01-02 08:00:00,7.81,8.21,53.25,-5.5,53.25,-5.5
2025-01-02 09:00:00,8.04,8.48,53.25,-5.5,53.25,-5.5
2025-01-02 10:00:00,8.11,8.56,53.25,-5.5,53.25,-5.5
2025-01-02 11:00:00,7.94,8.49,53.25,-5.5,53.25,-5.5
2025-01-02 12:00:00,7.83,8.38,53.25,-5.5,53.25,-5.5
2025-01-02 13:00:00,8.32,8.92,53.25,-5.5,53.25,-5.5
2025-01-02 14:00:00,8.84,9.56,53.25,-5.5,53.25,-5.5
2025-01-02 15:00:00,8.91,9.65,53.25,-5.5,53.25,-5.5
2025-01-02 16:00:00,9.0,9.75,53.25,-5.5,53.25,-5.5
2025-01-02 17:00:00,9.58,10.38,53.25,-5.5,53.25,-5.5
2025-01-02 18:00:00,9.55,10.38,53.25,-5.5,53.25,-5.5
2025-01-02 19:00:00,9.32,10.15,53.25,-5.5,53.25,-5.5
2025-01-02 20:00:00,9.21,9.95,53.25,-5.5,53.25,-5.5
2025-01-02 21:00:00,8.86,9.53,53.25,-5.5,53.25,-5.5
2025-01-02 22:00:00,8.61,9.26,53.25,-5.5,53.25,-5.5
