timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2024-01-01 00:00:00,5.12,8.77,59.5,10.25,59.5,10.25
2024-01-01 01:00:00,5.14,8.92,59.5,10.25,59.5,10.25
2024-01-01 02:00:00,5.14,8.79,59.5,10.25,59.5,10.25
2024-01-01 03:00:00,5.02,8.66,59.5,10.25,59.5,10.25
2024-01-01 04:00:00,4.99,8.54,59.5,10.25,59.5,10.25
2024-01-01 05:00:00,5.02,8.64,59.5,10.25,59.5,10.25
2024-01-01 06:00:00,5.16,8.86,59.5,10.25,59.5,10.25
2024-01-01 07:00:00,5.3,9.08,59.5,10.25,59.5,10.25
2024-01-01 08:00:00,5.44,9.28,59.5,10.25,59.5,10.25
2024-01-01 09:00:00,5.44,9.34,59.5,10.25,59.5,10.25
2024-01-01 10:00:00,5.41,9.69,59.5,10.25,59.5,10.25
2024-01-01 11:00:00,5.16,9.94,59.5,10.25,59.5,10.25
2024-01-01 12:00:00,5.19,9.7,59.5,10.25,59.5,10.25
2024-01-01 13:00:00,5.07,9.94,59.5,10.25,59.5,10.25
2024-01-01 14:00:00,5.14,8.94,59.5,10.25,59.5,10.25
2024-01-01 15:00:00,5.01,8.68,59.5,10.25,59.5,10.25
2024-01-01 16:00:00,4.97,8.63,59.5,10.25,59.5,10.25
2024-01-01 17:00:00,4.89,8.52,59.5,10.25,59.5,10.25
2024-01-01 18:00:00,4.85,8.42,59.5,10.25,59.5,10.25
2024-01-01 19:00:00,4.77,8.34,59.5,10.25,59.5,10.25
2024-01-01 20:00:00,4.69,8.11,59.5,10.25,59.5,10.25
2024-01-01 21:00:00,4.6,8.09,59.5,10.25,59.5,10.25
2024-01-01 22:00:00,4.63,8.14,59.5,10.25,59.5,10.25
2024-01-01 23:00:00,4.8,8.31,59.5,10.25,59.5,10.25
2024-01-02 00:00:00,4.76,8.35,59.5,10.25,59.5,10.25
2024-01-02 01:00:00,4.61,8.2,59.5,10.25,59.5,10.25
2024-01-02 02:00:00,4.53,7.92,59.5,10.25,59.5,10.25
2024-01-02 03:00:00,4.46,7.79,59.5,10.25,59.5,10.25
2024-01-02 04:00:00,4.46,7.8,59.5,10.25,59.5,10.25
2024-01-02 05:00:00,4.53,7.8,59.5,10.25,59.5,10.25
2024-01-02 06:00:00,4.6,7.89,59.5,10.25,59.5,10.25
2024-01-02 07:00:00,4.74,8.11,59.5,10.25,59.5,10.25
2024-01-02 08:00:00,4.88,8.26,59.5,10.25,59.5,10.25
2024-01-02 09:00:00,4.81,8.25,59.5,10.25,59.5,10.25
2024-01-02 10:00:00,5.04,8.56,59.5,10.25,59.5,10.25
2024-01-02 11:00:00,5.24,8.84,59.5,10.25,59.5,10.25
2024-01-02 12:00:00,5.45,9.06,59.5,10.25,59.5,10.25
2024-01-02 13:00:00,5.17,8.7,59.5,10.25,59.5,10.25
2024-01-02 14:00:00,5.04,8.56,59.5,10.25,59.5,10.25
2024-01-02 15:00:00,4.83,8.67,59.5,10.25,59.5,10.25
2024-01-02 16:00:00,4.96,8.75,59.5,10.25,59.5,10.25
2024-01-02 17:00:00,4.88,8.89,59.5,10.25,59.5,10.25
2024-01-02 18:00:00,5.28,8.99,59.5,10.25,59.5,10.25
2024-01-02 19:00:00,5.28,9.0,59.5,10.25,59.5,10.25
2024-01-02 20:00:00,5.36,9.22,59.5,10.25,59.5,10.25
2024-01-02 21:00:00,5.56,9.49,59.5,10.25,59.5,10.25
2024-01-02 22:00:00,5.66,9.74,59.5,10.25,59.5,10.25
2024-01-02 23:00:00,5.8,9.87,59.5,10.25,59.5,10.25
2024-01-03 00:00:00,5.69,9.69,59.5,10.25,59.5,10.25
2024-01-03 01:00:00,5.61,9.55,59.5,10.25,59.5,10.25
2024-01-03 02:00:00,5.62,9.7,59.5,10.25,59.5,10.25
2024-01-03 03:00:00,5.84,9.84,59.5,10.25,59.5,10.25
2024-01-03 04:00:00,5.9,9.98,59.5,10.25,59.5,10.25
2024-01-03 05:00:00,5.75,9.76,59.5,10.25,59.5,10.25
2024-01-03 06:00:00,5.48,9.63,59.5,10.25,59.5,10.25
2024-01-03 07:00:00,5.78,9.72,59.5,10.25,59.5,10.25
2024-01-03 08:00:00,5.74,9.68,59.5,10.25,59.5,10.25
2024-01-03 09:00:00,5.63,9.78,59.5,10.25,59.5,10.25
2024-01-03 10:00:00,5.41,9.2,59.5,10.25,59.5,10.25
2024-01-03 11:00:00,5.28,8.96,59.5,10.25,59.5,10.25
2024-01-03 12:00:00,5.32,9.13,59.5,10.25,59.5,10.25
2024-01-03 13:00:00,5.28,9.45,59.5,10.25,59.5,10.25
2024-01-03 14:00:00,5.51,9.43,59.5,10.25,59.5,10.25
2024-01-03 15:00:00,5.46,9.38,59.5,10.25,59.5,10.25
2024-01-03 16:00:00,5.51,9.32,59.5,10.25,59.5,10.25
2024-01-03 17:00:00,5.37,9.18,59.5,10.25,59.5,10.25
2024-01-03 18:00:00,5.32,9.16,59.5,10.25,59.5,10.25
2024-01-03 19:00:00,5.28,8.97,59.5,10.25,59.5,10.25
2024-01-03 20:00:00,5.14,8.92,59.5,10.25,59.5,10.25
2024-01-03 21:00:00,5.06,8.73,59.5,10.25,59.5,10.25
2024-01-03 22:00:00,4.96,8.63,59.5,10.25,59.5,10.25
2024-01-03 23:00:00,5.07,8.77,59.5,10.25,59.5,10.25
2024-01-04 00:00:00,5.03,8.81,59.5,10.25,59.5,10.25
2024-01-04 01:00:00,4.96,8.51,59.5,10.25,59.5,10.25
2024-01-04 02:00:00,4.78,8.49,59.5,10.25,59.5,10.25
2024-01-04 03:00:00,4.75,8.48,59.5,10.25,59.5,10.25
2024-01-04 04:00:00,4.73,8.35,59.5,10.25,59.5,10.25
2024-01-04 05:00:00,4.75,8.44,59.5,10.25,59.5,10.25
2024-01-04 06:00:00,4.66,8.29,59.5,10.25,59.5,10.25
2024-01-04 07:00:00,4.46,8.01,59.5,10.25,59.5,10.25
2024-01-04 08:00:00,4.32,7.84,59.5,10.25,59.5,10.25
2024-01-04 09:00:00,4.18,7.78,59.5,10.25,59.5,10.25
