timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2023-01-01 00:00:00,6.9,7.5,18.5,72.25,18.5,72.25
2023-01-01 01:00:00,6.83,7.32,18.5,72.25,18.5,72.25
2023-01-01 02:00:00,7.13,7.63,18.5,72.25,18.5,72.25
2023-01-01 03:00:00,7.23,7.93,18.5,72.25,18.5,72.25
2023-01-01 04:00:00,7.13,7.73,18.5,72.25,18.5,72.25
2023-01-01 05:00:00,7.03,7.52,18.5,72.25,18.5,72.25
2023-01-01 06:00:00,6.82,7.42,18.5,72.25,18.5,72.25
2023-01-01 07:00:00,6.61,7.11,18.5,72.25,18.5,72.25
2023-01-01 08:00:00,6.2,6.7,18.5,72.25,18.5,72.25
2023-01-01 09:00:00,6.21,6.72,18.5,72.25,18.5,72.25
2023-01-01 10:00:00,6.56,7.07,18.5,72.25,18.5,72.25
2023-01-01 11:00:00,6.99,7.69,18.5,72.25,18.5,72.25
2023-01-01 12:00:00,7.4,8.1,18.5,72.25,18.5,72.25
2023-01-01 13:00:00,7.61,8.42,18.5,72.25,18.5,72.25
2023-01-01 14:00:00,7.48,8.29,18.5,72.25,18.5,72.25
2023-01-01 15:00:00,7.13,7.84,18.5,72.25,18.5,72.25
2023-01-01 16:00:00,7.01,7.71,18.5,72.25,18.5,72.25
2023-01-01 17:00:00,6.9,7.61,18.5,72.25,18.5,72.25
2023-01-01 18:00:00,6.95,7.65,18.5,72.25,18.5,72.25
2023-01-01 19:00:00,7.1,7.81,18.5,72.25,18.5,72.25
2023-01-01 20:00:00,7.22,8.02,18.5,72.25,18.5,72.25
2023-01-01 21:00:00,7.2,8.01,18.5,72.25,18.5,72.25
2023-01-01 22:00:00,7.18,7.89,18.5,72.25,18.5,72.25
2023-01-01 23:00:00,6.96,7.69,18.5,72.25,18.5,72.25
2023-01-02 00:00:00,6.87,7.47,18.5,72.25,18.5,72.25
2023-01-02 01:00:00,6.79,7.4,18.5,72.25,18.5,72.25
2023-01-02 02:00:00,6.58,7.12,18.5,72.25,18.5,72.25
2023-01-02 03:00:00,6.33,6.78,18.5,72.25,18.5,72.25
2023-01-02 04:00:00,5.9,6.35,18.5,72.25,18.5,72.25
2023-01-02 05:00:00,5.59,5.95,18.5,72.25,18.5,72.25
2023-01-02 06:00:00,5.24,5.59,18.5,72.25,18.5,72.25
2023-01-02 07:00:00,5.29,5.6,18.5,72.25,18.5,72.25
2023-01-02 08:00:00,5.63,6.14,18.5,72.25,18.5,72.25
2023-01-02 09:00:00,6.2,6.8,18.5,72.25,18.5,72.25
2023-01-02 10:00:00,6.83,7.53,18.5,72.25,18.5,72.25
2023-01-02 11:00:00,6.94,7.74,18.5,72.25,18.5,72.25
2023-01-02 12:00:00,7.14,7.95,18.5,72.25,18.5,72.25
2023-01-02 13:00:00,7.34,8.15,18.5,72.25,18.5,72.25
2023-01-02 14:00:00,7.54,8.54,18.5,72.25,18.5,72.25
2023-01-02 15:00:00,7.72,8.72,18.5,72.25,18.5,72.25
2023-01-02 16:00:00,7.71,8.81,18.5,72.25,18.5,72.25
2023-01-02 17:00:00,7.7,8.8,18.5,72.25,18.5,72.25
2023-01-02 18:00:00,7.83,8.84,18.5,72.25,18.5,72.25
2023-01-02 19:00:00,7.89,8.91,18.5,72.25,18.5,72.25
2023-01-02 20:00:00,7.92,8.93,18.5,72.25,18.5,72.25
2023-01-02 21:00:00,7.79,8.8,18.5,72.25,18.5,72.25
2023-01-02 22:00:00,7.44,8.25,18.5,72.25,18.5,72.25
2023-01-02 23:00:00,7.42,8.22,18.5,72.25,18.5,72.25
2023-01-03 00:00:00,7.33,8.14,18.5,72.25,18.5,72.25
