timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2025-01-01 00:00:00,4.88,5.59,1.0,104.25,1.0,104.25
2025-01-01 01:00:00,4.85,5.45,1.0,104.25,1.0,104.25
2025-01-01 02:00:00,5.0,5.6,1.0,104.25,1.0,104.25
2025-01-01 03:00:00,5.41,6.01,1.0,104.25,1.0,104.25
2025-01-01 04:00:00,5.57,6.22,1.0,104.25,1.0,104.25
2025-01-01 05:00:00,5.63,6.33,1.0,104.25,1.0,104.25
2025-01-01 06:00:00,5.65,6.36,1.0,104.25,1.0,104.25
2025-01-01 07:00:00,5.41,6.08,1.0,104.25,1.0,104.25
2025-01-01 08:00:00,5.31,5.98,1.0,104.25,1.0,104.25
2025-01-01 09:00:00,4.78,5.4,1.0,104.25,1.0,104.25
2025-01-01 10:00:00,4.89,5.6,1.0,104.25,1.0,104.25
2025-01-01 11:00:00,4.73,5.46,1.0,104.25,1.0,104.25
2025-01-01 12:00:00,5.08,5.92,1.0,104.25,1.0,104.25
2025-01-01 13:00:00,5.08,5.85,1.0,104.25,1.0,104.25
2025-01-01 14:00:00,5.74,6.61,1.0,104.25,1.0,104.25
2025-01-01 15:00:00,5.88,6.81,1.0,104.25,1.0,104.25
2025-01-01 16:00:00,5.49,6.42,1.0,104.25,1.0,104.25
2025-01-01 17:00:00,5.28,6.1,1.0,104.25,1.0,104.25
2025-01-01 18:00:00,5.57,6.43,1.0,104.25,1.0,104.25
2025-01-01 19:00:00,5.66,6.47,1.0,104.25,1.0,104.25
2025-01-01 20:00:00,5.67,6.49,1.0,104.25,1.0,104.25
2025-01-01 21:00:00,5.86,6.69,1.0,104.25,1.0,104.25
2025-01-01 22:00:00,6.29,7.18,1.0,104.25,1.0,104.25
2025-01-01 23:00:00,6.21,7.09,1.0,104.25,1.0,104.25
2025-01-02 00:00:00,6.24,7.18,1.0,104.25,1.0,104.25
2025-01-02 01:00:00,6.51,7.48,1.0,104.25,1.0,104.25
2025-01-02 02:00:00,6.55,7.47,1.0,104.25,1.0,104.25
2025-01-02 03:00:00,6.44,7.33,1.0,104.25,1.0,104.25
2025-01-02 04:00:00,6.18,6.95,1.0,104.25,1.0,104.25
2025-01-02 05:00:00,6.16,6.94,1.0,104.25,1.0,104.25
2025-01-02 06:00:00,6.32,7.13,1.0,104.25,1.0,104.25
2025-01-02 07:00:00,6.08,6.79,1.0,104.25,1.0,104.25
2025-01-02 08:00:00,5.95,6.68,1.0,104.25,1.0,104.25
2025-01-02 09:00:00,6.43,7.21,1.0,104.25,1.0,104.25
2025-01-02 10:00:00,4.71,5.39,1.0,104.25,1.0,104.25
2025-01-02 11:00:00,5.05,5.79,1.0,104.25,1.0,104.25
2025-01-02 12:00:00,4.79,5.48,1.0,104.25,1.0,104.25
2025-01-02 13:00:00,4.76,5.51,1.0,104.25,1.0,104.25
2025-01-02 14:00:00,5.5,6.33,1.0,104.25,1.0,104.25
2025-01-02 15:00:00,6.02,6.98,1.0,104.25,1.0,104.25
2025-01-02 16:00:00,5.43,6.33,1.0,104.25,1.0,104.25
2025-01-02 17:00:00,5.23,6.06,1.0,104.25,1.0,104.25
2025-01-02 18:00:00,5.79,6.71,1.0,104.25,1.0,104.25
2025-01-02 19:00:00,5.82,6.83,1.0,104.25,1.0,104.25
2025-01-02 20:00:00,6.02,6.96,1.0,104.25,1.0,104.25
2025-01-02 21:00:00,6.06,7.0,1.0,104.25,1.0,104.25
2025-01-02 22:00:00,6.33,7.22,1.0,104.25,1.0,104.25
2025-01-02 23:00:00,5.84,6.69,1.0,104.25,1.0,104.25
2025-01-03 00:00:00,5.66,6.38,1.0,104.25,1.0,104.25
2025-01-03 01:00:00,5.93,6.69,1.0,104.25,1.0,104.25
2025-01-03 02:00:00,6.14,6.93,1.0,104.25,1.0,104.25
2025-01-03 03:00:00,6.14,6.91,1.0,104.25,1.0,104.25
2025-01-03 04:00:00,6.14,6.9,1.0,104.25,1.0,104.25
2025-01-03 05:00:00,6.18,6.95,1.0,104.25,1.0,104.25
2025-01-03 06:00:00,6.44,7.26,1.0,104.25,1.0,104.25
2025-01-03 07:00:00,6.04,6.79,1.0,104.25,1.0,104.25
2025-01-03 08:00:00,5.73,6.39,1.0,104.25,1.0,104.25
2025-01-03 09:00:00,5.54,6.2,1.0,104.25,1.0,104.25
2025-01-03 10:00:00,6.02,7.4,1.0,104.25,1.0,104.25
2025-01-03 11:00:00,5.69,6.85,1.0,104.25,1.0,104.25
2025-01-03 12:00:00,4.79,5.76,1.0,104.25,1.0,104.25
2025-01-03 13:00:00,5.11,5.97,1.0,104.25,1.0,104.25
2025-01-03 14:00:00,5.7,6.62,1.0,104.25,1.0,104.25
2025-01-03 15:00:00,5.8,6.78,1.0,104.25,1.0,104.25
2025-01-03 16:00:00,5.87,6.8,1.0,104.25,1.0,104.25
2025-01-03 17:00:00,6.09,7.02,1.0,104.25,1.0,104.25
2025-01-03 18:00:00,5.28,6.04,1.0,104.25,1.0,104.25
2025-01-03 19:00:00,5.14,5.85,1.0,104.25,1.0,104.25
2025-01-03 20:00:00,6.04,6.84,1.0,104.25,1.0,104.25
2025-01-03 21:00:00,6.1,6.9,1.0,104.25,1.0,104.25
2025-01-03 22:00:00,5.6,6.3,1.0,104.25,1.0,104.25
2025-01-03 23:00:00,5.2,5.8,1.0,104.25,1.0,104.25
2025-01-04 00:00:00,5.0,5.55,1.0,104.25,1.0,104.25
2025-01-04 01:00:00,5.66,6.36,1.0,104.25,1.0,104.25
2025-01-04 02:00:00,5.96,6.66,1.0,104.25,1.0,104.25
2025-01-04 03:00:00,5.32,5.87,1.0,104.25,1.0,104.25
2025-01-04 04:00:00,5.05,5.6,1.0,104.25,1.0,104.25
2025-01-04 05:00:00,6.17,6.82,1.0,104.25,1.0,104.25
2025-01-04 06:00:00,7.01,7.87,1.0,104.25,1.0,104.25
2025-01-04 07:00:00,7.32,8.24,1.0,104.25,1.0,104.25
2025-01-04 08:00:00,7.1,8.03,1.0,104.25,1.0,104.25
2025-01-04 09:00:00,6.54,7.4,1.0,104.25,1.0,104.25
2025-01-04 10:00:00,5.74,6.54,1.0,104.25,1.0,104.25
2025-01-04 11:00:00,5.54,6.35,1.0,104.25,1.0,104.25
2025-01-04 12:00:00,5.57,6.39,1.0,104.25,1.0,104.25
2025-01-04 13:00:00,5.69,6.45,1.0,104.25,1.0,104.25
2025-01-04 14:00:00,5.04,5.8,1.0,104.25,1.0,104.25
2025-01-04 15:00:00,4.94,5.65,1.0,104.25,1.0,104.25
2025-01-04 16:00:00,5.91,6.73,1.0,104.25,1.0,104.25
2025-01-04 17:00:00,6.5,7.36,1.0,104.25,1.0,104.25
2025-01-04 18:00:00,7.02,7.98,1.0,104.25,1.0,104.25
2025-01-04 19:00:00,7.13,8.2,1.0,104.25,1.0,104.25
2025-01-04 20:00:00,7.27,8.35,1.0,104.25,1.0,104.25
2025-01-04 21:00:00,7.44,8.57,1.0,104.25,1.0,104.25
2025-01-04 22:00:00,7.54,8.71,1.0,104.25,1.0,104.25
2025-01-04 23:00:00,7.13,8.25,1.0,104.25,1.0,104.25
2025-01-05 00:00:00,6.86,7.93,1.0,104.25,1.0,104.25
2025-01-05 01:00:00,6.89,7.87,1.0,104.25,1.0,104.25
2025-01-05 02:00:00,7.13,8.11,1.0,104.25,1.0,104.25
2025-01-05 03:00:00,7.06,8.04,1.0,104.25,1.0,104.25
2025-01-05 04:00:00,6.99,7.96,1.0,104.25,1.0,104.25
2025-01-05 05:00:00,7.2,8.13,1.0,104.25,1.0,104.25
2025-01-05 06:00:00,7.53,8.55,1.0,104.25,1.0,104.25
2025-01-05 07:00:00,7.98,9.11,1.0,104.25,1.0,104.25
2025-01-05 08:00:00,8.16,9.39,1.0,104.25,1.0,104.25
2025-01-05 09:00:00,8.42,9.69,1.0,104.25,1.0,104.25
2025-01-05 10:00:00,8.35,9.75,1.0,104.25,1.0,104.25
2025-01-05 11:00:00,7.64,8.94,1.0,104.25,1.0,104.25
2025-01-05 12:00:00,7.47,8.71,1.0,104.25,1.0,104.25
2025-01-05 13:00:00,7.75,8.99,1.0,104.25,1.0,104.25
2025-01-05 14:00:00,8.0,9.25,1.0,104.25,1.0,104.25
2025-01-05 15:00:00,7.34,8.38,1.0,104.25,1.0,104.25
2025-01-05 16:00:00,7.86,9.01,1.0,104.25,1.0,104.25
2025-01-05 17:00:00,8.29,9.71,1.0,104.25,1.0,104.25
2025-01-05 18:00:00,8.29,9.49,1.0,104.25,1.0,104.25
2025-01-05 19:00:00,8.1,9.31,1.0,104.25,1.0,104.25
