timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2025-01-01 00:00:00,6.11,6.66,38.25,-9.75,38.25,-9.75
2025-01-01 01:00:00,5.93,6.37,38.25,-9.75,38.25,-9.75
2025-01-01 02:00:00,6.05,6.49,38.25,-9.75,38.25,-9.75
2025-01-01 03:00:00,6.21,6.65,38.25,-9.75,38.25,-9.75
2025-01-01 04:00:00,5.7,6.1,38.25,-9.75,38.25,-9.75
2025-01-01 05:00:00,5.15,5.45,38.25,-9.75,38.25,-9.75
2025-01-01 06:00:00,5.0,5.25,38.25,-9.75,38.25,-9.75
2025-01-01 07:00:00,5.15,5.4,38.25,-9.75,38.25,-9.75
2025-01-01 08:00:00,5.3,5.6,38.25,-9.75,38.25,-9.75
2025-01-01 09:00:00,5.41,5.66,38.25,-9.75,38.25,-9.75
2025-01-01 10:00:00,5.05,5.3,38.25,-9.75,38.25,-9.75
2025-01-01 11:00:00,4.6,4.8,38.25,-9.75,38.25,-9.75
2025-01-01 12:00:00,4.35,4.5,38.25,-9.75,38.25,-9.75
2025-01-01 13:00:00,4.12,4.29,38.25,-9.75,38.25,-9.75
2025-01-01 14:00:00,3.88,4.05,38.25,-9.75,38.25,-9.75
2025-01-01 15:00:00,3.7,3.87,38.25,-9.75,38.25,-9.75
2025-01-01 16:00:00,3.11,3.29,38.25,-9.75,38.25,-9.75
2025-01-01 17:00:00,2.51,2.65,38.25,-9.75,38.25,-9.75
2025-01-01 18:00:00,2.07,2.12,38.25,-9.75,38.25,-9.75
2025-01-01 19:00:00,2.13,2.22,38.25,-9.75,38.25,-9.75
2025-01-01 20:00:00,2.36,2.48,38.25,-9.75,38.25,-9.75
2025-01-01 21:00:00,2.52,2.69,38.25,-9.75,38.25,-9.75
2025-01-01 22:00:00,2.43,2.45,38.25,-9.75,38.25,-9.75
2025-01-01 23:00:00,2.35,2.4,38.25,-9.75,38.25,-9.75
2025-01-02 00:00:00,2.68,2.78,38.25,-9.75,38.25,-9.75
2025-01-02 01:00:00,2.98,3.12,38.25,-9.75,38.25,-9.75
2025-01-02 02:00:00,3.54,3.71,38.25,-9.75,38.25,-9.75
2025-01-02 03:00:00,4.03,4.25,38.25,-9.75,38.25,-9.75
2025-01-02 04:00:00,4.37,4.62,38.25,-9.75,38.25,-9.75
2025-01-02 05:00:00,4.52,4.83,38.25,-9.75,38.25,-9.75
2025-01-02 06:00:00,4.61,4.84,38.25,-9.75,38.25,-9.75
2025-01-02 07:00:00,4.57,4.86,38.25,-9.75,38.25,-9.75
2025-01-02 08:00:00,4.72,4.96,38.25,-9.75,38.25,-9.75
2025-01-02 09:00:00,5.22,5.58,38.25,-9.75,38.25,-9.75
2025-01-02 10:00:00,5.29,5.65,38.25,-9.75,38.25,-9.75
2025-01-02 11:00:00,5.4,5.78,38.25,-9.75,38.25,-9.75
2025-01-02 12:00:00,5.41,5.82,38.25,-9.75,38.25,-9.75
2025-01-02 13:00:00,5.61,6.04,38.25,-9.75,38.25,-9.75
2025-01-02 14:00:00,5.61,5.99,38.25,-9.75,38.25,-9.75
2025-01-02 15:00:00,5.69,6.18,38.25,-9.75,38.25,-9.75
2025-01-02 16:00:00,5.73,6.26,38.25,-9.75,38.25,-9.75
2025-01-02 17:00:00,5.41,5.91,38.25,-9.75,38.25,-9.75
2025-01-02 18:00:00,5.25,5.74,38.25,-9.75,38.25,-9.75
2025-01-02 19:00:00,5.38,5.87,38.25,-9.75,38.25,-9.75
2025-01-02 20:00:00,5.35,5.89,38.25,-9.75,38.25,-9.75
2025-01-02 21:00:00,5.37,5.86,38.25,-9.75,38.25,-9.75
2025-01-02 22:00:00,4.78,5.22,38.25,-9.75,38.25,-9.75
2025-01-02 23:00:00,5.4,5.84,38.25,-9.75,38.25,-9.75
2025-01-03 00:00:00,5.88,6.42,38.25,-9.75,38.25,-9.75
2025-01-03 01:00:00,6.3,6.96,38.25,-9.75,38.25,-9.75
2025-01-03 02:00:00,6.45,7.15,38.25,-9.75,38.25,-9.75
2025-01-03 03:00:00,6.57,7.3,38.25,-9.75,38.25,-9.75
2025-01-03 04:00:00,6.5,7.22,38.25,-9.75,38.25,-9.75
2025-01-03 05:00:00,6.36,7.08,38.25,-9.75,38.25,-9.75
2025-01-03 06:00:00,6.32,7.01,38.25,-9.75,38.25,-9.75
2025-01-03 07:00:00,6.24,6.89,38.25,-9.75,38.25,-9.75
2025-01-03 08:00:00,6.22,6.86,38.25,-9.75,38.25,-9.75
2025-01-03 09:00:00,6.17,6.8,38.25,-9.75,38.25,-9.75
2025-01-03 10:00:00,5.32,5.79,38.25,-9.75,38.25,-9.75
2025-01-03 11:00:00,4.9,5.34,38.25,-9.75,38.25,-9.75
2025-01-03 12:00:00,5.24,5.71,38.25,-9.75,38.25,-9.75
2025-01-03 13:00:00,6.07,6.68,38.25,-9.75,38.25,-9.75
2025-01-03 14:00:00,6.46,7.18,38.25,-9.75,38.25,-9.75
2025-01-03 15:00:00,6.44,7.21,38.25,-9.75,38.25,-9.75
2025-01-03 16:00:00,6.32,7.11,38.25,-9.75,38.25,-9.75
2025-01-03 17:00:00,6.15,6.91,38.25,-9.75,38.25,-9.75
2025-01-03 18:00:00,5.99,6.77,38.25,-9.75,38.25,-9.75
2025-01-03 19:00:00,5.99,6.74,38.25,-9.75,38.25,-9.75
2025-01-03 20:00:00,6.07,6.87,38.25,-9.75,38.25,-9.75
2025-01-03 21:00:00,6.03,6.83,38.25,-9.75,38.25,-9.75
2025-01-03 22:00:00,5.04,5.78,38.25,-9.75,38.25,-9.75
2025-01-03 23:00:00,5.33,6.2,38.25,-9.75,38.25,-9.75
2025-01-04 00:00:00,5.76,6.67,38.25,-9.75,38.25,-9.75
2025-01-04 01:00:00,6.1,6.96,38.25,-9.75,38.25,-9.75
2025-01-04 02:00:00,6.5,7.36,38.25,-9.75,38.25,-9.75
2025-01-04 03:00:00,6.65,7.63,38.25,-9.75,38.25,-9.75
2025-01-04 04:00:00,6.71,7.71,38.25,-9.75,38.25,-9.75
2025-01-04 05:00:00,6.66,7.64,38.25,-9.75,38.25,-9.75
2025-01-04 06:00:00,6.49,7.47,38.25,-9.75,38.25,-9.75
2025-01-04 07:00:00,6.68,7.72,38.25,-9.75,38.25,-9.75
2025-01-04 08:00:00,7.21,8.46,38.25,-9.75,38.25,-9.75
2025-01-04 09:00:00,7.61,9.25,38.25,-9.75,38.25,-9.75
2025-01-04 10:00:00,7.53,8.85,38.25,-9.75,38.25,-9.75
2025-01-04 11:00:00,7.28,9.19,38.25,-9.75,38.25,-9.75
2025-01-04 12:00:00,7.62,9.56,38.25,-9.75,38.25,-9.75
2025-01-04 13:00:00,7.73,9.83,38.25,-9.75,38.25,-9.75
2025-01-04 14:00:00,8.09,10.3,38.25,-9.75,38.25,-9.75
2025-01-04 15:00:00,8.37,10.57,38.25,-9.75,38.25,-9.75
2025-01-04 16:00:00,8.51,10.8,38.25,-9.75,38.25,-9.75
2025-01-04 17:00:00,8.79,11.15,38.25,-9.75,38.25,-9.75
2025-01-04 18:00:00,9.28,11.81,38.25,-9.75,38.25,-9.75
2025-01-04 19:00:00,9.57,12.27,38.25,-9.75,38.25,-9.75
2025-01-04 20:00:00,9.83,12.59,38.25,-9.75,38.25,-9.75
2025-01-04 21:00:00,10.15,13.02,38.25,-9.75,38.25,-9.75
2025-01-04 22:00:00,11.4,14.74,38.25,-9.75,38.25,-9.75
2025-01-04 23:00:00,11.2,14.58,38.25,-9.75,38.25,-9.75
2025-01-05 00:00:00,11.64,15.08,38.25,-9.75,38.25,-9.75
2025-01-05 01:00:00,11.89,15.38,38.25,-9.75,38.25,-9.75
2025-01-05 02:00:00,11.99,15.4,38.25,-9.75,38.25,-9.75
2025-01-05 03:00:00,12.29,15.83,38.25,-9.75,38.25,-9.75
2025-01-05 04:00:00,13.11,16.74,38.25,-9.75,38.25,-9.75
2025-01-05 05:00:00,13.46,17.21,38.25,-9.75,38.25,-9.75
2025-01-05 06:00:00,13.47,18.64,38.25,-9.75,38.25,-9.75
2025-01-05 07:00:00,13.58,19.04,38.25,-9.75,38.25,-9.75
2025-01-05 08:00:00,12.97,18.53,38.25,-9.75,38.25,-9.75
2025-01-05 09:00:00,11.94,16.73,38.25,-9.75,38.25,-9.75
2025-01-05 10:00:00,11.49,15.56,38.25,-9.75,38.25,-9.75
2025-01-05 11:00:00,11.78,16.29,38.25,-9.75,38.25,-9.75
2025-01-05 12:00:00,10.86,13.75,38.25,-9.75,38.25,-9.75
2025-01-05 13:00:00,10.68,14.6,38.25,-9.75,38.25,-9.75
2025-01-05 14:00:00,11.97,16.19,38.25,-9.75,38.25,-9.75
2025-01-05 15:00:00,12.55,15.8,38.25,-9.75,38.25,-9.75
