timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2023-01-01 00:00:00,6.68,7.09,37.0,125.75,37.0,125.75
2023-01-01 01:00:00,6.65,7.06,37.0,125.75,37.0,125.75
2023-01-01 02:00:00,6.8,7.31,37.0,125.75,37.0,125.75
2023-01-01 03:00:00,7.56,8.1,37.0,125.75,37.0,125.75
2023-01-01 04:00:00,8.13,8.9,37.0,125.75,37.0,125.75
2023-01-01 05:00:00,8.54,9.4,37.0,125.75,37.0,125.75
2023-01-01 06:00:00,8.76,9.71,37.0,125.75,37.0,125.75
2023-01-01 07:00:00,9.24,10.29,37.0,125.75,37.0,125.75
2023-01-01 08:00:00,9.24,10.26,37.0,125.75,37.0,125.75
2023-01-01 09:00:00,9.04,9.96,37.0,125.75,37.0,125.75
2023-01-01 10:00:00,7.91,8.52,37.0,125.75,37.0,125.75
2023-01-01 11:00:00,8.06,8.6,37.0,125.75,37.0,125.75
2023-01-01 12:00:00,8.81,9.48,37.0,125.75,37.0,125.75
2023-01-01 13:00:00,9.18,10.07,37.0,125.75,37.0,125.75
2023-01-01 14:00:00,9.38,10.31,37.0,125.75,37.0,125.75
2023-01-01 15:00:00,9.33,10.25,37.0,125.75,37.0,125.75
2023-01-01 16:00:00,9.39,10.28,37.0,125.75,37.0,125.75
2023-01-01 17:00:00,9.52,10.4,37.0,125.75,37.0,125.75
2023-01-01 18:00:00,9.71,10.59,37.0,125.75,37.0,125.75
2023-01-01 19:00:00,10.06,11.04,37.0,125.75,37.0,125.75
2023-01-01 20:00:00,10.03,11.01,37.0,125.75,37.0,125.75
2023-01-01 21:00:00,9.78,10.73,37.0,125.75,37.0,125.75
2023-01-01 22:00:00,9.03,9.85,37.0,125.75,37.0,125.75
2023-01-01 23:00:00,8.57,9.19,37.0,125.75,37.0,125.75
2023-01-02 00:00:00,8.14,8.77,37.0,125.75,37.0,125.75
2023-01-02 01:00:00,8.25,8.9,37.0,125.75,37.0,125.75
2023-01-02 02:00:00,8.3,8.93,37.0,125.75,37.0,125.75
2023-01-02 03:00:00,8.17,8.84,37.0,125.75,37.0,125.75
2023-01-02 04:00:00,8.36,9.04,37.0,125.75,37.0,125.75
2023-01-02 05:00:00,8.72,9.44,37.0,125.75,37.0,125.75
2023-01-02 06:00:00,9.33,10.19,37.0,125.75,37.0,125.75
2023-01-02 07:00:00,9.66,10.65,37.0,125.75,37.0,125.75
2023-01-02 08:00:00,9.83,10.82,37.0,125.75,37.0,125.75
2023-01-02 09:00:00,9.83,10.82,37.0,125.75,37.0,125.75
2023-01-02 10:00:00,7.78,8.27,37.0,125.75,37.0,125.75
2023-01-02 11:00:00,7.25,7.7,37.0,125.75,37.0,125.75
2023-01-02 12:00:00,7.07,7.48,37.0,125.75,37.0,125.75
2023-01-02 13:00:00,7.34,7.74,37.0,125.75,37.0,125.75
2023-01-02 14:00:00,7.37,7.8,37.0,125.75,37.0,125.75
2023-01-02 15:00:00,7.28,7.65,37.0,125.75,37.0,125.75
2023-01-02 16:00:00,6.84,7.21,37.0,125.75,37.0,125.75
2023-01-02 17:00:00,6.3,6.56,37.0,125.75,37.0,125.75
2023-01-02 18:00:00,6.02,6.32,37.0,125.75,37.0,125.75
2023-01-02 19:00:00,5.82,6.04,37.0,125.75,37.0,125.75
2023-01-02 20:00:00,5.86,6.18,37.0,125.75,37.0,125.75
2023-01-02 21:00:00,5.77,6.13,37.0,125.75,37.0,125.75
2023-01-02 22:00:00,4.47,4.61,37.0,125.75,37.0,125.75
2023-01-02 23:00:00,4.4,4.41,37.0,125.75,37.0,125.75
2023-01-03 00:00:00,4.42,4.5,37.0,125.75,37.0,125.75
2023-01-03 01:00:00,4.64,4.72,37.0,125.75,37.0,125.75
2023-01-03 02:00:00,4.67,4.75,37.0,125.75,37.0,125.75
2023-01-03 03:00:00,4.63,4.72,37.0,125.75,37.0,125.75
2023-01-03 04:00:00,4.7,4.9,37.0,125.75,37.0,125.75
2023-01-03 05:00:00,4.84,4.95,37.0,125.75,37.0,125.75
2023-01-03 06:00:00,5.07,5.32,37.0,125.75,37.0,125.75
2023-01-03 07:00:00,5.37,5.64,37.0,125.75,37.0,125.75
2023-01-03 08:00:00,5.85,6.13,37.0,125.75,37.0,125.75
2023-01-03 09:00:00,5.64,5.98,37.0,125.75,37.0,125.75
2023-01-03 10:00:00,4.75,4.94,37.0,125.75,37.0,125.75
2023-01-03 11:00:00,4.88,5.14,37.0,125.75,37.0,125.75
2023-01-03 12:00:00,4.67,4.95,37.0,125.75,37.0,125.75
2023-01-03 13:00:00,4.2,4.66,37.0,125.75,37.0,125.75
2023-01-03 14:00:00,4.44,4.85,37.0,125.75,37.0,125.75
2023-01-03 15:00:00,4.19,4.5,37.0,125.75,37.0,125.75
2023-01-03 16:00:00,3.3,3.48,37.0,125.75,37.0,125.75
2023-01-03 17:00:00,2.53,2.6,37.0,125.75,37.0,125.75
2023-01-03 18:00:00,2.6,2.55,37.0,125.75,37.0,125.75
2023-01-03 19:00:00,3.09,3.05,37.0,125.75,37.0,125.75
2023-01-03 20:00:00,3.67,3.67,37.0,125.75,37.0,125.75
2023-01-03 21:00:00,4.12,4.12,37.0,125.75,37.0,125.75
2023-01-03 22:00:00,4.61,4.66,37.0,125.75,37.0,125.75
2023-01-03 23:00:00,4.47,4.47,37.0,125.75,37.0,125.75
2023-01-04 00:00:00,3.41,3.31,37.0,125.75,37.0,125.75
2023-01-04 01:00:00,2.45,2.35,37.0,125.75,37.0,125.75
2023-01-04 02:00:00,1.39,1.3,37.0,125.75,37.0,125.75
2023-01-04 03:00:00,0.61,0.41,37.0,125.75,37.0,125.75
2023-01-04 04:00:00,0.32,0.32,37.0,125.75,37.0,125.75
2023-01-04 05:00:00,0.71,0.67,37.0,125.75,37.0,125.75
2023-01-04 06:00:00,1.2,1.24,37.0,125.75,37.0,125.75
2023-01-04 07:00:00,1.81,1.8,37.0,125.75,37.0,125.75
