timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2023-01-01 00:00:00,2.31,3.58,49.25,-123.75,49.25,-123.75
2023-01-01 01:00:00,2.33,3.86,49.25,-123.75,49.25,-123.75
2023-01-01 02:00:00,2.19,3.78,49.25,-123.75,49.25,-123.75
2023-01-01 03:00:00,2.68,4.26,49.25,-123.75,49.25,-123.75
2023-01-01 04:00:00,3.1,4.69,49.25,-123.75,49.25,-123.75
2023-01-01 05:00:00,2.98,4.61,49.25,-123.75,49.25,-123.75
2023-01-01 06:00:00,2.94,4.25,49.25,-123.75,49.25,-123.75
2023-01-01 07:00:00,3.01,4.24,49.25,-123.75,49.25,-123.75
2023-01-01 08:00:00,2.9,4.02,49.25,-123.75,49.25,-123.75
2023-01-01 09:00:00,2.5,3.48,49.25,-123.75,49.25,-123.75
2023-01-01 10:00:00,2.14,2.69,49.25,-123.75,49.25,-123.75
2023-01-01 11:00:00,1.7,1.87,49.25,-123.75,49.25,-123.75
2023-01-01 12:00:00,1.12,0.95,49.25,-123.75,49.25,-123.75
2023-01-01 13:00:00,0.61,0.67,49.25,-123.75,49.25,-123.75
2023-01-01 14:00:00,0.45,0.36,49.25,-123.75,49.25,-123.75
2023-01-01 15:00:00,0.94,0.1,49.25,-123.75,49.25,-123.75
2023-01-01 16:00:00,0.92,0.14,49.25,-123.75,49.25,-123.75
2023-01-01 17:00:00,0.5,1.41,49.25,-123.75,49.25,-123.75
2023-01-01 18:00:00,1.66,2.6,49.25,-123.75,49.25,-123.75
2023-01-01 19:00:00,2.14,2.3,49.25,-123.75,49.25,-123.75
2023-01-01 20:00:00,2.2,2.36,49.25,-123.75,49.25,-123.75
2023-01-01 21:00:00,2.64,2.94,49.25,-123.75,49.25,-123.75
2023-01-01 22:00:00,3.4,3.85,49.25,-123.75,49.25,-123.75
2023-01-01 23:00:00,3.68,4.46,49.25,-123.75,49.25,-123.75
2023-01-02 00:00:00,3.54,4.52,49.25,-123.75,49.25,-123.75
2023-01-02 01:00:00,3.04,4.04,49.25,-123.75,49.25,-123.75
2023-01-02 02:00:00,3.04,4.04,49.25,-123.75,49.25,-123.75
2023-01-02 03:00:00,2.55,3.26,49.25,-123.75,49.25,-123.75
2023-01-02 04:00:00,2.01,2.64,49.25,-123.75,49.25,-123.75
2023-01-02 05:00:00,2.67,3.71,49.25,-123.75,49.25,-123.75
2023-01-02 06:00:00,2.75,3.92,49.25,-123.75,49.25,-123.75
2023-01-02 07:00:00,2.56,3.96,49.25,-123.75,49.25,-123.75
2023-01-02 08:00:00,2.69,4.11,49.25,-123.75,49.25,-123.75
2023-01-02 09:00:00,2.6,3.67,49.25,-123.75,49.25,-123.75
2023-01-02 10:00:00,3.28,4.51,49.25,-123.75,49.25,-123.75
2023-01-02 11:00:00,2.92,4.25,49.25,-123.75,49.25,-123.75
2023-01-02 12:00:00,2.47,3.67,49.25,-123.75,49.25,-123.75
2023-01-02 13:00:00,2.19,3.27,49.25,-123.75,49.25,-123.75
2023-01-02 14:00:00,2.26,3.42,49.25,-123.75,49.25,-123.75
2023-01-02 15:00:00,1.97,3.23,49.25,-123.75,49.25,-123.75
2023-01-02 16:00:00,1.48,2.64,49.25,-123.75,49.25,-123.75
2023-01-02 17:00:00,1.77,2.95,49.25,-123.75,49.25,-123.75
2023-01-02 18:00:00,2.36,3.58,49.25,-123.75,49.25,-123.75
2023-01-02 19:00:00,2.69,3.78,49.25,-123.75,49.25,-123.75
2023-01-02 20:00:00,2.5,3.39,49.25,-123.75,49.25,-123.75
2023-01-02 21:00:00,2.33,3.05,49.25,-123.75,49.25,-123.75
2023-01-02 22:00:00,1.71,2.02,49.25,-123.75,49.25,-123.75
2023-01-02 23:00:00,2.12,2.82,49.25,-123.75,49.25,-123.75
2023-01-03 00:00:00,2.37,3.31,49.25,-123.75,49.25,-123.75
2023-01-03 01:00:00,2.62,3.56,49.25,-123.75,49.25,-123.75
2023-01-03 02:00:00,1.86,2.94,49.25,-123.75,49.25,-123.75
2023-01-03 03:00:00,1.77,2.95,49.25,-123.75,49.25,-123.75
2023-01-03 04:00:00,2.19,3.58,49.25,-123.75,49.25,-123.75
2023-01-03 05:00:00,2.22,3.76,49.25,-123.75,49.25,-123.75
2023-01-03 06:00:00,2.5,3.96,49.25,-123.75,49.25,-123.75
2023-01-03 07:00:00,2.78,4.18,49.25,-123.75,49.25,-123.75
2023-01-03 08:00:00,2.88,4.25,49.25,-123.75,49.25,-123.75
2023-01-03 09:00:00,2.69,3.91,49.25,-123.75,49.25,-123.75
2023-01-03 10:00:00,3.01,4.07,49.25,-123.75,49.25,-123.75
2023-01-03 11:00:00,3.75,5.07,49.25,-123.75,49.25,-123.75
2023-01-03 12:00:00,4.08,5.6,49.25,-123.75,49.25,-123.75
2023-01-03 13:00:00,4.93,6.39,49.25,-123.75,49.25,-123.75
2023-01-03 14:00:00,5.82,7.34,49.25,-123.75,49.25,-123.75
2023-01-03 15:00:00,5.95,7.46,49.25,-123.75,49.25,-123.75
2023-01-03 16:00:00,6.01,7.4,49.25,-123.75,49.25,-123.75
2023-01-03 17:00:00,5.72,7.02,49.25,-123.75,49.25,-123.75
2023-01-03 18:00:00,5.47,6.86,49.25,-123.75,49.25,-123.75
2023-01-03 19:00:00,5.79,7.08,49.25,-123.75,49.25,-123.75
2023-01-03 20:00:00,5.79,7.04,49.25,-123.75,49.25,-123.75
2023-01-03 21:00:00,5.52,6.63,49.25,-123.75,49.25,-123.75
2023-01-03 22:00:00,5.48,6.62,49.25,-123.75,49.25,-123.75
2023-01-03 23:00:00,5.66,6.93,49.25,-123.75,49.25,-123.75
2023-01-04 00:00:00,5.09,6.36,49.25,-123.75,49.25,-123.75
2023-01-04 01:00:00,4.81,6.17,49.25,-123.75,49.25,-123.75
2023-01-04 02:00:00,4.24,5.76,49.25,-123.75,49.25,-123.75
2023-01-04 03:00:00,3.61,5.32,49.25,-123.75,49.25,-123.75
2023-01-04 04:00:00,3.03,4.75,49.25,-123.75,49.25,-123.75
2023-01-04 05:00:00,3.01,4.8,49.25,-123.75,49.25,-123.75
2023-01-04 06:00:00,3.57,5.41,49.25,-123.75,49.25,-123.75
2023-01-04 07:00:00,3.63,5.4,49.25,-123.75,49.25,-123.75
2023-01-04 08:00:00,3.2,5.1,49.25,-123.75,49.25,-123.75
2023-01-04 09:00:00,3.01,5.06,49.25,-123.75,49.25,-123.75
2023-01-04 10:00:00,2.8,4.3,49.25,-123.75,49.25,-123.75
2023-01-04 11:00:00,3.14,4.67,49.25,-123.75,49.25,-123.75
2023-01-04 12:00:00,3.65,5.3,49.25,-123.75,49.25,-123.75
2023-01-04 13:00:00,4.13,6.02,49.25,-123.75,49.25,-123.75
2023-01-04 14:00:00,3.9,5.64,49.25,-123.75,49.25,-123.75
2023-01-04 15:00:00,2.63,3.98,49.25,-123.75,49.25,-123.75
2023-01-04 16:00:00,2.52,3.71,49.25,-123.75,49.25,-123.75
2023-01-04 17:00:00,3.38,4.77,49.25,-123.75,49.25,-123.75
2023-01-04 18:00:00,3.51,5.22,49.25,-123.75,49.25,-123.75
2023-01-04 19:00:00,2.18,3.55,49.25,-123.75,49.25,-123.75
2023-01-04 20:00:00,1.61,2.7,49.25,-123.75,49.25,-123.75
2023-01-04 21:00:00,2.16,2.92,49.25,-123.75,49.25,-123.75
2023-01-04 22:00:00,2.02,2.73,49.25,-123.75,49.25,-123.75
2023-01-04 23:00:00,2.69,4.12,49.25,-123.75,49.25,-123.75
2023-01-05 00:00:00,2.82,4.97,49.25,-123.75,49.25,-123.75
2023-01-05 01:00:00,3.49,5.92,49.25,-123.75,49.25,-123.75
2023-01-05 02:00:00,3.99,6.51,49.25,-123.75,49.25,-123.75
2023-01-05 03:00:00,3.98,6.39,49.25,-123.75,49.25,-123.75
2023-01-05 04:00:00,4.25,6.52,49.25,-123.75,49.25,-123.75
2023-01-05 05:00:00,4.6,6.79,49.25,-123.75,49.25,-123.75
2023-01-05 06:00:00,4.08,5.91,49.25,-123.75,49.25,-123.75
2023-01-05 07:00:00,3.39,4.61,49.25,-123.75,49.25,-123.75
2023-01-05 08:00:00,3.26,4.49,49.25,-123.75,49.25,-123.75
2023-01-05 09:00:00,2.2,3.26,49.25,-123.75,49.25,-123.75
2023-01-05 10:00:00,1.28,2.44,49.25,-123.75,49.25,-123.75
2023-01-05 11:00:00,1.12,2.42,49.25,-123.75,49.25,-123.75
2023-01-05 12:00:00,1.51,3.0,49.25,-123.75,49.25,-123.75
2023-01-05 13:00:00,2.5,4.22,49.25,-123.75,49.25,-123.75
2023-01-05 14:00:00,2.83,4.69,49.25,-123.75,49.25,-123.75
2023-01-05 15:00:00,2.7,4.62,49.25,-123.75,49.25,-123.75
2023-01-05 16:00:00,2.73,4.59,49.25,-123.75,49.25,-123.75
2023-01-05 17:00:00,2.88,4.88,49.25,-123.75,49.25,-123.75
2023-01-05 18:00:00,3.36,5.65,49.25,-123.75,49.25,-123.75
2023-01-05 19:00:00,4.34,6.87,49.25,-123.75,49.25,-123.75
2023-01-05 20:00:00,5.14,7.93,49.25,-123.75,49.25,-123.75
2023-01-05 21:00:00,5.63,8.64,49.25,-123.75,49.25,-123.75
2023-01-05 22:00:00,5.81,9.38,49.25,-123.75,49.25,-123.75
2023-01-05 23:00:00,9.31,13.71,49.25,-123.75,49.25,-123.75
2023-01-06 00:00:00,10.26,15.18,49.25,-123.75,49.25,-123.75
2023-01-06 01:00:00,9.63,14.48,49.25,-123.75,49.25,-123.75
2023-01-06 02:00:00,9.42,13.91,49.25,-123.75,49.25,-123.75
2023-01-06 03:00:00,9.44,13.82,49.25,-123.75,49.25,-123.75
2023-01-06 04:00:00,9.35,13.51,49.25,-123.75,49.25,-123.75
2023-01-06 05:00:00,8.94,13.04,49.25,-123.75,49.25,-123.75
2023-01-06 06:00:00,8.11,11.68,49.25,-123.75,49.25,-123.75
2023-01-06 07:00:00,7.39,10.44,49.25,-123.75,49.25,-123.75
2023-01-06 08:00:00,7.03,9.84,49.25,-123.75,49.25,-123.75
2023-01-06 09:00:00,6.45,9.2,49.25,-123.75,49.25,-123.75
2023-01-06 10:00:00,5.69,7.98,49.25,-123.75,49.25,-123.75
2023-01-06 11:00:00,6.0,8.71,49.25,-123.75,49.25,-123.75
2023-01-06 12:00:00,4.83,7.47,49.25,-123.75,49.25,-123.75
2023-01-06 13:00:00,4.78,7.24,49.25,-123.75,49.25,-123.75
2023-01-06 14:00:00,5.17,7.78,49.25,-123.75,49.25,-123.75
2023-01-06 15:00:00,5.53,8.08,49.25,-123.75,49.25,-123.75
2023-01-06 16:00:00,5.94,8.57,49.25,-123.75,49.25,-123.75
2023-01-06 17:00:00,6.81,9.77,49.25,-123.75,49.25,-123.75
2023-01-06 18:00:00,7.73,10.89,49.25,-123.75,49.25,-123.75
2023-01-06 19:00:00,7.78,11.01,49.25,-123.75,49.25,-123.75
2023-01-06 20:00:00,7.64,10.73,49.25,-123.75,49.25,-123.75
2023-01-06 21:00:00,7.61,10.72,49.25,-123.75,49.25,-123.75
2023-01-06 22:00:00,7.81,10.89,49.25,-123.75,49.25,-123.75
2023-01-06 23:00:00,8.12,11.6,49.25,-123.75,49.25,-123.75
2023-01-07 00:00:00,8.9,12.61,49.25,-123.75,49.25,-123.75
2023-01-07 01:00:00,8.71,12.61,49.25,-123.75,49.25,-123.75
2023-01-07 02:00:00,8.6,12.49,49.25,-123.75,49.25,-123.75
2023-01-07 03:00:00,8.81,12.79,49.25,-123.75,49.25,-123.75
2023-01-07 04:00:00,8.03,11.74,49.25,-123.75,49.25,-123.75
2023-01-07 05:00:00,7.3,10.66,49.25,-123.75,49.25,-123.75
2023-01-07 06:00:00,6.87,10.02,49.25,-123.75,49.25,-123.75
2023-01-07 07:00:00,7.15,10.29,49.25,-123.75,49.25,-123.75
2023-01-07 08:00:00,7.23,10.4,49.25,-123.75,49.25,-123.75
2023-01-07 09:00:00,6.45,9.21,49.25,-123.75,49.25,-123.75
2023-01-07 10:00:00,6.82,9.86,49.25,-123.75,49.25,-123.75
2023-01-07 11:00:00,6.63,9.68,49.25,-123.75,49.25,-123.75
2023-01-07 12:00:00,6.14,9.06,49.25,-123.75,49.25,-123.75
2023-01-07 13:00:00,6.0,8.71,49.25,-123.75,49.25,-123.75
2023-01-07 14:00:00,5.92,8.52,49.25,-123.75,49.25,-123.75
2023-01-07 15:00:00,5.3,7.69,49.25,-123.75,49.25,-123.75
2023-01-07 16:00:00,4.92,7.04,49.25,-123.75,49.25,-123.75
2023-01-07 17:00:00,4.79,6.91,49.25,-123.75,49.25,-123.75
2023-01-07 18:00:00,4.26,6.11,49.25,-123.75,49.25,-123.75
2023-01-07 19:00:00,4.16,5.9,49.25,-123.75,49.25,-123.75
2023-01-07 20:00:00,3.62,5.3,49.25,-123.75,49.25,-123.75
2023-01-07 21:00:00,3.0,4.5,49.25,-123.75,49.25,-123.75
2023-01-07 22:00:00,3.64,5.02,49.25,-123.75,49.25,-123.75
2023-01-07 23:00:00,3.68,5.49,49.25,-123.75,49.25,-123.75
2023-01-08 00:00:00,4.03,5.87,49.25,-123.75,49.25,-123.75
2023-01-08 01:00:00,3.9,5.79,49.25,-123.75,49.25,-123.75
2023-01-08 02:00:00,3.8,5.68,49.25,-123.75,49.25,-123.75
2023-01-08 03:00:00,4.02,5.87,49.25,-123.75,49.25,-123.75
2023-01-08 04:00:00,4.48,6.55,49.25,-123.75,49.25,-123.75
2023-01-08 05:00:00,5.06,7.37,49.25,-123.75,49.25,-123.75
2023-01-08 06:00:00,5.46,7.92,49.25,-123.75,49.25,-123.75
2023-01-08 07:00:00,5.58,7.92,49.25,-123.75,49.25,-123.75
2023-01-08 08:00:00,5.2,7.5,49.25,-123.75,49.25,-123.75
2023-01-08 09:00:00,4.69,6.72,49.25,-123.75,49.25,-123.75
2023-01-08 10:00:00,4.34,6.51,49.25,-123.75,49.25,-123.75
2023-01-08 11:00:00,3.84,5.59,49.25,-123.75,49.25,-123.75
2023-01-08 12:00:00,2.22,3.81,49.25,-123.75,49.25,-123.75
2023-01-08 13:00:00,0.58,1.9,49.25,-123.75,49.25,-123.75
2023-01-08 14:00:00,0.1,1.25,49.25,-123.75,49.25,-123.75
2023-01-08 15:00:00,1.27,2.76,49.25,-123.75,49.25,-123.75
