timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2024-01-01 00:00:00,3.48,3.67,-5.5,106.75,-5.5,106.75
2024-01-01 01:00:00,2.94,3.04,-5.5,106.75,-5.5,106.75
2024-01-01 02:00:00,2.71,2.91,-5.5,106.75,-5.5,106.75
2024-01-01 03:00:00,2.31,2.51,-5.5,106.75,-5.5,106.75
2024-01-01 04:00:00,2.3,2.4,-5.5,106.75,-5.5,106.75
2024-01-01 05:00:00,2.8,2.9,-5.5,106.75,-5.5,106.75
2024-01-01 06:00:00,3.8,4.0,-5.5,106.75,-5.5,106.75
2024-01-01 07:00:00,4.4,4.7,-5.5,106.75,-5.5,106.75
2024-01-01 08:00:00,4.2,4.4,-5.5,106.75,-5.5,106.75
2024-01-01 09:00:00,3.82,4.02,-5.5,106.75,-5.5,106.75
2024-01-01 10:00:00,5.23,5.63,-5.5,106.75,-5.5,106.75
2024-01-01 11:00:00,5.91,6.31,-5.5,106.75,-5.5,106.75
2024-01-01 12:00:00,6.41,7.02,-5.5,106.75,-5.5,106.75
2024-01-01 13:00:00,6.28,6.79,-5.5,106.75,-5.5,106.75
2024-01-01 14:00:00,5.82,6.36,-5.5,106.75,-5.5,106.75
2024-01-01 15:00:00,4.97,5.39,-5.5,106.75,-5.5,106.75
2024-01-01 16:00:00,4.68,5.0,-5.5,106.75,-5.5,106.75
2024-01-01 17:00:00,3.83,4.14,-5.5,106.75,-5.5,106.75
2024-01-01 18:00:00,3.26,3.57,-5.5,106.75,-5.5,106.75
2024-01-01 19:00:00,2.94,3.14,-5.5,106.75,-5.5,106.75
2024-01-01 20:00:00,2.75,2.94,-5.5,106.75,-5.5,106.75
2024-01-01 21:00:00,2.15,2.25,-5.5,106.75,-5.5,106.75
2024-01-01 22:00:00,4.52,4.83,-5.5,106.75,-5.5,106.75
2024-01-01 23:00:00,4.17,4.46,-5.5,106.75,-5.5,106.75
2024-01-02 00:00:00,3.47,3.75,-5.5,106.75,-5.5,106.75
2024-01-02 01:00:00,2.86,3.0,-5.5,106.75,-5.5,106.75
2024-01-02 02:00:00,2.79,3.01,-5.5,106.75,-5.5,106.75
2024-01-02 03:00:00,3.31,3.51,-5.5,106.75,-5.5,106.75
2024-01-02 04:00:00,3.93,4.13,-5.5,106.75,-5.5,106.75
2024-01-02 05:00:00,3.71,3.91,-5.5,106.75,-5.5,106.75
2024-01-02 06:00:00,3.14,3.36,-5.5,106.75,-5.5,106.75
2024-01-02 07:00:00,3.38,3.47,-5.5,106.75,-5.5,106.75
2024-01-02 08:00:00,4.53,4.81,-5.5,106.75,-5.5,106.75
2024-01-02 09:00:00,4.46,4.81,-5.5,106.75,-5.5,106.75
2024-01-02 10:00:00,3.48,3.76,-5.5,106.75,-5.5,106.75
2024-01-02 11:00:00,4.58,4.85,-5.5,106.75,-5.5,106.75
2024-01-02 12:00:00,5.11,5.61,-5.5,106.75,-5.5,106.75
2024-01-02 13:00:00,4.49,4.88,-5.5,106.75,-5.5,106.75
2024-01-02 14:00:00,3.55,3.77,-5.5,106.75,-5.5,106.75
2024-01-02 15:00:00,3.92,4.23,-5.5,106.75,-5.5,106.75
2024-01-02 16:00:00,3.67,3.98,-5.5,106.75,-5.5,106.75
2024-01-02 17:00:00,2.62,2.93,-5.5,106.75,-5.5,106.75
2024-01-02 18:00:00,2.92,3.14,-5.5,106.75,-5.5,106.75
2024-01-02 19:00:00,2.86,3.05,-5.5,106.75,-5.5,106.75
2024-01-02 20:00:00,2.6,2.82,-5.5,106.75,-5.5,106.75
2024-01-02 21:00:00,2.66,2.8,-5.5,106.75,-5.5,106.75
2024-01-02 22:00:00,3.76,4.05,-5.5,106.75,-5.5,106.75
2024-01-02 23:00:00,3.92,4.2,-5.5,106.75,-5.5,106.75
2024-01-03 00:00:00,3.86,4.08,-5.5,106.75,-5.5,106.75
2024-01-03 01:00:00,4.88,5.16,-5.5,106.75,-5.5,106.75
2024-01-03 02:00:00,5.8,6.22,-5.5,106.75,-5.5,106.75
2024-01-03 03:00:00,5.39,5.8,-5.5,106.75,-5.5,106.75
2024-01-03 04:00:00,4.73,5.07,-5.5,106.75,-5.5,106.75
2024-01-03 05:00:00,4.51,4.85,-5.5,106.75,-5.5,106.75
2024-01-03 06:00:00,4.52,4.74,-5.5,106.75,-5.5,106.75
2024-01-03 07:00:00,4.21,4.43,-5.5,106.75,-5.5,106.75
2024-01-03 08:00:00,3.96,4.18,-5.5,106.75,-5.5,106.75
2024-01-03 09:00:00,3.63,3.83,-5.5,106.75,-5.5,106.75
2024-01-03 10:00:00,2.97,3.16,-5.5,106.75,-5.5,106.75
2024-01-03 11:00:00,3.31,3.54,-5.5,106.75,-5.5,106.75
2024-01-03 12:00:00,3.08,3.16,-5.5,106.75,-5.5,106.75
2024-01-03 13:00:00,3.36,3.5,-5.5,106.75,-5.5,106.75
2024-01-03 14:00:00,4.1,4.34,-5.5,106.75,-5.5,106.75
2024-01-03 15:00:00,4.64,4.96,-5.5,106.75,-5.5,106.75
2024-01-03 16:00:00,5.31,5.66,-5.5,106.75,-5.5,106.75
2024-01-03 17:00:00,5.14,5.59,-5.5,106.75,-5.5,106.75
2024-01-03 18:00:00,4.8,5.16,-5.5,106.75,-5.5,106.75
2024-01-03 19:00:00,4.55,4.9,-5.5,106.75,-5.5,106.75
2024-01-03 20:00:00,4.32,4.63,-5.5,106.75,-5.5,106.75
2024-01-03 21:00:00,5.18,5.59,-5.5,106.75,-5.5,106.75
2024-01-03 22:00:00,6.14,6.58,-5.5,106.75,-5.5,106.75
2024-01-03 23:00:00,6.62,7.25,-5.5,106.75,-5.5,106.75
2024-01-04 00:00:00,6.77,7.3,-5.5,106.75,-5.5,106.75
2024-01-04 01:00:00,6.79,7.4,-5.5,106.75,-5.5,106.75
2024-01-04 02:00:00,6.75,7.36,-5.5,106.75,-5.5,106.75
2024-01-04 03:00:00,6.72,7.22,-5.5,106.75,-5.5,106.75
2024-01-04 04:00:00,6.2,6.7,-5.5,106.75,-5.5,106.75
2024-01-04 05:00:00,5.3,5.71,-5.5,106.75,-5.5,106.75
2024-01-04 06:00:00,4.61,4.89,-5.5,106.75,-5.5,106.75
2024-01-04 07:00:00,4.96,5.38,-5.5,106.75,-5.5,106.75
2024-01-04 08:00:00,5.32,5.74,-5.5,106.75,-5.5,106.75
2024-01-04 09:00:00,4.74,5.16,-5.5,106.75,-5.5,106.75
2024-01-04 10:00:00,1.84,2.01,-5.5,106.75,-5.5,106.75
2024-01-04 11:00:00,0.71,0.81,-5.5,106.75,-5.5,106.75
2024-01-04 12:00:00,1.44,1.44,-5.5,106.75,-5.5,106.75
2024-01-04 13:00:00,1.96,2.09,-5.5,106.75,-5.5,106.75
2024-01-04 14:00:00,2.5,2.5,-5.5,106.75,-5.5,106.75
2024-01-04 15:00:00,2.53,2.65,-5.5,106.75,-5.5,106.75
2024-01-04 16:00:00,2.01,2.0,-5.5,106.75,-5.5,106.75
2024-01-04 17:00:00,1.84,1.82,-5.5,106.75,-5.5,106.75
2024-01-04 18:00:00,1.97,1.92,-5.5,106.75,-5.5,106.75
2024-01-04 19:00:00,1.7,1.62,-5.5,106.75,-5.5,106.75
2024-01-04 20:00:00,1.43,1.3,-5.5,106.75,-5.5,106.75
2024-01-04 21:00:00,1.4,1.41,-5.5,106.75,-5.5,106.75
2024-01-04 22:00:00,2.47,2.47,-5.5,106.75,-5.5,106.75
2024-01-04 23:00:00,2.22,2.21,-5.5,106.75,-5.5,106.75
2024-01-05 00:00:00,2.3,2.4,-5.5,106.75,-5.5,106.75
2024-01-05 01:00:00,2.21,2.25,-5.5,106.75,-5.5,106.75
2024-01-05 02:00:00,2.5,2.7,-5.5,106.75,-5.5,106.75
2024-01-05 03:00:00,2.5,2.7,-5.5,106.75,-5.5,106.75
2024-01-05 04:00:00,2.55,2.76,-5.5,106.75,-5.5,106.75
2024-01-05 05:00:00,2.7,2.84,-5.5,106.75,-5.5,106.75
2024-01-05 06:00:00,2.44,2.52,-5.5,106.75,-5.5,106.75
2024-01-05 07:00:00,2.16,2.26,-5.5,106.75,-5.5,106.75
2024-01-05 08:00:00,1.9,2.0,-5.5,106.75,-5.5,106.75
2024-01-05 09:00:00,2.1,2.2,-5.5,106.75,-5.5,106.75
2024-01-05 10:00:00,2.06,2.2,-5.5,106.75,-5.5,106.75
2024-01-05 11:00:00,1.51,1.51,-5.5,106.75,-5.5,106.75
2024-01-05 12:00:00,1.33,1.33,-5.5,106.75,-5.5,106.75
2024-01-05 13:00:00,1.58,1.64,-5.5,106.75,-5.5,106.75
2024-01-05 14:00:00,2.92,3.05,-5.5,106.75,-5.5,106.75
2024-01-05 15:00:00,3.13,3.26,-5.5,106.75,-5.5,106.75
2024-01-05 16:00:00,2.94,3.16,-5.5,106.75,-5.5,106.75
2024-01-05 17:00:00,2.5,2.75,-5.5,106.75,-5.5,106.75
2024-01-05 18:00:00,1.77,2.02,-5.5,106.75,-5.5,106.75
2024-01-05 19:00:00,1.06,1.2,-5.5,106.75,-5.5,106.75
2024-01-05 20:00:00,0.57,0.78,-5.5,106.75,-5.5,106.75
2024-01-05 21:00:00,0.64,0.5,-5.5,106.75,-5.5,106.75
2024-01-05 22:00:00,1.56,1.56,-5.5,106.75,-5.5,106.75
2024-01-05 23:00:00,0.94,0.81,-5.5,106.75,-5.5,106.75
2024-01-06 00:00:00,1.55,1.55,-5.5,106.75,-5.5,106.75
2024-01-06 01:00:00,2.53,2.53,-5.5,106.75,-5.5,106.75
2024-01-06 02:00:00,2.9,3.0,-5.5,106.75,-5.5,106.75
2024-01-06 03:00:00,2.5,2.6,-5.5,106.75,-5.5,106.75
2024-01-06 04:00:00,2.6,2.61,-5.5,106.75,-5.5,106.75
2024-01-06 05:00:00,3.01,3.11,-5.5,106.75,-5.5,106.75
2024-01-06 06:00:00,3.76,3.86,-5.5,106.75,-5.5,106.75
2024-01-06 07:00:00,3.95,4.14,-5.5,106.75,-5.5,106.75
2024-01-06 08:00:00,3.54,3.74,-5.5,106.75,-5.5,106.75
2024-01-06 09:00:00,4.09,4.37,-5.5,106.75,-5.5,106.75
2024-01-06 10:00:00,5.0,5.41,-5.5,106.75,-5.5,106.75
