timestamp,wind_speed_10m,wind_speed_100m,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude
2024-01-01 00:00:00,4.44,5.04,1.0,104.25,1.0,104.25
2024-01-01 01:00:00,4.4,4.81,1.0,104.25,1.0,104.25
2024-01-01 02:00:00,4.15,4.56,1.0,104.25,1.0,104.25
2024-01-01 03:00:00,3.99,4.57,1.0,104.25,1.0,104.25
2024-01-01 04:00:00,3.94,4.52,1.0,104.25,1.0,104.25
2024-01-01 05:00:00,3.53,4.02,1.0,104.25,1.0,104.25
2024-01-01 06:00:00,3.62,4.11,1.0,104.25,1.0,104.25
2024-01-01 07:00:00,3.23,3.58,1.0,104.25,1.0,104.25
2024-01-01 08:00:00,3.35,3.7,1.0,104.25,1.0,104.25
2024-01-01 09:00:00,3.75,4.06,1.0,104.25,1.0,104.25
2024-01-01 10:00:00,4.93,5.57,1.0,104.25,1.0,104.25
2024-01-01 11:00:00,6.11,6.96,1.0,104.25,1.0,104.25
2024-01-01 12:00:00,6.02,6.83,1.0,104.25,1.0,104.25
2024-01-01 13:00:00,5.11,5.91,1.0,104.25,1.0,104.25
2024-01-01 14:00:00,3.9,4.4,1.0,104.25,1.0,104.25
2024-01-01 15:00:00,3.57,3.96,1.0,104.25,1.0,104.25
2024-01-01 16:00:00,3.59,3.98,1.0,104.25,1.0,104.25
2024-01-01 17:00:00,3.34,3.63,1.0,104.25,1.0,104.25
2024-01-01 18:00:00,3.6,3.9,1.0,104.25,1.0,104.25
2024-01-01 19:00:00,4.8,5.2,1.0,104.25,1.0,104.25
2024-01-01 20:00:00,5.21,5.8,1.0,104.25,1.0,104.25
2024-01-01 21:00:00,5.12,5.72,1.0,104.25,1.0,104.25
2024-01-01 22:00:00,4.13,4.74,1.0,104.25,1.0,104.25
2024-01-01 23:00:00,4.5,5.1,1.0,104.25,1.0,104.25
2024-01-02 00:00:00,4.0,4.5,1.0,104.25,1.0,104.25
2024-01-02 01:00:00,4.01,4.31,1.0,104.25,1.0,104.25
2024-01-02 02:00:00,4.52,5.02,1.0,104.25,1.0,104.25
2024-01-02 03:00:00,4.8,5.31,1.0,104.25,1.0,104.25
2024-01-02 04:00:00,4.51,5.01,1.0,104.25,1.0,104.25
2024-01-02 05:00:00,4.4,4.9,1.0,104.25,1.0,104.25
2024-01-02 06:00:00,4.85,5.46,1.0,104.25,1.0,104.25
2024-01-02 07:00:00,5.57,6.28,1.0,104.25,1.0,104.25
2024-01-02 08:00:00,6.07,6.87,1.0,104.25,1.0,104.25
2024-01-02 09:00:00,6.03,6.84,1.0,104.25,1.0,104.25
2024-01-02 10:00:00,5.55,6.4,1.0,104.25,1.0,104.25
2024-01-02 11:00:00,6.22,7.56,1.0,104.25,1.0,104.25
2024-01-02 12:00:00,5.55,6.52,1.0,104.25,1.0,104.25
2024-01-02 13:00:00,5.36,6.02,1.0,104.25,1.0,104.25
2024-01-02 14:00:00,4.64,5.22,1.0,104.25,1.0,104.25
2024-01-02 15:00:00,4.44,5.07,1.0,104.25,1.0,104.25
2024-01-02 16:00:00,4.39,5.15,1.0,104.25,1.0,104.25
