panel,scenario,country,season,start_hour,metric,value,unit,eact_value,static_value
a,none,AUS,Q1,336,objective_increase_pct,-1.31600672406,%,166.75458991,168.978356443
a,none,AUS,Q2,2496,objective_increase_pct,0.1219731227,%,287.244529426,286.89459513
a,none,AUS,Q3,4680,objective_increase_pct,-0.0217762059991,%,339.355681523,339.429596411
a,none,AUS,Q4,6888,objective_increase_pct,0.75360439632,%,153.369471722,152.222317644
a,none,CAN,Q1,336,objective_increase_pct,0.233072602827,%,168.705521756,168.313229731
a,none,CAN,Q2,2496,objective_increase_pct,0.0916922387183,%,165.237541952,165.086170746
a,none,CAN,Q3,4680,objective_increase_pct,0.00488669022507,%,186.304231387,186.295127721
a,none,CAN,Q4,6888,objective_increase_pct,-0.188791543244,%,154.922256744,155.215290085
a,none,CHN,Q1,336,objective_increase_pct,-0.621225459961,%,362.455902385,364.721646109
a,none,CHN,Q2,2496,objective_increase_pct,0.179183949971,%,127.985686116,127.756766495
a,none,CHN,Q3,4680,objective_increase_pct,-0.211934483182,%,104.886796772,105.109560175
a,none,CHN,Q4,6888,objective_increase_pct,-0.62929523284,%,174.527493596,175.632742069
a,none,GBR,Q1,336,objective_increase_pct,0.0361919599917,%,264.537443895,264.441737247
a,none,GBR,Q2,2496,objective_increase_pct,0.137703216692,%,150.80025779,150.592886541
a,none,GBR,Q3,4680,objective_increase_pct,0.064147711101,%,175.782174962,175.669487007
a,none,GBR,Q4,6888,objective_increase_pct,0.816464486944,%,133.004620811,131.92747979
a,none,IDN,Q1,336,objective_increase_pct,0.265506344943,%,380.248617446,379.241706652
a,none,IDN,Q2,2496,objective_increase_pct,0.251788332206,%,657.628674607,655.977001056
a,none,IDN,Q3,4680,objective_increase_pct,-0.00341274230979,%,617.021884135,617.042942221
a,none,IDN,Q4,6888,objective_increase_pct,-0.0198299562038,%,569.777689274,569.89069835
a,none,IND,Q1,336,objective_increase_pct,4.17941432909,%,403.904280429,387.700663351
a,none,IND,Q2,2496,objective_increase_pct,0.25943272066,%,588.666996382,587.143753369
a,none,IND,Q3,4680,objective_increase_pct,0.457679137569,%,453.940110658,451.871986846
a,none,IND,Q4,6888,objective_increase_pct,-0.0564293255092,%,519.989545672,520.283137938
a,none,IRL,Q1,336,objective_increase_pct,-0.0230847404545,%,124.152200443,124.180867274
a,none,IRL,Q2,2496,objective_increase_pct,0.387791694723,%,219.597544006,218.749252572
a,none,IRL,Q3,4680,objective_increase_pct,-0.0432997940462,%,190.481416965,190.563930755
a,none,IRL,Q4,6888,objective_increase_pct,-0.154931981236,%,175.828227924,176.101064793
a,none,JPN,Q1,336,objective_increase_pct,0.115655917386,%,273.144285946,272.82874336
a,none,JPN,Q2,2496,objective_increase_pct,-0.098345029361,%,159.407167061,159.564090412
a,none,JPN,Q3,4680,objective_increase_pct,0.175759728755,%,273.340158505,272.860579491
a,none,JPN,Q4,6888,objective_increase_pct,0.566688889252,%,222.923359815,221.667196441
a,none,KOR,Q1,336,objective_increase_pct,1.35553714038,%,260.837517429,257.349055403
a,none,KOR,Q2,2496,objective_increase_pct,0.202610598483,%,175.924000178,175.568280235
a,none,KOR,Q3,4680,objective_increase_pct,0.149815689749,%,210.887158645,210.571689217
a,none,KOR,Q4,6888,objective_increase_pct,-0.459271179427,%,172.673235415,173.469932821
a,none,MYS,Q1,336,objective_increase_pct,0.220133931547,%,246.492350988,245.950929537
a,none,MYS,Q2,2496,objective_increase_pct,0.24921203677,%,669.80733701,668.14224611
a,none,MYS,Q3,4680,objective_increase_pct,-0.00122015261538,%,548.193496504,548.200185383
a,none,MYS,Q4,6888,objective_increase_pct,-0.879124668403,%,535.07867507,539.824404577
a,none,NLD,Q1,336,objective_increase_pct,-0.0734162613569,%,281.795469272,282.002504968
a,none,NLD,Q2,2496,objective_increase_pct,0.09539172225,%,257.14674161,256.901678674
a,none,NLD,Q3,4680,objective_increase_pct,0.0513494424995,%,199.168171889,199.065952632
a,none,NLD,Q4,6888,objective_increase_pct,1.64330820516,%,157.672221214,155.123071059
a,none,NOR,Q1,336,objective_increase_pct,0.0805501560223,%,147.154258978,147.035821394
a,none,NOR,Q2,2496,objective_increase_pct,0.116401763974,%,164.968229386,164.776426719
a,none,NOR,Q3,4680,objective_increase_pct,0.0055044356636,%,184.083292263,184.073160075
a,none,NOR,Q4,6888,objective_increase_pct,0.0103353650577,%,157.897748221,157.881430599
a,none,PRT,Q1,336,objective_increase_pct,7.1419970815,%,106.566150514,99.4625388889
a,none,PRT,Q2,2496,objective_increase_pct,0.148624232492,%,94.0088878424,93.8693752039
a,none,PRT,Q3,4680,objective_increase_pct,0.320283651598,%,88.3772779088,88.09512363
a,none,PRT,Q4,6888,objective_increase_pct,0.220326653106,%,205.482022505,205.030286138
a,none,SGP,Q1,336,objective_increase_pct,-0.223529335902,%,198.485106103,198.929772503
a,none,SGP,Q2,2496,objective_increase_pct,0.246761643203,%,501.079113271,499.845685844
a,none,SGP,Q3,4680,objective_increase_pct,0.000463829620025,%,417.557997765,417.556061017
a,none,SGP,Q4,6888,objective_increase_pct,-0.0879100580759,%,410.315155905,410.676181574
a,none,USA,Q1,336,objective_increase_pct,0.453482086054,%,238.658986146,237.581596167
a,none,USA,Q2,2496,objective_increase_pct,0.146324821407,%,234.335120444,233.992730998
a,none,USA,Q3,4680,objective_increase_pct,-0.00262008775736,%,261.515527342,261.522379458
a,none,USA,Q4,6888,objective_increase_pct,-0.0482606608157,%,266.985736811,267.114648105
b,none,AUS,Q1,336,p95_reduction_c,0.093431395478,degC,26.6875475658,26.7809789613
b,none,AUS,Q2,2496,p95_reduction_c,0.115999177379,degC,26.803035114,26.9190342914
b,none,AUS,Q3,4680,p95_reduction_c,0.113791653013,degC,26.7722201591,26.8860118122
b,none,AUS,Q4,6888,p95_reduction_c,0.0941830206612,degC,26.7400997971,26.8342828178
b,none,CAN,Q1,336,p95_reduction_c,0.18094623617,degC,26.8190537583,26.9999999944
b,none,CAN,Q2,2496,p95_reduction_c,0.110023575481,degC,26.8363407545,26.94636433
b,none,CAN,Q3,4680,p95_reduction_c,0.100293416423,degC,26.7907223298,26.8910157462
b,none,CAN,Q4,6888,p95_reduction_c,-0.00311248135394,degC,26.9999999927,26.9968875114
b,none,CHN,Q1,336,p95_reduction_c,0.193322482939,degC,26.778252558,26.9715750409
b,none,CHN,Q2,2496,p95_reduction_c,0.189565637459,degC,26.7066986147,26.8962642522
b,none,CHN,Q3,4680,p95_reduction_c,0.0592181719353,degC,26.7800032282,26.8392214002
b,none,CHN,Q4,6888,p95_reduction_c,-0.0189345455199,degC,26.9999956399,26.9810610944
b,none,GBR,Q1,336,p95_reduction_c,0.0991785534156,degC,26.7815773635,26.8807559169
b,none,GBR,Q2,2496,p95_reduction_c,0.120918661609,degC,26.8253937494,26.946312411
b,none,GBR,Q3,4680,p95_reduction_c,0.0775793331979,degC,26.7934038059,26.8709831391
b,none,GBR,Q4,6888,p95_reduction_c,0.0115277451029,degC,26.9876609228,26.9991886679
b,none,IDN,Q1,336,p95_reduction_c,0.0747336444179,degC,26.8286901407,26.9034237851
b,none,IDN,Q2,2496,p95_reduction_c,0.0937565902102,degC,26.8630717995,26.9568283897
b,none,IDN,Q3,4680,p95_reduction_c,0.0900209403856,degC,26.8114352069,26.9014561473
b,none,IDN,Q4,6888,p95_reduction_c,-2.36619662708e-05,degC,26.9999948124,26.9999711504
b,none,IND,Q1,336,p95_reduction_c,0.133720976452,degC,26.8662789813,26.9999999578
b,none,IND,Q2,2496,p95_reduction_c,0.0955405691109,degC,26.8612619672,26.9568025363
b,none,IND,Q3,4680,p95_reduction_c,0.0910827565119,degC,26.8090867862,26.9001695427
b,none,IND,Q4,6888,p95_reduction_c,0.0940100968151,degC,26.8010215933,26.8950316901
b,none,IRL,Q1,336,p95_reduction_c,0.0465837420307,degC,26.6575897856,26.7041735276
b,none,IRL,Q2,2496,p95_reduction_c,0.149199176831,degC,26.8060557539,26.9552549307
b,none,IRL,Q3,4680,p95_reduction_c,0.118265566004,degC,26.7669367449,26.8852023109
b,none,IRL,Q4,6888,p95_reduction_c,-0.0165498937086,degC,27.0000000133,26.9834501195
b,none,JPN,Q1,336,p95_reduction_c,0.103228710963,degC,26.8274041033,26.9306328143
b,none,JPN,Q2,2496,p95_reduction_c,0.0747200937046,degC,26.7864315141,26.8611516078
b,none,JPN,Q3,4680,p95_reduction_c,0.0956807242248,degC,26.8019470338,26.8976277581
b,none,JPN,Q4,6888,p95_reduction_c,0.126041078693,degC,26.8201725595,26.9462136382
b,none,KOR,Q1,336,p95_reduction_c,-0.0219604780346,degC,26.900835363,26.8788748849
b,none,KOR,Q2,2496,p95_reduction_c,0.217824745234,degC,26.6750532609,26.8928780061
b,none,KOR,Q3,4680,p95_reduction_c,0.0882417635137,degC,26.7787641046,26.8670058681
b,none,KOR,Q4,6888,p95_reduction_c,-0.0534883424756,degC,26.9999999949,26.9465116524
b,none,MYS,Q1,336,p95_reduction_c,0.033271166344,degC,26.9667050384,26.9999762048
b,none,MYS,Q2,2496,p95_reduction_c,0.0945195325595,degC,26.8624709395,26.956990472
b,none,MYS,Q3,4680,p95_reduction_c,0.0888803284697,degC,26.8135351851,26.9024155135
b,none,MYS,Q4,6888,p95_reduction_c,-0.0029136971381,degC,26.9993061763,26.9963924791
b,none,NLD,Q1,336,p95_reduction_c,1.94590832336e-08,degC,26.9999999888,27.0000000083
b,none,NLD,Q2,2496,p95_reduction_c,0.13132398851,degC,26.8149861236,26.9463101121
b,none,NLD,Q3,4680,p95_reduction_c,0.0809387596625,degC,26.7748597727,26.8557985324
b,none,NLD,Q4,6888,p95_reduction_c,7.91444189687e-05,degC,26.9999208638,27.0000000082
b,none,NOR,Q1,336,p95_reduction_c,-0.000183359673933,degC,26.9932931461,26.9931097864
b,none,NOR,Q2,2496,p95_reduction_c,0.109976999367,degC,26.8363790883,26.9463560877
b,none,NOR,Q3,4680,p95_reduction_c,0.0982238089428,degC,26.7961601936,26.8943840026
b,none,NOR,Q4,6888,p95_reduction_c,0.100366117389,degC,26.7778453536,26.878211471
b,none,PRT,Q1,336,p95_reduction_c,-1.42273002268e-08,degC,27.0000000032,26.999999989
b,none,PRT,Q2,2496,p95_reduction_c,0.150588802771,degC,26.7961040603,26.9466928631
b,none,PRT,Q3,4680,p95_reduction_c,0.171890858627,degC,26.6712347302,26.8431255888
b,none,PRT,Q4,6888,p95_reduction_c,-1.00174801787e-09,degC,26.999999992,26.999999991
b,none,SGP,Q1,336,p95_reduction_c,-0.0247708208941,degC,26.999999962,26.9752291411
b,none,SGP,Q2,2496,p95_reduction_c,0.0945226116657,degC,26.8624699304,26.956992542
b,none,SGP,Q3,4680,p95_reduction_c,0.0888681379047,degC,26.8135320847,26.9024002226
b,none,SGP,Q4,6888,p95_reduction_c,-0.000225244633036,degC,26.9999758958,26.9997506511
b,none,USA,Q1,336,p95_reduction_c,0.0957803921663,degC,26.9039172794,26.9996976716
b,none,USA,Q2,2496,p95_reduction_c,0.103803709824,degC,26.8427498279,26.9465535377
b,none,USA,Q3,4680,p95_reduction_c,0.0979781686449,degC,26.7948233288,26.8928014975
b,none,USA,Q4,6888,p95_reduction_c,-0.0127285423044,degC,26.9997610222,26.9870324799
c,adverse_bias,AUS,Q1,336,p95_reduction_c,0.274500933049,degC,26.7127871374,26.9872880704
c,adverse_bias,AUS,Q2,2496,p95_reduction_c,0.188910632671,degC,26.8110894789,27.0000001116
c,adverse_bias,AUS,Q3,4680,p95_reduction_c,0.229378112365,degC,26.7706219456,27.000000058
c,adverse_bias,AUS,Q4,6888,p95_reduction_c,0.265486246696,degC,26.7345137675,27.0000000142
c,adverse_bias,CAN,Q1,336,p95_reduction_c,3.9223323256e-08,degC,26.9999999816,27.0000000209
c,adverse_bias,CAN,Q2,2496,p95_reduction_c,0.160446995868,degC,26.8395530668,27.0000000627
c,adverse_bias,CAN,Q3,4680,p95_reduction_c,0.21053347339,degC,26.7894665671,27.0000000405
c,adverse_bias,CAN,Q4,6888,p95_reduction_c,5.86147734793e-08,degC,26.9999999949,27.0000000536
c,adverse_bias,CHN,Q1,336,p95_reduction_c,0.0674849778379,degC,26.9325150828,27.0000000606
c,adverse_bias,CHN,Q2,2496,p95_reduction_c,0.22511614668,degC,26.7748839642,27.0000001108
c,adverse_bias,CHN,Q3,4680,p95_reduction_c,0.215517788014,degC,26.7844822161,27.0000000041
c,adverse_bias,CHN,Q4,6888,p95_reduction_c,0.220765786148,degC,26.7792342428,27.000000029
c,adverse_bias,GBR,Q1,336,p95_reduction_c,0.212608228579,degC,26.7873918231,27.0000000517
c,adverse_bias,GBR,Q2,2496,p95_reduction_c,0.165954711409,degC,26.8340453464,27.0000000578
c,adverse_bias,GBR,Q3,4680,p95_reduction_c,0.20838104925,degC,26.7916190675,27.0000001168
c,adverse_bias,GBR,Q4,6888,p95_reduction_c,6.45781774722e-08,degC,26.9999999909,27.0000000555
c,adverse_bias,IDN,Q1,336,p95_reduction_c,0.0229171640984,degC,26.9770829069,27.000000071
