country,algorithm,episode,hour,t_inlet_c,e_cooling_mwh,recommended_exceedance_c,cumulative_excess_degc_h,cooling_conductance_multiplier,forecast_stress,forecast_stress_scale
CHN,nominal_causal_mpc,3,0,25.1659573517,1.61082474227,0,0,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,1,26.2467893435,1.74804715781,0,0,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,2,26.7769351548,2.55734903641,0,0,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,3,27.0000000429,2.81085617065,4.29372448707e-08,4.29372448707e-08,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,4,27.0000000033,3.33525569354,3.30559402073e-09,4.62428388914e-08,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,5,26.9999999898,3.4294057144,0,4.62428388914e-08,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,6,27.000000079,3.3608846927,7.90358214431e-08,1.25278660335e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,7,26.9999999918,3.12314450489,0,1.25278660335e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,8,27,3.5255889911,0,1.25278660335e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,9,27.0000000212,4.03520092278,2.11874038314e-08,1.46466064166e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,10,27.0000000308,3.81860601867,3.07594199001e-08,1.77225484066e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,11,26.9999999875,3.40898396096,0,1.77225484066e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,12,27.0000000243,3.54925231132,2.42803821493e-08,2.01505866215e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,13,27.0000000012,3.75018932471,1.24842358673e-09,2.02754289802e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,14,26.9999999914,3.65825936256,0,2.02754289802e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,15,26.999999997,3.75142269213,0,2.02754289802e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,16,27.0000001292,3.59932204906,1.2921168846e-07,3.31965978262e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,17,27.0000001045,3.63048340479,1.04491533648e-07,4.3645751191e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,18,26.9999999797,3.8560605286,0,4.3645751191e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,19,26.9999999493,3.80804134175,0,4.3645751191e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,20,26.9999999974,4.1001560051,0,4.3645751191e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,21,27.000000111,4.12806711473,1.11027230076e-07,5.47484741986e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,22,27.0000001511,4.05303819028,1.51109563973e-07,6.98594305959e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,23,26.9999999516,3.91692079113,0,6.98594305959e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,24,27.0000000051,4.3269256297,5.14757658721e-09,7.03741882546e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,25,26.5989089824,4.94291150068,0,7.03741882546e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,26,26.8003679115,3.884829555,0,7.03741882546e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,27,26.9461000003,3.85217571099,0,7.03741882546e-07,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,28,27.5245869471,3.52178096762,0.52458694708,0.524587650822,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,29,27.9805127075,3.59442463661,0.980512707519,1.50510035834,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,30,28.222615346,3.90433507603,1.22261534602,2.72771570436,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,31,28.2536915101,4.05913815413,1.25369151008,3.98140721445,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,32,28.4384857037,4.07900859372,1.43848570372,5.41989291817,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,33,28.734370549,3.85849920395,1.73437054903,7.15426346719,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,34,28.8402666246,4.03258746015,1.84026662458,8.99453009177,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,35,28.4247768916,4.07406081761,1.42477689164,10.4193069834,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,36,28.4485194881,3.83084489688,1.44851948806,11.8678264715,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,37,28.4210369623,3.8447431403,1.42103696233,13.2888634338,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,38,28.6303679757,3.8286556482,1.6303679757,14.9192314095,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,39,28.3931422324,4.12691240249,1.39314223241,16.3123736419,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,40,28.0882360713,3.96775069495,1.08823607131,17.4006097132,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,41,28.4178526332,3.79055168262,1.41785263324,18.8184623465,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,42,28.4770823405,3.98211137106,1.4770823405,20.295544687,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,43,28.0876892959,4.01653325872,1.08768929586,21.3832339828,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,44,28.3116287023,3.79023391905,1.31162870232,22.6948626851,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,45,28.4789880928,3.84499023136,1.47898809285,24.173850778,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,46,28.7400708151,3.92023912237,1.74007081507,25.9139215931,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,47,28.7130417766,4.06841104604,1.7130417766,27.6269633697,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,48,28.9530006858,4.05307129245,1.95300068578,29.5799640554,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,49,28.998584728,4.21086486027,1.99858472798,31.5785487834,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,50,28.8553849478,4.23686856008,1.85538494784,33.4339337313,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,51,28.5711209364,4.17672473401,1.57112093641,35.0050546677,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,52,27.9938551003,4.03464411335,0.993855100318,35.998909768,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,53,28.2524297528,3.7019064203,1.25242975275,37.2513395207,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,54,28.3827378568,3.87112672968,1.38273785681,38.6340773776,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,55,28.4071864054,3.94663023703,1.40718640537,40.0412637829,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,56,28.5367193984,3.9607962874,1.53671939842,41.5779831813,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,57,28.6236699326,4.03585067764,1.62366993262,43.201653114,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,58,28.6863418475,4.08623181353,1.68634184755,44.8879949615,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,59,28.7296605429,4.10105777888,1.72966054288,46.6176555044,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,60,28.7556504914,4.12602679982,1.75565049137,48.3733059958,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,61,28.7999567553,4.1410074811,1.79995675529,50.173262751,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,62,28.6317438181,4.16654573942,1.63174381812,51.8050065692,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,63,28.532644117,4.06958731723,1.53264411699,53.3376506862,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,64,28.512850639,3.99166058178,1.51285063903,54.8505013252,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,65,28.5255626022,3.95977853413,1.52556260219,56.3760639274,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,66,28.4591128527,3.96703015241,1.45911285272,57.8351767801,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,67,28.2538672089,3.92912348038,1.25386720885,59.089043989,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,68,28.3389865325,3.81203982889,1.33898653248,60.4280305214,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,69,28.29532709,3.86059667538,1.29532708997,61.7233576114,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,70,28.3355555339,3.8160062422,1.33555553385,63.0589131453,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,71,28.4612805184,3.83883703646,1.46128051835,64.5201936636,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,72,28.5424650897,3.9101895666,1.54246508968,66.0626587533,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,73,28.27527766,3.97667228131,1.27527766004,67.3379364133,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,74,28.1628540748,3.82425355366,1.1628540748,68.5007904881,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,75,27.6106551671,3.77961774705,0.610655167132,69.1114456553,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,76,27.0000000131,3.52714571769,1.31371287182e-08,69.1114456684,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,77,26.9999999806,3.54796799449,0,69.1114456684,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,78,27.0000000274,4.08629149413,2.73852833743e-08,69.1114456958,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,79,27.0000000276,3.98953967777,2.76026916879e-08,69.1114457234,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,80,27.000008903,4.1632681875,8.90301974721e-06,69.1114546264,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,81,27.0000010426,4.20715475812,1.04255410349e-06,69.111455669,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,82,27.0000013313,4.64144210371,1.33134427571e-06,69.1114570003,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,83,26.964820219,3.95938176922,0,69.1114570003,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,84,27.0000001888,4.46561872353,1.88785037381e-07,69.1114571891,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,85,26.9999999603,3.96279831253,0,69.1114571891,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,86,27.0000000351,4.23866597732,3.51099416207e-08,69.1114572242,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,87,27.0000000124,4.32331856762,1.24195516094e-08,69.1114572366,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,88,26.9999999889,4.44293751218,0,69.1114572366,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,89,27.0000000699,4.26588222761,6.99255764403e-08,69.1114573066,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,90,26.9999999899,4.25248623444,0,69.1114573066,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,91,27.0000000006,3.78962372755,6.25789198239e-10,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,92,26.9999999519,4.26944576599,0,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,93,26.7507395046,4.91853691554,0,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,94,26.8730493023,4.07855817473,0,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,95,26.5536289018,4.82868395886,0,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,96,26.7765321975,3.73222059343,0,69.1114573072,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,97,27.0000000226,3.66938958611,2.25636753726e-08,69.1114573297,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,98,27.0000000919,4.02610400369,9.19306195613e-08,69.1114574217,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,99,27.0000000521,4.22593715335,5.21264418296e-08,69.1114574738,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,100,26.9999999826,4.24942753609,0,69.1114574738,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,101,27.00000004,4.19605601775,3.9983607536e-08,69.1114575138,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,102,26.9999999645,4.23928653572,0,69.1114575138,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,103,27.0000000851,4.1405947526,8.50713171019e-08,69.1114575989,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,104,27.0000001031,3.66276937725,1.03119692341e-07,69.111457702,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,105,26.9999999964,3.44970059782,0,69.111457702,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,106,26.9999999901,3.69568048904,0,69.111457702,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,107,27.0000000094,3.72167652689,9.44040579043e-09,69.1114577114,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,108,26.9645142339,3.2496246461,0,69.1114577114,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,109,27.0000000297,3.60814795518,2.97098594615e-08,69.1114577411,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,110,26.9828860225,3.26574831535,0,69.1114577411,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,111,27.0000000096,3.62160992144,9.6321279841e-09,69.1114577508,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,112,27.0000001255,3.69941998472,1.25506016246e-07,69.1114578763,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,113,26.9999999957,3.6698163245,0,69.1114578763,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,114,27.0000000037,3.74845031522,3.65581342976e-09,69.1114578799,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,115,26.9999999824,4.23530889725,0,69.1114578799,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,116,27.0000000066,4.56800846746,6.63782628862e-09,69.1114578866,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,117,26.9472863852,3.8934899709,0,69.1114578866,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,118,26.9999999882,3.39613756346,0,69.1114578866,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,119,27.4080944776,3.23201984406,0.408094477613,69.5195523642,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,120,27.6992822071,3.48126932253,0.699282207095,70.2188345713,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,121,27.8185065377,3.67822411874,0.818506537684,71.0373411089,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,122,27.7320423112,3.75142231676,0.732042311188,71.7693834201,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,123,27.5479564986,3.71775126362,0.547956498596,72.3173399187,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,124,26.9908692376,4.31863846833,0,72.3173399187,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,125,27.0000000169,3.58883927773,1.69091158853e-08,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,126,26.9395530249,3.34429025722,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,127,26.9401377945,3.08463817248,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,128,26.8222483302,2.81501011238,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,129,26.8492880958,2.86987581013,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,130,26.8166697717,2.99535432901,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,131,26.8260535696,3.07358201363,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,132,26.9751525975,3.38135247584,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,133,26.9999999925,3.70371629587,0,72.3173399356,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,134,27.0000001175,3.63123009347,1.17549586065e-07,72.3173400532,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,135,27.0000000048,3.77093180519,4.79336748072e-09,72.317340058,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,136,27.0000000372,3.74482184234,3.72493822454e-08,72.3173400952,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,137,26.9999999935,3.87626366797,0,72.3173400952,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,138,26.9999999709,3.85702284108,0,72.3173400952,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,139,27.0000000667,3.78470928369,6.67016237799e-08,72.3173401619,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,140,27.0000000056,3.57541442604,5.58951640528e-09,72.3173401675,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,141,27.0000000072,3.7044253385,7.18678094813e-09,72.3173401747,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,142,27.0000000058,3.61214931254,5.75842307171e-09,72.3173401805,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,143,27.0000000242,3.82268850005,2.42376287929e-08,72.3173402047,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,144,26.9999999778,4.15688921361,0,72.3173402047,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,145,27.0000000466,3.71743375877,4.66468321747e-08,72.3173402514,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,146,26.9999999718,3.55984270007,0,72.3173402514,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,147,27.0000000026,3.17155356766,2.60271804109e-09,72.317340254,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,148,26.9516894955,2.81248473527,0,72.317340254,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,149,26.984344473,2.87441173167,0,72.317340254,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,150,26.9727966254,2.91264961161,0,72.317340254,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,151,26.9979509102,2.9762015876,0,72.317340254,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,152,27.0000000233,3.30479281528,2.32600783079e-08,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,153,26.9645905564,3.09850105422,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,154,26.830248963,3.00711248376,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,155,26.908707392,3.3702216182,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,156,26.7326121069,3.16315588625,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,157,26.8212754775,3.24312003383,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,158,26.8679932594,3.28765774992,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,159,26.9999999991,3.71147112434,0,72.3173402772,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,160,27.0000000107,3.51776615245,1.07014308526e-08,72.3173402879,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,161,27.0000000325,3.44491311259,3.25112203825e-08,72.3173403204,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,162,26.9983722647,3.1718863343,0,72.3173403204,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,163,27.0000102581,3.23041321977,1.02581042078e-05,72.3173505785,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,164,27.0000000797,3.10598335759,7.96567682926e-08,72.3173506582,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,165,27.000005637,3.5845968779,5.63702122491e-06,72.3173562952,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,166,27.0000000069,3.36726048619,6.92427448712e-09,72.3173563021,0.5,adverse_bias,1
CHN,nominal_causal_mpc,3,167,27.0000001355,3.30678849432,1.35544517832e-07,72.3173564377,0.5,adverse_bias,1
CHN,static_robust_mpc,3,0,24.9447951462,0.885953608247,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,1,25.6026388897,1.29049194774,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,2,26.1087501065,1.44888324463,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,3,26.3876701746,1.63580877311,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,4,26.5895101769,1.80367952132,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,5,26.7083027559,1.99831185748,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,6,26.7468998606,2.09685733663,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,7,26.7266393339,2.05481093354,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,8,26.7849598664,2.15346906682,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,9,26.8834713962,2.3865647058,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,10,26.8798303673,2.44047302597,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,11,26.7948029267,2.34810983845,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,12,26.7831212514,2.30612126764,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,13,26.7844919248,2.40563981104,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,14,26.767650259,2.35926946645,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,15,26.7793884297,2.34948072644,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,16,26.7789338764,2.29098435219,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,17,26.7906297522,2.29490444559,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,18,26.7632824481,2.55887901665,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,19,26.5648621431,2.87422121856,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,20,26.3572093927,3.18106612717,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,21,26.1399614269,3.19979938255,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,22,25.9846358584,3.04204249249,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,23,25.8753247444,2.86938889512,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,24,26.4965606817,2.97596588845,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,25,26.8016648345,3.30291946453,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,26,26.9946587961,3.62698697038,0,0,0.5,adverse_bias,1
CHN,static_robust_mpc,3,27,27.0000000126,3.90960858007,1.26274741774e-08,1.26274741774e-08,0.5,adverse_bias,1
CHN,static_robust_mpc,3,28,26.9999999816,4.44779395057,0,1.26274741774e-08,0.5,adverse_bias,1
CHN,static_robust_mpc,3,29,26.9999999626,4.43610015515,0,1.26274741774e-08,0.5,adverse_bias,1
