panel,metric,condition,value,ci95_low,ci95_high,n,unit,setting
b,p95_reduction_c,No shift,0.094268826702,0.058594881793,0.133112833397,12,degC,
c,objective_increase_pct,No shift,-0.0258933332718,-0.32436871109,0.217209555729,12,%,
b,p95_reduction_c,Bias 0.5 sigma,0.162909374563,0.112283211476,0.197898113688,12,degC,
c,objective_increase_pct,Bias 0.5 sigma,0.201343903007,-0.00826964196854,0.383988041912,12,%,
b,p95_reduction_c,Bias 1.0 sigma,0.159287292646,0.0866664364596,0.211739717594,12,degC,
c,objective_increase_pct,Bias 1.0 sigma,0.355688570941,-0.0493116322015,0.741554434157,12,%,
b,p95_reduction_c,Bias 2.0 sigma,0.0655112749427,0.0172674802051,0.12326764587,12,degC,
c,objective_increase_pct,Bias 2.0 sigma,-0.906728469871,-4.11336537381,0.82605271115,12,%,
b,p95_reduction_c,Noise 1.0 sigma,0.0547802437528,-0.0192256067721,0.107936460982,12,degC,
c,objective_increase_pct,Noise 1.0 sigma,0.369865389092,-0.042968316178,0.897399973135,12,%,
b,p95_reduction_c,Bias + noise,0.189481884079,0.116467876057,0.257551329258,12,degC,
c,objective_increase_pct,Bias + noise,0.353499378005,-0.549191527822,1.66659216176,12,%,
d,p95_reduction_c,No shift,0.0741618451249,0.0366321326886,0.110162275041,12,degC,low_carbon
d,p95_reduction_c,No shift,0.0810841264089,0.034441994864,0.129157678312,12,degC,low_total
d,p95_reduction_c,No shift,0.094268826702,0.0587358316661,0.132700811371,12,degC,primary
d,p95_reduction_c,No shift,0.0701802924619,0.00684884484657,0.11943512374,12,degC,high_total
d,p95_reduction_c,No shift,0.0985387641785,0.0628039943948,0.130270326401,12,degC,high_carbon
d,p95_reduction_c,Persistent bias,0.159185626994,0.078088358435,0.222576013509,12,degC,low_carbon
d,p95_reduction_c,Persistent bias,0.162457733976,0.085243716195,0.228362839047,12,degC,low_total
d,p95_reduction_c,Persistent bias,0.159287292646,0.0839005625147,0.211570170245,12,degC,primary
d,p95_reduction_c,Persistent bias,0.154697854524,0.0819460919112,0.21498958874,12,degC,high_total
d,p95_reduction_c,Persistent bias,0.178634238319,0.0914555698568,0.231473280455,12,degC,high_carbon
a,p95_reduction_c,beta_min 0.10 vs 0,0.135894356401,0.104125784131,0.167087975406,60,degC,
a,objective_increase_pct,beta_min 0.10 vs 0,1.00442550098,0.371729888814,1.86694103077,60,%,
