condition_order,condition,sample,metric_order,metric,absolute_unit,nominal_mpc,static_robust_mpc,eact_mpc,effect_value,effect_ci95_low,effect_ci95_high,effect_unit,p_value,inference,absolute_source,effect_source
1,Seasonal normal operation,60 paired country-season weeks,1,Common objective,mean per week,270.060091636,271.726129219,272.317889111,0.279888938897,,0.642621721737,penalty_pct,,Non-inferior at the 1% margin,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_no_shift_noninferiority.csv
1,Seasonal normal operation,60 paired country-season weeks,2,Facility energy,mean MWh per week,1576.26161359,1584.98549284,1585.34941422,0.0172933643058,-0.122441986563,0.122590608817,penalty_pct,0.0378965364282,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_cost_comparisons.csv
1,Seasonal normal operation,60 paired country-season weeks,3,P95 inlet temperature,mean degC,27.0000001006,26.9287136427,26.8514011143,0.0773125283194,0.059087483632,0.0950259845271,reduction_degc,4.8431285192e-09,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_thermal_comparisons.csv
1,Seasonal normal operation,60 paired country-season weeks,4,Recommended-limit event hours,total h,1,0,0,0,0,0,reduction_h_per_week,1,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_thermal_comparisons.csv
2,Seasonal persistent 1-sigma bias,60 paired country-season weeks,1,Common objective,mean per week,272.463785821,269.903763785,272.445630103,1.28011825213,0.673103677423,2.09727230975,penalty_pct,7.54097681184e-10,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_cost_comparisons.csv
2,Seasonal persistent 1-sigma bias,60 paired country-season weeks,2,Facility energy,mean MWh per week,1569.8509519,1579.80781984,1584.94704737,0.329567732825,0.15499832774,0.486962655803,penalty_pct,1.53074110713e-07,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_cost_comparisons.csv
2,Seasonal persistent 1-sigma bias,60 paired country-season weeks,3,P95 inlet temperature,mean degC,27.0000001963,26.9997881931,26.8598847645,0.139903428566,0.106169803297,0.173848040217,reduction_degc,1.62955579431e-11,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_thermal_comparisons.csv
2,Seasonal persistent 1-sigma bias,60 paired country-season weeks,4,Recommended-limit event hours,total h,14,2,0,0.0333333333333,0,0.1,reduction_h_per_week,0.15729920705,Two-sided paired comparison,ashrae_inlet_seasonal_v1/analysis/seasonal_absolute_summary.csv,ashrae_inlet_seasonal_v1/analysis/seasonal_thermal_comparisons.csv
3,Continuous annual operation,156 paired weekly blocks; three continuous country-years,1,Common objective,mean per country-year,11309.6469617,11351.5197504,11362.4813741,0.085411437463,,0.15984447458,penalty_pct,,Non-inferior at the 1% margin,ashrae_inlet_annual_v1/analysis/annual_absolute_summary.csv,ashrae_inlet_annual_v1/analysis/annual_noninferiority.csv
3,Continuous annual operation,156 paired weekly blocks; three continuous country-years,2,Facility energy,mean MWh per country-year,80287.824483,80571.2443662,80659.4291171,0.096580699529,-0.137264333177,0.388829802197,penalty_pct,2.56098374435e-05,Four-week moving-block interval,ashrae_inlet_annual_v1/analysis/annual_absolute_summary.csv,ashrae_inlet_annual_v1/analysis/annual_cost_comparisons.csv
3,Continuous annual operation,156 paired weekly blocks; three continuous country-years,3,P95 inlet temperature,mean degC per weekly block,27.000000093,26.8778014437,26.7703208999,0.107480543762,0.10196551677,0.113000401897,reduction_degc,2.36489583126e-26,Four-week moving-block interval,results/ashrae_inlet_annual_v1/CHN/eact/weekly_e3_annual_CHN_eact_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/CHN/nominal/weekly_e3_annual_CHN_nominal_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/CHN/static/weekly_e3_annual_CHN_static_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/JPN/eact/weekly_e3_annual_JPN_eact_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/JPN/nominal/weekly_e3_annual_JPN_nominal_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/JPN/static/weekly_e3_annual_JPN_static_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/NOR/eact/weekly_e3_annual_NOR_eact_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/NOR/nominal/weekly_e3_annual_NOR_nominal_b0p10_primary_shield_on.csv;results/ashrae_inlet_annual_v1/NOR/static/weekly_e3_annual_NOR_static_b0p10_primary_shield_on.csv,ashrae_inlet_annual_v1/analysis/annual_thermal_comparisons.csv
3,Continuous annual operation,156 paired weekly blocks; three continuous country-years,4,Recommended-limit event hours,total h,0,0,0,0,0,0,reduction_h_per_week,1,Four-week moving-block interval,ashrae_inlet_annual_v1/analysis/annual_absolute_summary.csv,ashrae_inlet_annual_v1/analysis/annual_thermal_comparisons.csv
4,50% cooling availability without imposed shift,12 paired high-load country-quarter weeks,1,Common objective,mean per week,270.427667876,275.178677212,276.738382197,0.643951552422,0.341284737617,1.15818586171,penalty_pct,0.00048828125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
4,50% cooling availability without imposed shift,12 paired high-load country-quarter weeks,2,Facility energy,mean MWh per week,1831.88864261,1837.95515852,1845.27500644,0.385176198746,0.175821599346,0.620879469459,penalty_pct,0.00048828125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
4,50% cooling availability without imposed shift,12 paired high-load country-quarter weeks,3,P95 inlet temperature,mean degC,27.0509062842,26.9389824232,26.7692090414,0.169773381843,0.0955288219555,0.221482992358,reduction_degc,0.00244140625,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
4,50% cooling availability without imposed shift,12 paired high-load country-quarter weeks,4,Recommended-limit event hours,total h,30,7,7,0,-2.33333333333,2.33333333333,reduction_h_per_week,1,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
5,50% cooling availability with persistent bias,12 paired high-load country-quarter weeks,1,Common objective,mean per week,271.61307432,273.077796082,277.422494547,1.15130245928,-0.722748059696,3.63234365324,penalty_pct,0.20361328125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
5,50% cooling availability with persistent bias,12 paired high-load country-quarter weeks,2,Facility energy,mean MWh per week,1817.14618707,1832.88340474,1843.8965875,0.588293085525,0.38944710476,0.817979071583,penalty_pct,0.00048828125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
5,50% cooling availability with persistent bias,12 paired high-load country-quarter weeks,3,P95 inlet temperature,mean degC,27.5068168986,27.0839650384,26.9635275719,0.120437466521,0.00415356000346,0.26426832781,reduction_degc,0.00048828125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
5,50% cooling availability with persistent bias,12 paired high-load country-quarter weeks,4,Recommended-limit event hours,total h,185,45,7,3.16666666667,0,7.41666666667,reduction_h_per_week,0.0625,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
5,50% cooling availability with persistent bias,12 paired high-load country-quarter weeks,5,Recommended-limit degree-hours,total degC h,206.420759264,18.1816740706,1.50001544747,1.39013821859,3.70691306806e-06,3.64259434147,reduction_degc_h_per_week,0.00048828125,Two-sided paired comparison,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_absolute_summary.csv,ashrae_inlet_thermal_capacity_stress_v1/analysis/capacity_paired_comparisons.csv
