experiment,condition,controller,n_control_steps,accepted_plan_rate_pct,rejected_plan_count,fallback_rate_pct,mean_solve_time_s,p95_solve_time_s,min_accepted_constraint
Seasonal: no shift,none,eact_mpc,10080,99.9503968254,5,0.0496031746032,0.5982372162,1.56705119,-9.78500845683e-05
Seasonal: no shift,none,nominal_causal_mpc,10080,99.871031746,13,0.128968253968,0.567892564711,1.58856645998,-9.86446347255e-05
Seasonal: no shift,none,static_robust_mpc,10080,99.9702380952,3,0.0297619047619,0.558269392302,1.29387713498,-9.82294317815e-05
Seasonal: persistent bias,adverse_bias,eact_mpc,10080,99.9900793651,1,0.00992063492063,0.581553054444,1.50732238494,-9.63064472259e-05
Seasonal: persistent bias,adverse_bias,nominal_causal_mpc,10080,99.7420634921,26,0.257936507936,0.556218750268,1.510827295,-9.81600535965e-05
Seasonal: persistent bias,adverse_bias,static_robust_mpc,10080,99.9603174603,4,0.0396825396825,0.587917477758,1.74555647506,-9.93210245035e-05
Continuous annual,No shift,eact_mpc,26208,99.9885531136,3,0.0114468864469,0.604717479358,1.52690931497,-9.96933937181e-05
Continuous annual,No shift,nominal_causal_mpc,26208,100,0,0,0.646274455712,1.90056296493,-9.9745647578e-05
Continuous annual,No shift,static_robust_mpc,26208,100,0,0,0.603214986546,1.37138449998,-9.85413230516e-05
Capacity stress,50% conductance; persistent bias,eact_mpc,2016,95.8333333333,84,4.16666666667,0.518622747869,1.27088292502,-9.97137291563e-05
Capacity stress,50% conductance; persistent bias,nominal_causal_mpc,2016,90.6746031746,188,9.3253968254,0.712163728424,1.92592627503,-9.68627144289e-05
Capacity stress,50% conductance; persistent bias,static_robust_mpc,2016,96.1805555556,77,3.81944444444,0.552150768153,1.39785182499,-9.20488276748e-05
