omitted_pair,static_degree_hours,eact_degree_hours,degree_hour_reduction_pct,static_event_hours,eact_event_hours,event_hour_reduction_pct,degree_raw_n_eff,degree_raw_wilcoxon_p,degree_solver_scale_n_eff,degree_solver_scale_wilcoxon_p,event_hour_n_eff,event_hour_wilcoxon_p
CHN_Q1,18.181653544459262,1.5000154474658203,91.74984033329059,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
CHN_Q2,17.8265880473851,1.5000154474658203,91.58551572808769,42.0,7.0,83.33333333333333,11,0.0009765625,4,0.125,4,0.125
CHN_Q3,18.181673719690867,1.5000154422972258,91.74984951647934,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
CHN_Q4,9.05437496026871,1.5000127610003524,83.43328205886631,27.0,7.0,74.07407407407408,11,0.0009765625,4,0.125,4,0.125
JPN_Q1,18.181662631591454,1.5000154383574333,91.74984450678845,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
JPN_Q2,17.81680702641535,1.500015429850837,91.5808964668759,43.0,7.0,83.72093023255815,11,0.0009765625,4,0.125,4,0.125
JPN_Q3,16.460654121729874,3.780598362368437e-06,99.99997703251441,33.0,0.0,100.0,11,0.0009765625,4,0.125,4,0.125
JPN_Q4,11.56831813114482,1.5000153453954077,87.03341896038467,35.0,7.0,80.0,11,0.0009765625,4,0.125,4,0.125
NOR_Q1,18.181672897702565,1.5000154474658203,91.74984911506486,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
NOR_Q2,18.181672003248973,1.5000153260571416,91.74984937694896,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
NOR_Q3,18.181672010526032,1.5000146087039816,91.74985332572511,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
NOR_Q4,18.181665682081046,1.5000154474658203,91.74984584088926,45.0,7.0,84.44444444444444,11,0.0009765625,5,0.0625,5,0.0625
