country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,0,0,168,-296.0231576807548,925.2068338796132,441588.8711547648,1317.045228926624,237.60230442050863,3.975617879138265,391.8383950470107,50.22925268609677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9429587423801422,100.0,0.0,0.0,0.0,0.0,26.233703472960965,26.783527402764296,26.84273014137818,26.870041810725578,5.129958189274422,100.0,0.00771015364166704,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,1,168,168,-200.40327731792556,594.6925936367018,284780.45296332147,1337.6842412421904,242.56938495347086,4.5051416294026465,742.9916476054887,227.1356435199168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.280770255252719,100.0,0.0,0.0,0.0,0.0,26.088106888772895,26.717914140338742,26.817190608976958,26.879036153183936,5.120963846816064,100.0,0.020955437493588153,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,2,336,168,-354.346042276322,1147.3901863446051,529314.3613336084,1369.9177335461532,242.053959714057,4.137473811454444,222.5275472015482,78.86688689824474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9361781422048807,100.0,0.0,0.0,0.0,0.0,26.366358351496835,26.756117538081956,26.81939602146238,26.84015887237248,5.159841127627519,100.0,0.007683246695835676,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,3,504,168,-129.25490025955952,337.0512091364399,160703.69810625323,1548.8709851754998,293.9253983633603,7.925803165909342,1211.81977603906,251.22842619462693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6154696978628635,100.0,0.0,0.0,0.0,0.0,25.123345829022085,26.815100705906897,26.85717652668251,26.902778775203245,5.097221224796755,100.0,0.030220117859287365,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,4,672,168,-154.61574086410997,454.07932441344127,204789.60258743112,1337.9701863675855,249.4121158576659,6.974428168944742,883.8908619541442,317.8416772978834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33791265450418,100.0,0.0,0.0,0.0,0.0,24.91387509082971,26.682388191806037,26.795007795679137,26.859571159987336,5.140428840012664,100.0,0.04895997085120706,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,5,840,168,-204.97556208206248,634.0517882256011,285279.34501055506,1358.722876828111,253.31954186088743,6.3522992992299665,724.67108860251,305.4800864415602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197645887732506,100.0,0.0,0.0,0.0,0.0,25.133869262245856,26.750929194163525,26.871051973006857,26.87528922980623,5.124710770193769,100.0,0.032530340716697366,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,6,1008,168,-282.6075076235601,879.9159565694808,416504.7245217064,1393.0092698551898,253.41377954963878,5.225304704467762,513.0933132857092,153.33331347858444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466976568102837,100.0,0.0,0.0,0.0,0.0,25.610807208699498,26.745516649793792,26.804290426057584,26.826470557333764,5.173529442666236,100.0,0.0216943513258316,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,7,1176,168,-350.0689138033286,1060.4609849533092,532623.849960508,1547.170780927404,282.74861401301587,4.71029665289547,486.7097959740948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,26.47376802340069,26.817248729064346,26.86196756386574,26.907690886116246,5.092309113883754,100.0,0.0,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,8,1344,168,-138.59358128750443,384.7905276290402,180295.70111000317,1380.1636060090757,275.6599877586674,8.363755944625439,995.3730783800355,520.5314040961638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.082883356139064,100.0,0.0,0.0,0.0,0.0,24.251251929455073,26.727053093014977,26.823360736065027,26.85183149625277,5.148168503747229,100.0,0.051916203777571876,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,9,1512,168,-228.56488639363397,703.8375292976832,325282.8886258988,1386.1992840083403,264.66920403689437,6.26979337096036,682.3617547106571,143.43980025613115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.011055327951908,100.0,0.0,0.0,0.0,0.0,25.578024322992892,26.681900960011976,26.730034521488683,26.856670208368524,5.143329791631476,100.0,0.023853394092016277,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,10,1680,168,-101.23391609239746,255.1939418714128,114744.14309016024,1464.7260909432132,302.79912373581493,9.92957526066678,1209.5321490718004,422.08168084508196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68493383564055,100.0,0.0,0.0,0.0,0.0,24.109604241691414,26.437676306312632,26.780279899989765,26.86181299352936,5.138187006470641,100.0,0.06224180090138694,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,0,2025-01-01T00:00:00,11,1848,168,-150.52565610119072,440.5171368491457,183204.34271976358,1628.0660882907819,338.76784598957533,10.796849811923444,1187.5489514416363,196.8863440846036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.036185253411531,100.0,0.0,0.0,0.0,0.0,25.21075347676893,26.77237351693905,26.839395864030216,26.910322536349117,5.089677463650883,100.0,0.051730893840107844,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
