country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,0,0,168,-294.90187484325105,921.4702126814321,439865.5340281838,1312.849207667682,234.12874007617035,3.253160964534832,391.37899498625,50.68865274685746,0.0,0.0,0.0,3.973946402169304e-06,0.0,0.0,0.0,0.0,0.0,2.8688537403941154,100.0,0.0,3.973946402169304e-06,0.0,0.0,26.646858896454432,27.00000011862664,27.000000429600448,27.00000066982969,4.999999330170311,99.99999952691114,0.011384340147266076,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,1,168,168,-199.96045566404854,593.6507994690592,284382.3004087622,1329.17483358136,235.22345808502322,3.341660837020056,735.5240341123009,234.60325701310447,0.0,0.0,0.0,1.3317238334309422e-06,0.0,0.0,0.0,0.0,0.0,3.9306196700781584,100.0,0.0,1.3317238334309422e-06,0.0,0.0,26.681292320499313,27.00000005873866,27.000000124740993,27.000000151198602,4.999999848801398,99.99999984146145,0.015597697089625788,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,2,336,168,-353.137404669694,1143.8123859670848,527668.3037704208,1367.0484999425703,240.13826210656418,3.1839378153643363,223.23611397548558,78.15832012430735,0.0,0.0,0.0,2.3163845579432518e-05,0.0,0.0,0.0,0.0,0.0,2.296365709975362,100.0,0.0,2.3163845579432518e-05,0.0,0.0,26.831015558165365,27.000000144650127,27.00000036297949,27.000019957261216,4.999980042738784,99.99999724239935,0.009112562388292559,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,3,504,168,-129.1202867315336,335.30618791315885,159720.9023260576,1533.1379743237353,279.4826731956085,6.635517481896782,1197.8317864105766,265.21641582311025,0.0,0.0,0.0,1.4328400084195891e-05,0.0,0.0,0.0,0.0,0.0,11.661150578409433,100.0,0.0,1.4328400084195891e-05,0.0,0.0,26.45541117901643,27.000000122435285,27.000001323532036,27.000007802629067,4.999992197370933,99.9999982942381,0.04627440746463392,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,4,672,168,-155.22110566689514,457.8794282569559,206650.02608085788,1319.5916530389604,233.68460710227265,4.323403595713153,861.7122247820046,340.0203144700229,0.0,0.0,0.0,2.4378309898764883e-05,0.0,0.0,0.0,0.0,0.0,5.801695100963116,100.0,0.0,2.4378309898764883e-05,0.0,0.0,26.55019402045949,27.000000047797045,27.00000035359745,27.0000225502381,4.9999774497619,99.99999709782024,0.023022599568191384,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,5,840,168,-204.47927234792348,633.0559837429212,284878.75702394743,1339.2729940776462,236.25496870883188,3.9669897008207444,706.217010334725,323.93416470934505,0.0,0.0,0.0,1.8751122503601891e-06,0.0,0.0,0.0,0.0,0.0,3.8906724974513054,100.0,0.0,1.8751122503601891e-06,0.0,0.0,26.621930853589145,27.000000079313292,27.000000135778834,27.00000022234333,4.999999777656669,99.99999977677236,0.015439176563328752,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,6,1008,168,-283.49471769968454,881.6625479993572,417167.28627631965,1383.6117076757255,245.00672300342225,4.234799071219904,501.94915967636837,164.47746708792516,0.0,0.0,0.0,0.00010171701658023835,0.0,0.0,0.0,0.0,0.0,4.689914062619209,100.0,0.0,0.00010171701658023835,0.0,0.0,26.752553515947127,27.00000014981558,27.00000035967473,27.00009783520549,4.999902164794509,99.99998789083135,0.018610770106389524,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,7,1176,168,-348.92507905371656,1055.9259761819035,530405.2756716918,1542.6357721559982,278.7371415984418,4.186760296063717,486.7097959740948,0.0,0.0,0.0,0.0,1.587026242688694e-05,0.0,0.0,0.0,0.0,0.0,1.3474006280303001,100.0,0.0,1.587026242688694e-05,0.0,0.0,26.89611106420765,27.00000026133521,27.000001170391705,27.000007575941215,4.999992424058785,99.99999811068304,0.0053468278030833075,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,8,1344,168,-138.6272001127,387.15619683888076,181369.8751612334,1346.9995938745155,246.4893051171597,4.370426451572925,959.8433970356347,556.0610854405647,0.0,0.0,0.0,1.4938988392998453e-06,0.0,0.0,0.0,0.0,0.0,4.840166341513395,100.0,0.0,1.4938988392998453e-06,0.0,0.0,26.65573799208624,27.000000052249064,27.00000013028484,27.000000389278505,4.9999996107214955,99.99999982215489,0.019207009275089063,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,9,1512,168,-229.0267868216859,705.2511918841,326227.6264914075,1374.8340263888724,255.49428623986552,4.079453548521418,669.5828345047724,156.21872046201582,0.0,0.0,0.0,1.6905749653517432e-06,0.0,0.0,0.0,0.0,0.0,3.1756492368876934,100.0,0.0,1.6905749653517432e-06,0.0,0.0,26.721569162994097,27.000000065907187,27.00000014790027,27.00000029114353,4.999999708856471,99.99999979874107,0.012601782658575325,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
