country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,0,0,168,-268.4240223014309,854.6057551253803,387396.8886518903,1343.005098967893,261.50072909469816,6.037063246218008,488.39934384251285,202.52761094395004,0.0,0.0,0.0,2.6145386691212025e-06,0.0,0.0,0.0,0.0,0.0,9.665098391473293,100.0,0.0,2.6145386691212025e-06,0.0,0.0,26.274667651416785,27.000000089651405,27.000000245536246,27.000000559526324,4.999999440473676,99.9999996887454,0.0383535651628682,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,1,168,168,-199.72704578156834,599.0118758029823,277944.0452431089,1362.8328986006488,264.4973064752754,7.725877466056697,763.8210227976667,226.1162853362372,0.0,0.0,0.0,1.1964719099921695e-06,0.0,0.0,0.0,0.0,0.0,14.239957766607404,100.0,0.0,1.1964719099921695e-06,0.0,0.0,25.954590661311883,27.000000015211235,27.000000096247913,27.000000677385735,4.999999322614265,99.99999985756287,0.05650776898925512,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,2,336,168,-263.1453736444705,826.4442637026415,380410.1441992834,1392.9172598126897,264.779053389414,4.411906402633724,566.472996110048,161.5139177506411,0.0,0.0,0.0,3.4206580785678398e-06,0.0,0.0,0.0,0.0,0.0,7.155627965927124,100.0,0.0,3.4206580785678398e-06,0.0,0.0,26.51589722654475,27.000000159269874,27.000000245209367,27.000000411154222,4.999999588845778,99.99999959277879,0.02839534907668297,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,3,504,168,-272.65466197909564,856.7114156761279,388222.20296321425,1555.4819605912917,302.6415511618292,5.820625783232408,698.7705449151638,203.09429307773206,0.0,0.0,0.0,8.916916900858496e-06,0.0,0.0,0.0,0.0,0.0,10.222741057164967,100.0,0.0,8.916916900858496e-06,0.0,0.0,25.93266052323463,27.000000161591846,27.00000038466204,27.000005247102326,4.999994752897674,99.99999893846227,0.04056643245019673,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,4,672,168,-229.29313820854432,717.9395620097627,324615.454995965,1340.9262972019783,253.09327914536118,6.249375715642245,622.9867351922155,180.44064395554503,0.0,0.0,0.0,3.105626859678523e-06,0.0,0.0,0.0,0.0,0.0,11.20830937474966,100.0,0.0,3.105626859678523e-06,0.0,0.0,26.174561140465574,27.000000103294404,27.000000322216387,27.000000644570765,4.999999355429235,99.99999963028252,0.04447741809140314,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,5,840,168,-173.11500595017966,524.7724834611842,231865.8688937122,1358.4335265165657,254.6254821983297,4.757008650242356,833.6610430553816,285.04848650111353,0.0,0.0,0.0,2.3629633005839423e-06,0.0,0.0,0.0,0.0,0.0,7.808911034837365,100.0,0.0,2.3629633005839423e-06,0.0,0.0,26.29395817092976,27.000000072509106,27.000000278473443,27.000000580199945,4.999999419800055,99.99999971869484,0.0309877425260354,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,6,1008,168,-214.06551628861783,686.9363275400428,291164.70821821736,1403.6558943918985,263.3833487208982,5.902360069916905,716.7195668518557,354.4796487434395,0.0,0.0,0.0,3.4215275661608757e-06,0.0,0.0,0.0,0.0,0.0,7.903405629098415,100.0,0.0,3.4215275661608757e-06,0.0,0.0,26.511030682203856,27.000000085138662,27.000000362967597,27.000000558702975,4.999999441297025,99.9999995926753,0.03136272097813956,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,7,1176,168,-242.40332113779502,780.0375725443629,331935.48144883744,1564.206176396735,299.26619725021453,5.228108885027624,784.1686038523719,226.80046106594915,0.0,0.0,0.0,7.4109767105312585e-06,0.0,0.0,0.0,0.0,0.0,7.612710730172694,100.0,0.0,7.4109767105312585e-06,0.0,0.0,26.30646128107447,27.0000001407534,27.00000026066237,27.000003517511104,4.999996482488896,99.99999911774087,0.03020916941611739,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,8,1344,168,-241.0918239132605,779.2036290630235,337845.14831712376,1359.8298024307564,258.4014692073289,5.288470917644738,580.6261733677331,178.41213141302688,0.0,0.0,0.0,3.0027046555858306e-06,0.0,0.0,0.0,0.0,0.0,9.174060251563787,100.0,0.0,3.0027046555858306e-06,0.0,0.0,26.15167921888477,27.00000007773174,27.000000353064888,27.000000591209062,4.999999408790938,99.99999964253516,0.036405000932669886,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,0,5000,0,2025-01-01T00:00:00,9,1512,168,-237.8069589587936,749.0183393999539,337305.002215817,1379.527473397138,260.3303383613263,3.936848435326349,630.5091339971841,14.877535733159675,0.0,0.0,0.0,1.6196308578741991e-06,0.0,0.0,0.0,0.0,0.0,4.841845363378525,100.0,0.0,1.6196308578741991e-06,0.0,0.0,26.668187907281567,27.000000050996437,27.000000149172493,27.000000390645337,4.9999996093546635,99.9999998071868,0.019213671974342327,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,True,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
