treatment,baseline,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct
beta0p10,beta0,common_cost,lower,60,-1.9046790499928208,-3.1696260304967177,-0.9241518598831914,2.9963618614770236e-07,-1.0044255009766403,-1.866941030766658,-0.37172988881368546
beta0p10,beta0,e_grid_mwh,lower,60,-9.382604157103906,-14.67782038270915,-5.459457128770694,4.66436967744965e-11,-1.3702255097172829,-2.376939006227663,-0.6204780725775044
beta0p10,beta0,co2_kg,lower,60,-3035.928221131131,-4884.306176234356,-1480.9549504252168,6.0392812576580876e-09,-1.5322840882114492,-2.6552005849736036,-0.6780684259066228
beta0p10,beta0,e_total_mwh,lower,60,-2.3062434132059177,-4.538480362664173,1.0759094017597712,4.841171098703148e-06,-0.14786648864513605,-0.27790239709549763,0.04278736334678518
beta0p10,beta0,recommended_exceedance_degc_h,lower,60,1.1312021843679076e-06,4.285954819967704e-07,1.922067175947893e-06,3.915424684854373e-10,,,
beta0p10,beta0,recommended_exceedance_hours,lower,60,0.0,0.0,0.0,1.0,,,
beta0p10,beta0,recommended_compliance_pct,higher,60,0.0,0.0,0.0,1.0,,,
beta0p10,beta0,p95_t_inlet_c,lower,60,0.1358943564005907,0.10412578413073281,0.16708797540644926,1.6295557943119345e-11,,,
beta0p10,beta0,p99_t_inlet_c,lower,60,0.07377919965637751,0.05420179504017964,0.0948721037721101,2.2059707532770726e-11,,,
beta0p10,beta0,max_t_inlet_c,lower,60,4.6618135088512723e-07,-1.3139461816802366e-07,1.1476399729485685e-06,1.357506909395176e-07,,,
beta0p10,beta0,min_allowable_headroom_c,higher,60,4.661813507815064e-07,-1.3283804911871459e-07,1.1495348897631405e-06,1.357506909395176e-07,,,
beta0p10,beta0,allowable_exceedance_hours,lower,60,0.0,0.0,0.0,1.0,,,
beta0p10,beta0,allowable_exceedance_degc_h,lower,60,0.0,0.0,0.0,1.0,,,
beta0p10,beta0,temporal_rci_hi_pct,higher,60,1.3466692744638445e-07,5.19267885579211e-08,2.266856856536492e-07,3.915424684854373e-10,,,
