scenario,treatment,baseline,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,wilcoxon_p_value
adverse_bias,eact_mpc,nominal_causal_mpc,recommended_exceedance_degc_h,lower,60,0.04466955244074296,0.010855764364952045,0.08902280445832339,1.6295557943119345e-11
adverse_bias,eact_mpc,nominal_causal_mpc,recommended_exceedance_hours,lower,60,0.23333333333333334,0.08333333333333333,0.4,0.0010540340457847852
adverse_bias,eact_mpc,nominal_causal_mpc,recommended_compliance_pct,higher,60,0.13888888888888573,0.049603174603172796,0.23809523809523606,0.0010540340457847852
adverse_bias,eact_mpc,nominal_causal_mpc,p95_t_inlet_c,lower,60,0.1401154317744653,0.1062476970815695,0.1742211836795769,1.6295557943119345e-11
adverse_bias,eact_mpc,nominal_causal_mpc,p99_t_inlet_c,lower,60,0.0756536846308468,0.056456372108812,0.09550962402987559,1.6295557943119345e-11
adverse_bias,eact_mpc,nominal_causal_mpc,max_t_inlet_c,lower,60,0.038985931935046084,0.009747599846023105,0.07730302748456327,2.6966547644999904e-11
adverse_bias,eact_mpc,nominal_causal_mpc,min_allowable_headroom_c,higher,60,0.038985931935046216,0.009373151936868782,0.07761335589353059,2.6966547644999904e-11
adverse_bias,eact_mpc,nominal_causal_mpc,allowable_exceedance_hours,lower,60,0.0,0.0,0.0,1.0
adverse_bias,eact_mpc,nominal_causal_mpc,allowable_exceedance_degc_h,lower,60,0.0,0.0,0.0,1.0
adverse_bias,eact_mpc,nominal_causal_mpc,temporal_rci_hi_pct,higher,60,0.005317803861993772,0.001345656636467118,0.010586365670505424,1.6295557943119345e-11
adverse_bias,eact_mpc,static_robust_mpc,recommended_exceedance_degc_h,lower,60,0.00625077541703985,2.02170125592982e-06,0.01969315400910853,2.2141376721762468e-10
adverse_bias,eact_mpc,static_robust_mpc,recommended_exceedance_hours,lower,60,0.03333333333333333,0.0,0.1,0.15729920705028502
adverse_bias,eact_mpc,static_robust_mpc,recommended_compliance_pct,higher,60,0.01984126984126912,0.0,0.059523809523807356,0.15729920705028502
adverse_bias,eact_mpc,static_robust_mpc,p95_t_inlet_c,lower,60,0.13990342856648366,0.10616980329665725,0.17384804021694578,1.6295557943119345e-11
adverse_bias,eact_mpc,static_robust_mpc,p99_t_inlet_c,lower,60,0.07377939545858775,0.054349860929015975,0.0941552038784348,1.8964365613380834e-11
adverse_bias,eact_mpc,static_robust_mpc,max_t_inlet_c,lower,60,0.00624896881937449,5.815424806125217e-07,0.019693979437542745,3.3927971884776736e-09
adverse_bias,eact_mpc,static_robust_mpc,min_allowable_headroom_c,higher,60,0.006248968819374505,6.057217377715881e-07,0.01969848685286517,3.3927971884776736e-09
adverse_bias,eact_mpc,static_robust_mpc,allowable_exceedance_hours,lower,60,0.0,0.0,0.0,1.0
adverse_bias,eact_mpc,static_robust_mpc,allowable_exceedance_degc_h,lower,60,0.0,0.0,0.0,1.0
adverse_bias,eact_mpc,static_robust_mpc,temporal_rci_hi_pct,higher,60,0.0007441399306017616,2.472995890556717e-07,0.0023785176317310014,2.2141376721762468e-10
none,eact_mpc,nominal_causal_mpc,recommended_exceedance_degc_h,lower,60,0.003595602472857231,6.22896439824198e-06,0.01435298557616962,1.6295557943119345e-11
none,eact_mpc,nominal_causal_mpc,recommended_exceedance_hours,lower,60,0.016666666666666666,0.0,0.06666666666666667,0.31731050786291415
none,eact_mpc,nominal_causal_mpc,recommended_compliance_pct,higher,60,0.00992063492063456,0.0,0.03968253968253824,0.31731050786291415
none,eact_mpc,nominal_causal_mpc,p95_t_inlet_c,lower,60,0.1485989862409164,0.11721693532070293,0.17994370164871648,1.6295557943119345e-11
none,eact_mpc,nominal_causal_mpc,p99_t_inlet_c,lower,60,0.07878121890280833,0.05830123749954817,0.0998067002474096,1.6295557943119345e-11
none,eact_mpc,nominal_causal_mpc,max_t_inlet_c,lower,60,0.003592939128083117,3.5925265933670996e-06,0.014350297856428659,6.920030316998981e-11
none,eact_mpc,nominal_causal_mpc,min_allowable_headroom_c,higher,60,0.0035929391280836646,3.5999161691609622e-06,0.014351226930146243,6.920030316998981e-11
none,eact_mpc,nominal_causal_mpc,allowable_exceedance_hours,lower,60,0.0,0.0,0.0,1.0
none,eact_mpc,nominal_causal_mpc,allowable_exceedance_degc_h,lower,60,0.0,0.0,0.0,1.0
none,eact_mpc,nominal_causal_mpc,temporal_rci_hi_pct,higher,60,0.0004280479134370315,7.343916594374869e-07,0.0017088128266757963,1.6295557943119345e-11
none,eact_mpc,static_robust_mpc,recommended_exceedance_degc_h,lower,60,2.9237067344922706e-08,-6.163087597599315e-08,1.1535487928722895e-07,0.09987524001432194
none,eact_mpc,static_robust_mpc,recommended_exceedance_hours,lower,60,0.0,0.0,0.0,1.0
none,eact_mpc,static_robust_mpc,recommended_compliance_pct,higher,60,0.0,0.0,0.0,1.0
none,eact_mpc,static_robust_mpc,p95_t_inlet_c,lower,60,0.07731252831936525,0.059087483631991004,0.09502598452710465,4.8431285192026145e-09
none,eact_mpc,static_robust_mpc,p99_t_inlet_c,lower,60,0.061600543974907516,0.04516599914191351,0.07858674895222216,1.1617768566885463e-08
none,eact_mpc,static_robust_mpc,max_t_inlet_c,lower,60,6.82230984002293e-08,-4.2056489835869586e-08,2.107287998054374e-07,0.05561801167772952
none,eact_mpc,static_robust_mpc,min_allowable_headroom_c,higher,60,6.822309854825903e-08,-4.269893180845289e-08,2.0749831768807047e-07,0.05561801167772952
none,eact_mpc,static_robust_mpc,allowable_exceedance_hours,lower,60,0.0,0.0,0.0,1.0
none,eact_mpc,static_robust_mpc,allowable_exceedance_degc_h,lower,60,0.0,0.0,0.0,1.0
none,eact_mpc,static_robust_mpc,temporal_rci_hi_pct,higher,60,3.4806063808900944e-09,-7.576018461463719e-09,1.3655477223058663e-08,0.09987524001432194
