country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
CHN,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-361.05136570682737,1173.614782425548,538112.4962909974,1366.2248288565552,239.28050304093426,3.218093709637074,192.61004643100728,108.78438766878564,6.593656116302764e-05,0.0,0.0,2.7429829749792134e-06,0.0,0.0,0.0,0.0,0.0,4.826306901872158,100.0,0.0,2.7429829749792134e-06,0.0,0.0,26.717758579317692,27.000000105468423,27.00000021237286,27.00000061840967,4.999999381590332,99.99999967345441,0.019152011356449554,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-128.21816154639248,345.6565329416883,148247.71296583777,1669.5573546516707,369.65841864747244,7.968935423297887,1323.9008217099824,459.5307128147199,0.0,0.0,0.0,4.463077889127476e-05,0.0,0.0,0.0,0.0,0.0,3.750876256264746,100.0,0.0,4.463077889127476e-05,0.0,0.0,26.815381894074115,27.000000195956073,27.000002230107174,27.00003409835181,4.9999659016481885,99.99999468681203,0.01488442938069143,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-124.5004390211181,301.93510977043053,129944.92228671482,1839.7885808418503,637.0095971347732,20.026962116552138,1537.8534710714198,397.0604298710431,0.0,0.0,0.0,2.4360674544254834e-06,0.0,0.0,0.0,0.0,0.0,22.900244634598494,100.0,0.0,2.4360674544254834e-06,0.0,0.0,25.249366317842313,27.000000018011857,27.00000018237188,27.000001799259973,4.999998200740027,99.99999970999197,0.09087398682216492,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-160.13980863446045,477.7984146485446,196552.94066421635,1587.9778569717514,453.070864374381,14.044041944305397,1110.1794423232066,492.18651452296035,0.0,0.0,0.0,1.0776311860638543e-06,0.0,0.0,0.0,0.0,0.0,14.578006070107222,100.0,0.0,1.0776311860638543e-06,0.0,0.0,25.97898142044209,27.00000005614352,27.000000145896447,27.00000025429592,4.999999745704081,99.99999987171057,0.05784923058291454,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-364.7216461089913,1175.0488537837737,540236.7359505682,1373.7393623272906,245.0877155684143,4.925346738234312,198.6905085435169,102.70392555627603,0.0,0.0,0.0,1.9624120284333912e-07,0.0,0.0,0.0,0.0,0.0,6.913063290528953,100.0,0.0,1.9624120284333912e-07,0.0,0.0,25.98836631265749,26.971575040931107,27.000000019248677,27.00000015431068,4.99999984568932,99.99999997663795,0.027432790688527303,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-127.75676649512937,340.94549572035635,145979.12287730468,1718.905633939158,409.43418265621557,17.541450702041892,1377.9601382188016,405.47139630590084,0.0,0.0,0.0,4.604856940204627e-09,0.0,0.0,0.0,0.0,0.0,8.422615570947528,100.0,0.0,4.604856940204627e-09,0.0,0.0,24.512005478363697,26.89626425220078,26.95899056002256,27.000000004604857,4.999999995395143,99.9999999994518,0.0334230775590099,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-105.1095601747589,255.08358280403914,105276.35405277279,1822.3771189158963,608.7764516500821,30.848645675290456,1567.293536111857,367.6203648306056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.380303775891662,100.0,0.0,0.0,0.0,0.0,25.44164731626629,26.839221400150358,26.958307335985936,26.99999999077081,5.00000000922919,100.0,0.033255173762362186,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-175.6327420690356,535.5350487933866,220820.56290807776,1622.0071282140675,477.39156972474916,23.752607836253652,1086.472079420681,515.893877425486,0.0,0.0,0.0,3.9074778612757655e-07,0.0,0.0,0.0,0.0,0.0,8.52772212587297,100.0,0.0,3.9074778612757655e-07,0.0,0.0,24.635281324692457,26.98106109441788,26.99999272924218,27.000000387731244,4.9999996122687556,99.99999995348242,0.033840167133363054,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-362.45590238537284,1171.2766429274616,542070.8379746245,1372.0325431754604,244.41637284302487,3.889870311792659,200.7559002479989,100.638533851794,0.0,0.0,0.0,7.257000937954672e-07,0.0,0.0,0.0,0.0,0.0,2.8179927383193473,100.0,0.0,7.257000937954672e-07,0.0,0.0,26.095955041394117,26.778252557992527,26.839545604532596,27.000000725700094,4.999999274299906,99.99999991360713,0.011182510862650884,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
CHN,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-127.98568611569064,342.43169931792863,146613.47603886173,1703.5832740203648,399.1544364847491,12.498836954715252,1361.1515747024362,422.2799598222662,0.0,0.0,0.0,7.194223918816078e-07,0.0,0.0,0.0,0.0,0.0,11.314608762972057,100.0,0.0,7.194223918816078e-07,0.0,0.0,25.19159662170551,26.706698614741313,26.779815625492645,27.000000719422392,4.999999280577608,99.99999991435448,0.044899241129343626,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
