country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
IRL,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-123.45001231624818,371.2979766905343,145569.97468245457,1376.7346291954111,249.5100791640615,3.4982500107077974,1005.4366525048767,477.2068043764456,0.0,0.0,0.0,7.636761636220513e-05,0.0,0.0,0.0,0.0,0.0,1.2001753188669682,100.0,0.0,7.636761636220513e-05,0.0,0.0,26.789643744890494,27.000000144367135,27.000000386292196,27.00007265327452,4.999927346725482,99.9999909086171,0.00476260040147556,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-218.74396284355197,797.7644368317875,265319.03299189464,1602.8894970491826,305.8180767833579,5.141419684924242,805.1250602173952,171.01296253553838,0.0,0.0,0.0,5.0252661587535385e-06,0.0,0.0,0.0,0.0,0.0,5.282219709828496,100.0,0.0,5.0252661587535385e-06,0.0,0.0,26.67625413078063,27.00000016101307,27.000000354580436,27.000000938165694,4.9999990618343055,99.99999940175402,0.020961189304620747,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-189.50520045026116,801.0788710072453,196087.31188250656,1517.1208282192333,327.68767407755644,6.6811325511530235,716.0419572119881,187.3476642289786,0.0,0.0,0.0,2.4301307490759427e-06,0.0,0.0,0.0,0.0,0.0,5.7083243653178215,100.0,0.0,2.4301307490759427e-06,0.0,0.0,26.15496268578761,27.00000010142585,27.000000271421584,27.00000041475392,4.99999958524608,99.99999971069872,0.022652080706653317,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-159.67232300544268,624.5043006533684,168681.89715779622,1422.2783162500573,294.5734102586867,6.841955338305736,797.7740155966889,246.09964380747095,0.0,0.0,0.0,1.5415630830517557e-05,0.0,0.0,0.0,0.0,0.0,6.2105188854038715,100.0,0.0,1.5415630830517557e-05,0.0,0.0,26.365916821141592,27.00000006005984,27.000000316437585,27.000013683500374,4.999986316499626,99.99999816480586,0.024644916201294973,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-124.18086727438666,369.84768144890404,145387.18157153393,1412.656368031423,277.46244425264666,11.467623758134632,1042.8086865825192,439.8347702988033,0.0,0.0,0.0,1.7212186165238563e-07,0.0,0.0,0.0,0.0,0.0,6.807936131954193,100.0,0.0,1.7212186165238563e-07,0.0,0.0,24.11986809162411,26.704173527622498,26.891595297330685,27.00000017212186,4.999999827878138,99.9999999795093,0.02701561934303581,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-218.74925257222725,794.4808452973635,264446.36303460726,1618.187891766248,317.8772887259023,8.380602459438354,823.7070464688845,152.43097628404905,0.0,0.0,0.0,5.801874891631087e-08,0.0,0.0,0.0,0.0,0.0,8.603332583792508,100.0,0.0,5.801874891631087e-08,0.0,0.0,25.638519075483025,26.955254930722134,26.99999999604947,27.000000045626145,4.999999954373855,99.999999993093,0.03414020853441408,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-190.56393075492775,806.1039354037456,197306.23695241386,1524.352542783703,332.43702558886156,9.163495604317703,718.2486073799575,185.14101406100912,0.0,0.0,0.0,6.317185956561389e-07,0.0,0.0,0.0,0.0,0.0,4.11318526417017,100.0,0.0,6.317185956561389e-07,0.0,0.0,25.763916747275236,26.88520231092748,26.976884243353627,27.000000631718596,4.999999368281404,99.9999999247954,0.01632216368757543,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-176.10106479266096,697.694861567183,190422.92365166484,1441.0240120220924,309.3737486094811,10.787312759546454,743.3291504549093,300.5445089492505,0.0,0.0,0.0,2.685932969370697e-07,0.0,0.0,0.0,0.0,0.0,5.943631123751402,100.0,0.0,2.685932969370697e-07,0.0,0.0,25.162502009118487,26.983450119543942,26.999946949280435,27.000000243958716,4.999999756041284,99.99999996802461,0.023585837727989115,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-124.15220044348223,369.4200277961449,145153.88552057024,1407.9516627655958,275.81295684430864,8.412405900645414,1038.531634969451,444.1118219118713,0.0,0.0,0.0,4.5226358480476847e-07,0.0,0.0,0.0,0.0,0.0,8.435937927104533,100.0,0.0,4.5226358480476847e-07,0.0,0.0,24.362019563517272,26.65758978559182,26.803228808389537,27.000000452263585,4.999999547736415,99.99999994615911,0.03347594395606956,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-219.59754400596987,796.3005021296414,265221.1557647964,1618.9708010698314,317.7264011004779,9.314399388453184,822.6702989401902,153.46772381274337,0.0,0.0,0.0,4.936285336043511e-08,0.0,0.0,0.0,0.0,0.0,10.609297003597021,100.0,0.0,4.936285336043511e-08,0.0,0.0,25.632697542078045,26.806055753891016,26.944748368202433,27.000000049362853,4.999999950637147,99.99999999412347,0.042100384909038745,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
IRL,eact_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-190.48141696538443,805.1501680706948,197063.65502732762,1529.4258374071774,336.90283529352894,9.770980523124674,724.2756693364826,179.11395210448404,0.0,0.0,0.0,1.4709671702917149e-07,0.0,0.0,0.0,0.0,0.0,6.875343572348356,100.0,0.0,1.4709671702917149e-07,0.0,0.0,25.517867073824,26.766936744923267,26.844510852238926,27.000000147096717,4.999999852903283,99.99999998248849,0.02728310921173986,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
