country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
KOR,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-255.74213621983642,967.6464490924794,327414.49159388896,1349.931186182584,222.44633818517008,3.75854797677233,382.28473709010484,18.607614264703727,0.0,0.0,0.0,1.513263473640336e-06,0.0,0.0,0.0,0.0,0.0,7.450987124815583,100.0,0.0,1.513263473640336e-06,0.0,0.0,26.568568841298738,27.000000055238434,27.000000093258354,27.00000024220631,4.999999757793692,99.99999981984958,0.02956740927904667,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-168.50152276001043,605.4317589368575,180267.76164478617,1609.9622868500649,309.10243268427826,8.929956177962893,1004.5305279132074,237.65918966519897,9.960492893817187e-05,0.0,0.0,2.2574930724772457e-06,0.0,0.0,0.0,0.0,0.0,7.67135126888752,100.0,0.0,2.2574930724772457e-06,0.0,0.0,25.994020340130252,27.000000042573543,27.000000329310073,27.00000058423603,4.99999941576397,99.99999973125082,0.030441869876258784,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-194.64079909511167,598.3498706888153,248218.73059050814,1670.6342093552162,475.7406827419731,12.141505022719054,1072.2843386664008,124.35287211700236,0.0,0.0,0.0,1.2924401353586745e-06,0.0,0.0,0.0,0.0,0.0,16.58021318539977,100.0,0.0,1.2924401353586745e-06,0.0,0.0,25.712192531220893,27.00000002688186,27.000000155814778,27.000000467847222,4.999999532152778,99.99999984613808,0.06579449673292748,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-166.4773953307448,530.8904633377967,200636.43760992342,1509.1418575147886,376.2384787220093,12.040428139714635,978.2513941769921,239.3763411870396,0.0,0.0,0.0,2.4243827780878746e-06,0.0,0.0,0.0,0.0,0.0,13.123845476657152,100.0,0.0,2.4243827780878746e-06,0.0,0.0,25.257407002732677,27.000000053084925,27.000000291406952,27.000000734048363,4.999999265951637,99.999999711383,0.052078751752906965,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-257.3490554030408,973.819491887108,329528.1618241577,1351.2360952801173,224.11537995869094,3.39441530078446,377.41660339300915,23.475747961799417,0.0,0.0,0.0,2.3001960158808288e-07,0.0,0.0,0.0,0.0,0.0,2.0611711610108614,100.0,0.0,2.3001960158808288e-07,0.0,0.0,26.327733550844332,26.878874884940508,26.931819673196273,27.0000002300196,4.999999769980398,99.99999997261672,0.008179250470776531,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-175.56828023452294,653.1327074448562,193421.24421403208,1612.09062594983,312.02553112781027,8.135094241119077,958.9579185049736,283.2317990734328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.731797281652689,100.0,0.0,0.0,0.0,0.0,25.45692011984794,26.8928780061089,26.954591427882104,26.99999999864829,5.000000001351712,100.0,0.014808719322900288,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-210.5716892167071,663.1745955343922,275445.24965916947,1655.269871989387,456.4786352313647,16.03921516749861,992.095276454995,204.5419343284081,0.0,0.0,0.0,1.788048109574447e-08,0.0,0.0,0.0,0.0,0.0,6.337311369366944,100.0,0.0,1.788048109574447e-08,0.0,0.0,25.977730966941067,26.867005868129368,26.940465336216615,27.00000001788048,4.999999982119519,99.99999999787137,0.02514806113033537,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-173.46993282143356,562.7453876254583,213761.98574173564,1501.7384635175226,368.7111552672952,12.16435759716265,938.9930758920643,278.6346594719673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.852123491466045,100.0,0.0,0.0,0.0,0.0,25.565470944701353,26.94651165243672,26.999999482229754,26.999999980335414,5.000000019664586,100.0,0.039095728008616125,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-260.8375174294365,993.4475296302548,332591.10509246204,1353.6910802318598,226.17678958832954,3.787990622888258,360.2435506016048,40.64880075320379,0.0,0.0,0.0,6.31593906064154e-08,0.0,0.0,0.0,0.0,0.0,4.572657600045204,100.0,0.0,6.31593906064154e-08,0.0,0.0,26.082978474809373,26.900835362975073,27.00000001342974,27.000000029955224,4.999999970044776,99.99999999248102,0.018145466483907684,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
KOR,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-175.92400017785303,653.5089251010208,193533.59044152737,1613.5274881155487,313.1981125662653,8.399374968383077,960.018563014528,282.1711545638783,0.0,0.0,0.0,9.567653336262083e-09,0.0,0.0,0.0,0.0,0.0,5.365197975188494,100.0,0.0,9.567653336262083e-09,0.0,0.0,25.403716219959726,26.675053260875195,26.758398427194585,27.000000009567653,4.999999990432347,99.99999999886099,0.021290468018768088,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
