country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
NOR,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-146.8655125775585,1183.179521144945,1370.6733435177148,1345.3807012226882,218.96426978163933,2.69022899219365,162.20118007774312,0.0,9.472988998760585e-05,0.0,0.0,1.4060230668633267e-06,0.0,0.0,0.0,0.0,0.0,2.2482339702546597,100.0,0.0,1.4060230668633267e-06,0.0,0.0,26.79481329131213,27.000000060878378,27.000000101037905,27.000000119135642,4.999999880864358,99.99999983261631,0.008921563215110274,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-164.4253075748361,1314.9161289720835,1287.1342422781056,1595.7289951394696,298.83262350154945,4.966371057019621,280.812866167386,0.0,0.0,0.0,0.0,2.641353805898916e-06,0.0,0.0,0.0,0.0,0.0,0.979979844763875,100.0,0.0,2.641353805898916e-06,0.0,0.0,26.84036425944082,27.00000006966626,27.00000017411921,27.000000291757267,4.999999708242733,99.99999968555312,0.0038888088422012615,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-183.22308110210002,1504.8412393648441,1509.3072302849685,1582.7843864548804,391.36182220527013,8.670542659086577,77.9431470900364,0.0,0.0,0.0,0.0,2.7198127519056925e-06,0.0,0.0,0.0,0.0,0.0,1.0821997709572315,100.0,0.0,2.7198127519056925e-06,0.0,0.0,26.809732039731312,27.000000105373122,27.00000018896112,27.000000376290547,4.999999623709453,99.99999967621277,0.004294443448695044,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-157.2529777699544,1286.3091680560246,1253.716059485674,1386.0018741366575,261.5851163799827,3.5538599358421075,99.69270608063277,0.0,5.129342907803942e-05,0.0,0.0,1.565087206500948e-06,0.0,0.0,0.0,0.0,0.0,0.8390187844634056,100.0,0.0,1.565087206500948e-06,0.0,0.0,26.785887600448582,27.000000052301992,27.000000132924686,27.00000021522623,4.99999978477377,99.99999981368009,0.0033294395802326584,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-147.03582139406313,1185.6409772637994,1373.0977622056198,1347.8421573415424,220.98930082085167,3.126556500048962,162.20118007774312,0.0,0.0,0.0,0.0,7.362672889144051e-07,0.0,0.0,0.0,0.0,0.0,1.8584722876548767,100.0,0.0,7.362672889144051e-07,0.0,0.0,26.48348079906046,26.993109786402307,27.000000037614782,27.000000631169442,4.999999368830558,99.99999991234914,0.007374889893634688,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-164.77642671857677,1318.224503503469,1290.247968024053,1599.0373696708552,301.44683098813306,5.660538101821653,280.812866167386,0.0,0.0,0.0,0.0,3.998074760147574e-09,0.0,0.0,0.0,0.0,0.0,0.8534328304231167,100.0,0.0,3.998074760147574e-09,0.0,0.0,26.561091642953247,26.946356087689825,26.99970425214716,27.000000002465192,4.9999999975348075,99.99999999952404,0.0033866381605288814,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-184.07316007479295,1512.0744248901433,1516.7802212204801,1590.0175719801794,396.7097633364142,10.555787053241508,77.9431470900364,0.0,0.0,0.0,0.0,3.610638863449367e-07,0.0,0.0,0.0,0.0,0.0,0.9579821899533272,100.0,0.0,3.610638863449367e-07,0.0,0.0,26.47886552392421,26.89438400258155,26.97774388362696,27.000000361063886,4.999999638936114,99.9999999570162,0.0038015165676673255,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-157.8814305985923,1291.1258908812665,1241.4120584742695,1390.8185969618994,265.2966883015331,4.658958007301395,99.69270608063277,0.0,0.0,0.0,0.0,1.853170594756648e-07,0.0,0.0,0.0,0.0,0.0,0.9912290908396244,100.0,0.0,1.853170594756648e-07,0.0,0.0,26.41180732437684,26.878211470997904,26.962912388520724,27.00000018531706,4.9999998146829405,99.99999997793844,0.0039334487325201435,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-147.1542589776047,1185.7721687069427,1391.3689634068496,1347.9733487846859,220.80583770032263,3.4412110637212816,162.20118007774312,0.0,0.0,0.0,0.0,4.834730589209357e-07,0.0,0.0,0.0,0.0,0.0,2.40053641051054,100.0,0.0,4.834730589209357e-07,0.0,0.0,26.42439592390935,26.993293146076237,27.000000055452976,27.000000273819403,4.999999726180597,99.99999994244368,0.009525938003900506,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-164.96822938589085,1319.791500172683,1291.721361422202,1600.604366340069,302.6901295532147,5.9842362059538186,280.812866167386,0.0,0.0,0.0,0.0,2.2663776633180532e-08,0.0,0.0,0.0,0.0,0.0,0.8541991636157036,100.0,0.0,2.2663776633180532e-08,0.0,0.0,26.459514431179556,26.836379088322385,26.90005870093117,27.000000022663777,4.999999977336223,99.99999999730194,0.0033896791615656446,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
