country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
GBR,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-265.84521636713646,1263.4614057768554,276539.727974038,1370.436994224971,242.10170135881322,4.60909584551638,106.97558844811545,0.0,0.00010000000053087026,0.0,0.0,4.497591386609656e-05,0.0,0.0,0.0,0.0,0.0,4.773824244737625,100.0,0.0,4.497591386609656e-05,0.0,0.0,26.787156009873414,27.000000133446047,27.000000408196897,27.000041217200305,4.999958782799695,99.99999464572454,0.018943746823684444,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-152.42774037135132,796.1479778364067,97010.69830999846,1609.8064376208044,311.2101031885378,6.666436851353175,813.658459784398,229.85483095918093,9.99999872546987e-05,0.0,0.0,2.9403490749757566e-05,0.0,0.0,0.0,0.0,0.0,4.213060710579157,100.0,0.0,2.9403490749757566e-05,0.0,0.0,26.787714593839684,27.000000211526068,27.00000038505313,27.00002336196111,4.999976638038891,99.99999649958443,0.016718494838901928,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-184.02200510603126,1002.7218627913635,127353.91575030758,1552.0529851863496,361.53258187657025,7.768381719255471,549.3311223949861,289.72356064107953,0.0,0.0,0.0,5.665297702961425e-06,0.0,0.0,0.0,0.0,0.0,5.209308493882418,100.0,0.0,5.665297702961425e-06,0.0,0.0,26.760771782159097,27.000000104940803,27.00000017620001,27.00000217398016,4.99999782601984,99.9999993255598,0.020671859111947317,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-124.17914829256358,531.3526042724861,100902.31556177678,1420.406956455307,293.894706192763,5.649299615243875,889.0543521828208,253.55153084103364,5.596861232032089e-09,0.0,0.0,7.002626347230034e-06,0.0,0.0,0.0,0.0,0.0,4.441517770290375,100.0,0.0,7.002626347230034e-06,0.0,0.0,26.841516188337025,27.00000020135394,27.0000003764889,27.000000886442738,4.999999113557262,99.999999166354,0.017625070226910924,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-263.93115949873345,1262.6948207525654,274406.47535947314,1369.6704092006808,242.67880812157026,3.265301058468798,106.97558844811545,0.0,0.0,0.0,0.0,1.7094636675096808e-06,0.0,0.0,0.0,0.0,0.0,1.1329328548163176,100.0,0.0,1.7094636675096808e-06,0.0,0.0,26.65864571900075,27.00000005171716,27.000000247855926,27.000000351789502,4.999999648210498,99.99999979649242,0.00449576524884573,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-150.38639284850692,791.5391307146573,95373.01245774703,1620.7151369044605,322.538509039337,6.246627284223204,829.1760061898035,214.33728455377545,0.0,0.0,0.0,1.5104440862501178e-06,0.0,0.0,0.0,0.0,0.0,5.268181531690061,100.0,0.0,1.5104440862501178e-06,0.0,0.0,25.893869632081653,27.00000005779988,27.000000159514983,27.00000017717843,4.999999822821572,99.99999982018522,0.02090548236377626,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-175.33979927579207,943.5515181802664,121317.48819368382,1568.3298904166845,377.8637737545286,7.7140950716321735,624.7783722364181,214.27631079964743,0.0,0.0,0.0,1.2680605884440865e-05,0.0,0.0,0.0,0.0,0.0,6.007145615294576,100.0,0.0,1.2680605884440865e-05,0.0,0.0,25.779781953062585,27.00000011676399,27.000000428633545,27.000010278865556,4.999989721134444,99.99999849040407,0.023837879225279072,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-119.53534898105626,505.0214020043493,97276.40951995859,1435.4764458563886,307.5938677133982,7.019627489925608,930.4550438520394,212.15083917181525,0.0,0.0,0.0,1.4541948623048029e-06,0.0,0.0,0.0,0.0,0.0,9.587006233632565,100.0,0.0,1.4541948623048029e-06,0.0,0.0,25.85751598727763,27.00000005552617,27.000000185010567,27.000000342927123,4.999999657072877,99.99999982688156,0.038043675419647205,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-264.5692151111266,1265.8840967848967,275079.41548574745,1372.859685233012,245.3541429531553,3.779242259215022,106.97558844811545,0.0,0.0,0.0,0.0,3.2073675981791894e-07,0.0,0.0,0.0,0.0,0.0,1.0997667349874973,100.0,0.0,3.2073675981791894e-07,0.0,0.0,26.347284588807014,26.78739182313793,26.850168014667155,27.00000032073676,4.99999967926324,99.99999996181705,0.00436415363080977,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
GBR,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-150.6756220079887,793.2223960117853,95522.05336892582,1628.1177071289758,328.0697086431682,8.11799790490731,834.8953111171907,208.6179796263881,0.0,0.0,0.0,1.4582735019530446e-08,0.0,0.0,0.0,0.0,0.0,6.355928216129541,100.0,0.0,1.4582735019530446e-08,0.0,0.0,25.41234553930797,26.83404534639105,26.911006986031907,27.000000014582735,4.999999985417265,99.99999999826396,0.025221937035721134,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
