country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
IRL,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-124.65437482401789,372.5808802669953,145784.8799379689,1377.8866299970143,249.3735659201015,4.786764056271024,1005.3057497300192,477.33770715130316,0.0,0.0,0.0,8.556560615602393e-06,0.0,0.0,0.0,0.0,0.0,6.520734202116728,100.0,0.0,8.556560615602393e-06,0.0,0.0,26.820461290005408,27.000000273602456,27.000000435748465,27.00000055649771,4.99999944350229,99.99999898136183,0.02587592943624865,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-226.22106375402944,823.4590150362104,273565.19052526215,1602.992970250115,305.4243405515681,5.638732087092736,779.5339552139042,196.60406753902924,9.997033645925413e-05,0.0,0.0,8.535041537527377e-06,0.0,0.0,0.0,0.0,0.0,3.7918313406407833,100.0,0.0,8.535041537527377e-06,0.0,0.0,26.772790204824684,27.00000032619896,27.000000709389617,27.00000084886879,4.99999915113121,99.99999898392362,0.01504694962955,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-205.0560420983033,869.8216396318994,210513.45240149315,1512.5452857953546,323.3585727974753,6.434794407628535,642.7236461634551,260.66597527751156,0.00010000026503983496,0.0,0.0,5.720435479616981e-05,0.0,0.0,0.0,0.0,0.0,5.849889890756458,100.0,0.0,5.720435479616981e-05,0.0,0.0,26.73440716227256,27.00000008124776,27.000000573656713,27.000053702952474,4.999946297047526,99.99999318995776,0.023213848644878625,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-168.899476440966,664.2943165939048,177297.30827731476,1414.6997124957504,287.97951987118165,5.857241971501686,750.4053959018455,293.4682635023142,0.0,0.0,1.0,0.05284629766964244,0.0,0.0,0.0,0.0,0.0,5.522848222404718,99.40476190476191,1.0,0.05284629766964244,0.0,0.0,26.798721409988367,27.000000415266076,27.000010088265853,27.05280834943299,4.94719165056701,99.99370877408694,0.021916064119154942,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-125.09697329024725,368.8402419867843,144841.3326912092,1393.1443282316532,261.914240076159,7.503788134852266,1024.3040862448688,458.3393706364537,0.0,0.0,0.0,6.66027280402659e-05,0.0,0.0,0.0,0.0,0.0,10.478443898260593,100.0,0.0,6.66027280402659e-05,0.0,0.0,25.546379764017153,27.00000002450817,27.000007565196594,27.000043378199532,4.999956621800468,99.9999920711038,0.041581126646113784,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-218.22244560006567,793.1850790337546,263875.90323748626,1617.6362888042745,318.48656960146786,7.219718621906288,824.45120977052,151.68681298241353,0.0,0.0,0.0,1.8762260118876384e-06,0.0,0.0,0.0,0.0,0.0,11.205076932907104,100.0,0.0,1.8762260118876384e-06,0.0,0.0,25.703454809357964,27.000000050081976,27.00000025171679,27.00000035269285,4.999999647307149,99.99999977663975,0.04446459101468679,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-189.36888862806893,800.0353828633832,195814.89321974939,1525.1621953057202,335.35468887066634,7.055484844530058,725.126812442337,178.2628089986297,0.0,0.0,0.0,3.3361991746971853e-06,0.0,0.0,0.0,0.0,0.0,8.001522742211819,100.0,0.0,3.3361991746971853e-06,0.0,0.0,25.72334064593808,27.00000011431588,27.000000446283728,27.000000562360707,4.999999437639293,99.99999960283344,0.03175207426206076,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-170.66056108353223,682.7679134078899,180714.10009884025,1432.0530774134927,305.3942813478251,5.79584541260292,749.2851640056027,294.58849539855686,0.0,0.0,0.0,1.2176648525041855e-06,0.0,0.0,0.0,0.0,0.0,7.266550213098526,100.0,0.0,1.2176648525041855e-06,0.0,0.0,25.65552204790972,27.00000001304475,27.000000198716716,27.000000372885964,4.999999627114036,99.9999998550399,0.028835516790942557,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-125.23435968496042,371.83786124483805,146343.53479724767,1410.164578980904,278.13090951853434,8.307369441727841,1038.326717736066,444.31673914525646,0.0,0.0,0.0,3.2966378071819236e-07,0.0,0.0,0.0,0.0,0.0,5.460861788131297,100.0,0.0,3.2966378071819236e-07,0.0,0.0,24.155199128502403,26.67830182064497,26.801163848840382,27.00000032966378,4.999999670336219,99.99999996075431,0.021670086203985625,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
IRL,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-219.13734396714202,797.6907246900605,265476.1152759745,1614.9616302276272,314.5119150795035,8.519714567223117,817.2709055375666,158.86711721536687,0.0,0.0,0.0,6.247192274599911e-08,0.0,0.0,0.0,0.0,0.0,6.8009857423603535,100.0,0.0,6.247192274599911e-08,0.0,0.0,25.87000183889558,26.790870229431537,26.881386707405245,27.000000062471923,4.999999937528077,99.99999999256288,0.026988038553446086,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
