country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
KOR,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-264.6873892941911,995.492219477494,336777.33347519353,1350.734838601926,221.59164086492927,5.417000716361043,355.24261912443177,45.649732230376806,0.00010000000617960138,0.0,0.0,5.306804261806519e-06,0.0,0.0,0.0,0.0,0.0,6.0433594193309546,100.0,0.0,5.306804261806519e-06,0.0,0.0,26.71813215794942,27.000000157316183,27.000000427538442,27.00000073475586,4.9999992652441385,99.9999993682376,0.023981585062020236,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-183.2015644554716,667.7437082484921,198492.7615068678,1599.1662399412182,299.6568423536995,7.579500006628493,931.422531692726,310.7671858856803,0.00010000000997953916,0.0,0.0,6.845782329634176e-05,0.0,0.0,0.0,0.0,0.0,7.208776343613863,100.0,0.0,6.845782329634176e-05,0.0,0.0,26.693086516543243,27.00000017644484,27.000000506139745,27.00006364334441,4.9999363566555886,99.99999185025914,0.028606255432047572,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-210.5118998454472,663.785878099431,274506.990520945,1640.6236489732119,447.9692932267168,9.90243696713765,976.8377708737808,219.79943990962238,9.981666651603938e-05,0.0,1.0,0.324091368825254,0.0,0.0,0.0,0.0,0.0,6.2122013084590435,99.40476190476191,1.0,0.324091368825254,0.0,0.0,26.80179680980395,27.000000293866453,27.000032233908243,27.323989229530156,4.676010770469844,99.96141769418747,0.02465159245138427,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-174.68710849583584,563.0710666430537,211739.84328675133,1478.8296802218435,350.81232220579153,7.154407362987137,915.7586135787897,301.8691217852419,0.0,0.0,1.0,0.039909925339831176,0.0,0.0,0.0,0.0,0.0,7.7414957247674465,99.40476190476191,1.0,0.039909925339831176,0.0,0.0,26.67550804715581,27.000000133239677,27.000000428769734,27.03990615938791,4.960093840612089,99.99524881841194,0.0307202209979074,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-261.0503374370964,988.8551435908139,335154.2634691745,1349.2776806538045,222.4567724448296,3.094608188332935,360.4225370629904,40.469814291818146,0.0,0.0,0.0,1.1615288464383866e-06,0.0,0.0,0.0,0.0,0.0,3.520849721506238,100.0,0.0,1.1615288464383866e-06,0.0,0.0,26.5569347002553,27.000000032807776,27.000000063073603,27.000000559385562,4.999999440614438,99.99999986172276,0.013971625727468304,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-175.37325573396868,650.5686552640124,192680.96673787874,1610.3310567286253,311.40482164679645,6.996234500928314,959.7624014646128,282.4273161137934,0.0,0.0,0.0,1.5467711342864732e-06,0.0,0.0,0.0,0.0,0.0,7.2693140367046,100.0,0.0,1.5467711342864732e-06,0.0,0.0,25.642604151108344,27.000000039299703,27.000000210595104,27.000000372199562,4.999999627800438,99.99999981586058,0.028846484027737807,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-209.81824579582707,656.1775164339681,272510.40711563814,1669.756560230382,473.4870173812917,13.517521258566791,1013.579043796414,183.058166986989,0.0,0.0,0.0,4.615534265894894e-07,0.0,0.0,0.0,0.0,0.0,12.316663052886724,100.0,0.0,4.615534265894894e-07,0.0,0.0,25.562618173294574,27.00000001571321,27.00000006364042,27.000000097411146,4.999999902588854,99.99999994505316,0.04887564681883391,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-159.7333808763967,507.977837223758,192251.4666711952,1507.9791988843413,376.7734610347477,10.34278719652899,1000.0013616605834,217.62637370344814,0.0,0.0,0.0,9.995537517681896e-07,0.0,0.0,0.0,0.0,0.0,10.001168007031083,100.0,0.0,9.995537517681896e-07,0.0,0.0,25.276310569502748,27.00000003016782,27.000000139704348,27.000000229157223,4.999999770842777,99.99999988100551,0.03968717448324675,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-261.5250535004207,991.2490347278072,335695.57849272934,1351.477232890911,224.38388924592488,3.367043624344241,360.2281981631038,40.66415319170472,0.0,0.0,0.0,1.9740187440220325e-07,0.0,0.0,0.0,0.0,0.0,2.239499248098582,100.0,0.0,1.9740187440220325e-07,0.0,0.0,26.34376758797876,26.999999986534185,27.000000031271668,27.000000082176886,4.999999917823114,99.99999997649978,0.008886901769853597,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
KOR,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-175.84174879440388,653.3192055271255,193455.2765582096,1611.7228727913553,311.5612310083839,8.231641202070776,958.4036672642296,283.78605031417663,0.0,0.0,0.0,1.1152323509122652e-09,0.0,0.0,0.0,0.0,0.0,5.383729732595384,100.0,0.0,1.1152323509122652e-09,0.0,0.0,25.54593790703296,26.660119344522244,26.756173074649922,27.000000001115232,4.999999998884768,99.99999999986724,0.021364006809779398,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
