country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
MYS,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-245.4155515750882,664.0726520793901,362751.68183739507,1598.6940021801488,463.4090964024358,11.558620102638198,934.6213501007588,19.265808817018595,1.3927734919833324e-05,0.0,2.0,0.6006683597880027,0.0,0.0,0.0,0.0,0.0,7.776688450947404,98.80952380952381,2.0,0.6006683597880027,0.0,0.0,26.695198477355483,27.000000581139943,27.09466080034536,27.313856668161822,4.686143331838178,99.92849186193,0.030859874576211924,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-667.418940463757,1866.8234062091117,1099945.0051519244,1912.3629477116654,600.895085943414,19.537861187350714,45.539541502553384,0.0,0.0,0.0,0.0,4.348090070038779e-05,0.0,0.0,0.0,0.0,0.0,5.377284348011017,100.0,0.0,4.348090070038779e-05,0.0,0.0,26.87306099562568,27.000000249061156,27.000000826048762,27.00003529070714,4.999964709292861,99.9999948237023,0.02133842996166398,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-544.6883475521215,1539.1862222617256,886764.665765495,1744.6581604329037,545.5589326775086,16.347206164871555,205.47193817117815,0.0,0.0,0.0,0.0,8.542948272349804e-06,0.0,0.0,0.0,0.0,0.0,3.7640877943485975,100.0,0.0,8.542948272349804e-06,0.0,0.0,26.9021847606305,27.00000016690418,27.000000439962953,27.000003776839957,4.999996223160043,99.99999898298235,0.014936856308417018,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-531.1347680843501,1519.3781319178706,863669.0587660696,1634.326820815514,499.8642001554692,13.599670006980126,114.94868889764328,0.0,0.0,0.0,0.0,6.024181619324054e-06,0.0,0.0,0.0,0.0,0.0,2.9078373704105616,100.0,0.0,6.024181619324054e-06,0.0,0.0,26.89623441347675,27.000000159590844,27.00000039092569,27.00000106924993,4.9999989307500705,99.99999928283552,0.011539037241452626,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-243.5345410611085,654.3124074501532,361219.3773633593,1597.2317247915398,460.63744306733065,12.867981703567233,942.9193173413864,10.967841576390981,0.0,0.0,0.0,2.4496700561371654e-06,0.0,0.0,0.0,0.0,0.0,5.48735685646534,100.0,0.0,2.4496700561371654e-06,0.0,0.0,26.65556294976515,27.000000112238375,27.0000003050948,27.000000541342054,4.999999458657946,99.99999970837261,0.021775225578624356,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-667.1259427169445,1868.0694773229725,1101958.53812851,1913.6090188255257,602.1118632258397,19.567155018785613,45.539541502553384,0.0,0.0,0.0,0.0,2.9006825741362263e-06,0.0,0.0,0.0,0.0,0.0,3.983209740370512,100.0,0.0,2.9006825741362263e-06,0.0,0.0,26.756041661398665,27.000000084198284,27.000000212747967,27.000000697810766,4.999999302189234,99.99999965468065,0.01580638789926611,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-544.6968114808521,1541.3581781025246,887630.0217934512,1746.8301162737027,546.6774720613903,17.400622621788628,205.47193817117815,0.0,0.0,0.0,0.0,2.6850762075980583e-06,0.0,0.0,0.0,0.0,0.0,1.1836947984993458,100.0,0.0,2.6850762075980583e-06,0.0,0.0,26.75849336636976,27.000000097506092,27.00000029358536,27.000000462469995,4.999999537530005,99.99999968034807,0.0046972015074321204,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-532.5458830660253,1523.8358702453515,865973.4186870737,1638.7845591429946,502.55696917861275,15.364639311317276,114.94868889764328,0.0,0.0,0.0,0.0,1.3682162887107552e-06,0.0,0.0,0.0,0.0,0.0,2.672182071954012,100.0,0.0,1.3682162887107552e-06,0.0,0.0,26.7402615051941,27.00000005111522,27.000000184978152,27.00000019346742,4.999999806532578,99.9999998371171,0.010603896997285076,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-246.23972412659992,666.9688421800834,366075.8451362599,1601.1595622992681,463.15613034327157,14.277131935354713,934.1907201191849,19.696438798592574,0.0,0.0,0.0,9.48409102363712e-08,0.0,0.0,0.0,0.0,0.0,2.6940315552055836,100.0,0.0,9.48409102363712e-08,0.0,0.0,26.507341283047406,26.998908392663218,27.000000016382494,27.000000054684072,4.999999945315928,99.99999998870942,0.010690601373512652,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
MYS,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-670.3543129938055,1877.6146184537274,1107591.7708290436,1923.1541599562806,607.3499895557845,23.87416981959574,45.539541502553384,0.0,0.0,0.0,0.0,2.5724073537958247e-08,0.0,0.0,0.0,0.0,0.0,1.706379223614931,100.0,0.0,2.5724073537958247e-08,0.0,0.0,26.527344926947052,26.870757744295947,26.934310300013845,27.000000025724074,4.9999999742759265,99.9999999969376,0.006771345981322933,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
