country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
SGP,nominal_causal_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-202.48805403614946,664.2475038179414,245571.70569290608,1599.5975988514151,464.2263911425451,11.644907688228475,935.3500950334741,18.537063884303368,0.0,0.0,0.0,1.503396105206889e-05,0.0,0.0,0.0,0.0,0.0,9.37791849579662,100.0,0.0,1.503396105206889e-05,0.0,0.0,26.659830158543507,27.000000113113106,27.000001351444265,27.000009007576097,4.999990992423903,99.99999821024274,0.037213962211689294,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,nominal_causal_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-497.84236285589515,1863.7587204978006,681439.1366438475,1909.2982620003538,597.2499898712332,20.11837456123187,45.539541502553384,0.0,0.00010001263243863967,0.0,0.0,2.0563631387915393e-05,0.0,0.0,0.0,0.0,0.0,2.0673708207905293,100.0,0.0,2.0563631387915393e-05,0.0,0.0,26.897232349051052,27.00000030855984,27.000002155412744,27.000008121870046,4.999991878129954,99.99999755194865,0.008203852474657174,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,nominal_causal_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-415.2807000363501,1540.2136930380884,561220.2878864175,1745.6856312092666,546.2601206248256,16.673591993918823,205.47193817117815,0.0,0.00010000000171261561,0.0,0.0,8.392858692474192e-06,0.0,0.0,0.0,0.0,0.0,4.277177218347788,100.0,0.0,8.392858692474192e-06,0.0,0.0,26.89349980657663,27.00000018144673,27.000000774626024,27.000002353191103,4.999997646808897,99.99999900085015,0.016972925377702935,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,nominal_causal_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-407.4552912318103,1519.5367304314127,552903.0770648562,1634.485419329056,500.0204202257645,13.602151450217793,114.94868889764328,0.0,9.999999134841929e-05,0.0,1.0,0.3279476321722825,0.0,0.0,0.0,0.0,0.0,4.226423427462578,99.40476190476191,1.0,0.3279476321722825,0.0,0.0,26.880931134359283,27.00000030427514,27.000000593700403,27.32793782628486,4.67206217371514,99.96095861521759,0.016771521491353355,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,static_robust_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-193.8970821462215,647.9232656141098,239815.18959741874,1596.118406438613,459.44064574493746,12.951460673033758,948.1951408245033,5.692018093274206,0.0,0.0,0.0,1.5843782747992918e-06,0.0,0.0,0.0,0.0,0.0,4.493467628955841,100.0,0.0,1.5843782747992918e-06,0.0,0.0,26.672751623850314,27.000000042521222,27.000000203078688,27.000000302481073,4.999999697518927,99.99999981138355,0.017831220673831433,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,static_robust_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-498.3560826838678,1865.7241691524362,681684.4158413528,1911.2637106549896,599.3321456977219,20.001564376367092,45.539541502553384,0.0,0.0,0.0,0.0,3.4023586046316723e-06,0.0,0.0,0.0,0.0,0.0,4.2545577101409435,100.0,0.0,3.4023586046316723e-06,0.0,0.0,26.79131726086683,27.000000143386295,27.000000235410678,27.0000003057831,4.9999996942169,99.99999959495732,0.01688316533164609,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,static_robust_mpc,2,5002,4680,2025-07-15T00:00:00,0,0,168,-414.870504881857,1541.3305852084627,563132.2611470481,1746.8025233796407,546.6651408595305,17.38536092958636,205.47193817117815,0.0,0.0,0.0,0.0,1.4222993094392677e-06,0.0,0.0,0.0,0.0,0.0,1.1644446142017841,100.0,0.0,1.4222993094392677e-06,0.0,0.0,26.758751040217756,27.00000004680702,27.00000015937893,27.000000233089967,4.999999766910033,99.99999983067866,0.0046208118798122515,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,static_robust_mpc,3,5003,6888,2025-10-15T00:00:00,0,0,168,-407.0977737425296,1523.1015567481809,553305.219116061,1638.050245645824,501.98119261705796,15.206102375955073,114.94868889764328,0.0,0.0,0.0,0.0,2.387360044764364e-06,0.0,0.0,0.0,0.0,0.0,2.8267555832862854,100.0,0.0,2.387360044764364e-06,0.0,0.0,26.753060516792413,27.000000042134985,27.00000037346227,27.000000445009327,4.999999554990673,99.99999971579047,0.011217283891580467,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,eact_mpc,0,5000,336,2025-01-15T00:00:00,0,0,168,-198.82398631744448,666.9431381535676,247027.70173092367,1602.3501890835792,464.50441376275705,14.119475300180177,935.4070509300115,18.480107987765965,0.0,0.0,0.0,5.5305040547182216e-08,0.0,0.0,0.0,0.0,0.0,3.5074116867035627,100.0,0.0,5.5305040547182216e-08,0.0,0.0,26.493724386782365,26.910097500614697,27.000000001366033,27.000000031306296,4.999999968693704,99.99999999341607,0.013918300384830218,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
SGP,eact_mpc,1,5001,2496,2025-04-15T00:00:00,0,0,168,-500.9665162070027,1876.9466372012675,685738.1950930872,1922.4861787038208,606.3896479851965,24.166530137723964,45.539541502553384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.151898566633463,100.0,0.0,0.0,0.0,0.0,26.536780491695158,26.870772061518803,26.93427489268381,26.9999999790234,5.0000000209766,100.0,0.004571026024807777,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
