condition,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
adverse_bias_s0.5,common_cost,lower,12,-0.4740605624131848,-0.8903471754690199,-0.12860929334398008,-1.3928834419106693,-1.180560395982165,0.04248046875,-0.20134390300685115,-0.3839880419122664,0.008269641968541108,-0.6334785137311527,-0.5390542507181433
adverse_bias_s0.5,p95_t_inlet_c,lower,12,0.1629093745633131,0.1122832114757325,0.19789811368771998,3.278645600346408e-06,0.06028827152875612,0.00048828125,,,,,
adverse_bias_s0.5,p99_t_inlet_c,lower,12,0.09649166303011707,0.06281546263850138,0.13287878840188233,1.589664933021595e-08,0.008028716473903094,0.00048828125,,,,,
adverse_bias_s1.0,common_cost,lower,12,-0.6433321286772463,-1.502018601064253,0.06787315248165626,-3.1341904390159243,-2.2596621986033605,0.09228515625,-0.3556885709414922,-0.7415544341568976,0.04931163220150824,-1.4562606094263022,-1.2159168062048005
adverse_bias_s1.0,p95_t_inlet_c,lower,12,0.1592872926459883,0.08666643645959066,0.21173971759392937,4.238995998662176e-08,0.022495024614080705,0.00048828125,,,,,
adverse_bias_s1.0,p99_t_inlet_c,lower,12,0.07032626962496528,0.037604482315397515,0.10133400191055544,-5.352337595354584e-08,9.304291381795338e-08,0.0009765625,,,,,
adverse_bias_s2.0,common_cost,lower,12,0.9846650464251828,-1.481897893666068,4.8835805345772565,-3.095331924232937,-2.818893382608877,0.90966796875,0.9067284698710197,-0.8260527111497268,4.113365373809838,-1.7952779914544539,-1.439688868439922
adverse_bias_s2.0,p95_t_inlet_c,lower,12,0.0655112749426759,0.017267480205122556,0.12326764587029666,4.936406838851326e-08,1.0652550486156542e-07,0.00048828125,,,,,
adverse_bias_s2.0,p99_t_inlet_c,lower,12,0.031242353962597374,0.005807117961830126,0.06380434248058121,9.432764613848121e-08,1.813158855649514e-07,0.00048828125,,,,,
combined_s1.0,common_cost,lower,12,-0.8221441003873858,-2.9814324568041117,0.6420813716280955,-9.35072794670981,-4.527919623031305,0.38037109375,-0.3534993780047948,-1.6665921617592432,0.5491915278218873,-5.572240588732392,-2.3836279665121674
combined_s1.0,p95_t_inlet_c,lower,12,0.18948188407877029,0.11646787605710103,0.2575513292583971,-0.005627740252101887,3.3291374659683015e-05,0.00146484375,,,,,
combined_s1.0,p99_t_inlet_c,lower,12,0.13027383378684387,0.07312356691895837,0.18580992877912272,1.1129337451620813e-08,5.2995511385489635e-05,0.00048828125,,,,,
noise_s1.0,common_cost,lower,12,-0.6144083624955871,-1.7992986529739343,0.17639465496734535,-5.363755331360721,-2.6687605398598513,0.2333984375,-0.36986538909164235,-0.8973999731352161,0.04296831617795972,-2.4180722656773694,-1.4612029536301434
noise_s1.0,p95_t_inlet_c,lower,12,0.054780243752762615,-0.019225606772112158,0.10793646098223399,-0.21347682698510084,-0.06630748483235512,0.04248046875,,,,,
noise_s1.0,p99_t_inlet_c,lower,12,0.07028068445680447,0.01139106088209876,0.12049211093831579,-0.1088525563365117,-0.03629214349156129,0.02099609375,,,,,
none_s0.0,common_cost,lower,12,0.09448202461647763,-0.5126068150921658,0.8915819022971263,-1.2561633733481585,-0.683761657922067,0.6220703125,0.025893333271849544,-0.21720955572895273,0.324368711090388,-0.5666888892518082,-0.3072108559925551
none_s0.0,p95_t_inlet_c,lower,12,0.09426882670202286,0.05859488179296605,0.133112833397492,-0.018934545519851298,0.013366755580502598,0.00244140625,,,,,
none_s0.0,p99_t_inlet_c,lower,12,0.07407416178648833,0.03714512848119901,0.1194706619047218,-7.2623832885199135e-06,-2.41742589205766e-06,0.00341796875,,,,,
