condition,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
adverse_bias_s0.5,common_cost,lower,12,-0.4740605624131848,-0.8903471754690199,-0.12860929334398008,-1.3928834419106693,-1.180560395982165,0.04248046875,-0.20134390300685115,-0.3839880419122664,0.008269641968541108,-0.6334785137311527,-0.5390542507181433
adverse_bias_s0.5,e_grid_mwh,lower,12,-2.44902873694979,-3.4187052166820586,-1.4507326701319794,-4.78926838039763,-4.473473328584551,0.00146484375,-0.31991964659953687,-0.5797115397332231,-0.12389958582664454,-1.2499567657165878,-0.8179090943128816
adverse_bias_s0.5,co2_kg,lower,12,-877.7076902079237,-1723.1850797274064,-2.5707210474667517,-2197.020179476822,-2143.117552552081,0.02685546875,-0.3725518695726132,-0.6801916337109294,-0.14618955611147322,-1.2319734565049751,-0.9709944683756853
adverse_bias_s0.5,e_total_mwh,lower,12,4.421668601893752,-2.7044201034843978,15.898114932393144,-6.638276077856062,-4.297083882806874,0.85009765625,0.24533782322909975,-0.17358898574788945,0.9265942146131282,-0.39325468221059323,-0.26200050458956314
adverse_bias_s0.5,recommended_exceedance_degc_h,lower,12,2.0422561390158003e-07,-1.6468185063770827e-07,4.6322274057282893e-07,-6.902693492349954e-07,-3.4357467744901743e-07,0.123046875,,,,,
adverse_bias_s0.5,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s0.5,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s0.5,p95_t_inlet_c,lower,12,0.1629093745633131,0.1122832114757325,0.19789811368771998,3.278645600346408e-06,0.06028827152875612,0.00048828125,,,,,
adverse_bias_s0.5,p99_t_inlet_c,lower,12,0.09649166303011707,0.06281546263850138,0.13287878840188233,1.589664933021595e-08,0.008028716473903094,0.00048828125,,,,,
adverse_bias_s0.5,max_t_inlet_c,lower,12,1.560289112726802e-08,-2.747597317368881e-07,2.1768513066196724e-07,-7.219345619091655e-07,-3.938740000819507e-07,0.2333984375,,,,,
adverse_bias_s0.5,min_allowable_headroom_c,higher,12,1.5602891423327492e-08,-2.7232409695413886e-07,2.157776715823919e-07,-7.219345619091655e-07,-3.938740000819507e-07,0.2333984375,,,,,
adverse_bias_s0.5,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s0.5,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s0.5,temporal_rci_hi_pct,higher,12,2.4312579209132917e-08,-1.799019608839103e-08,5.551195657223686e-08,-8.217492108997249e-08,-4.090173888471327e-08,0.123046875,,,,,
adverse_bias_s1.0,common_cost,lower,12,-0.6433321286772463,-1.502018601064253,0.06787315248165626,-3.1341904390159243,-2.2596621986033605,0.09228515625,-0.3556885709414922,-0.7415544341568976,0.04931163220150824,-1.4562606094263022,-1.2159168062048005
adverse_bias_s1.0,e_grid_mwh,lower,12,-4.056452913390513,-6.710422817834262,-1.3671709307976438,-11.044943310984081,-8.43199151991781,0.00244140625,-0.5891962181940968,-1.1315267517320609,-0.109315514255716,-2.4980880183455367,-1.7065164181244918
adverse_bias_s1.0,co2_kg,lower,12,-889.7062496642747,-2649.145071070389,272.60570791124644,-5577.375495455286,-3886.07035558532,0.33935546875,-0.7678980898193248,-1.4839601767924542,-0.1153819039692473,-3.17447786719988,-2.5679894011607503
adverse_bias_s1.0,e_total_mwh,lower,12,-0.5728039738347283,-7.047450171940743,8.024045689847789,-16.873386918637607,-11.190809221721034,0.30126953125,-0.0676682642112659,-0.44284126481341207,0.4077369106642797,-1.0017347226584485,-0.682705877153376
adverse_bias_s1.0,recommended_exceedance_degc_h,lower,12,1.0472951559011662e-05,9.929732692833446e-07,3.5503934756946355e-05,4.851964483520985e-07,6.180385708394928e-07,0.00048828125,,,,,
adverse_bias_s1.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,p95_t_inlet_c,lower,12,0.1592872926459883,0.08666643645959066,0.21173971759392937,4.238995998662176e-08,0.022495024614080705,0.00048828125,,,,,
adverse_bias_s1.0,p99_t_inlet_c,lower,12,0.07032626962496528,0.037604482315397515,0.10133400191055544,-5.352337595354584e-08,9.304291381795338e-08,0.0009765625,,,,,
adverse_bias_s1.0,max_t_inlet_c,lower,12,9.268518156524408e-06,1.67871470161766e-07,3.442727185235157e-05,1.1774811170539579e-07,1.2169238180111583e-07,0.00048828125,,,,,
adverse_bias_s1.0,min_allowable_headroom_c,higher,12,9.268518156450392e-06,1.6875518340323894e-07,3.442652394014164e-05,1.1774811170539579e-07,1.2169238180111583e-07,0.00048828125,,,,,
adverse_bias_s1.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s1.0,temporal_rci_hi_pct,higher,12,1.2467799486159947e-06,1.1850380762605066e-07,4.315662980610329e-06,5.7761496918828925e-08,7.357602764083519e-08,0.00048828125,,,,,
adverse_bias_s2.0,common_cost,lower,12,0.9846650464251828,-1.481897893666068,4.8835805345772565,-3.095331924232937,-2.818893382608877,0.90966796875,0.9067284698710197,-0.8260527111497268,4.113365373809838,-1.7952779914544539,-1.439688868439922
adverse_bias_s2.0,e_grid_mwh,lower,12,0.6830617358613248,-6.846662168138057,14.634019307368234,-15.802320849067314,-10.753727576247798,0.38037109375,1.1680391584953942,-0.7196030160523308,5.598232365164429,-1.8684928355985249,-1.3291798472625902
adverse_bias_s2.0,co2_kg,lower,12,1144.0000601298768,-2437.367991669864,6793.2566104365305,-8342.394358016725,-4214.678619402373,0.9697265625,0.9051751790639646,-1.6597143707382178,5.648824717128237,-3.2449022176212643,-2.751919519322822
adverse_bias_s2.0,e_total_mwh,lower,12,-8.802791832506008,-24.301183576345707,6.5744080768507125,-62.14252656957524,-37.979211994285,0.02685546875,-0.5988300823029223,-1.5828301783022265,0.26742163114213907,-3.9907404218885763,-2.367651445398061
adverse_bias_s2.0,recommended_exceedance_degc_h,lower,12,0.008706792507508313,-9.745935138324077e-06,0.034812432878147816,-4.8427286721164364e-05,-1.4475069478455302e-05,0.02099609375,,,,,
adverse_bias_s2.0,recommended_exceedance_hours,lower,12,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,,,,,
adverse_bias_s2.0,recommended_compliance_pct,higher,12,0.049603174603172796,0.0,0.19841269841269119,0.0,0.0,1.0,,,,,
adverse_bias_s2.0,p95_t_inlet_c,lower,12,0.0655112749426759,0.017267480205122556,0.12326764587029666,4.936406838851326e-08,1.0652550486156542e-07,0.00048828125,,,,,
adverse_bias_s2.0,p99_t_inlet_c,lower,12,0.031242353962597374,0.005807117961830126,0.06380434248058121,9.432764613848121e-08,1.813158855649514e-07,0.00048828125,,,,,
adverse_bias_s2.0,max_t_inlet_c,lower,12,0.00869920504443004,-1.3562686476712807e-05,0.034799827381478764,-4.938426431877474e-05,-1.642740195369659e-05,0.0341796875,,,,,
adverse_bias_s2.0,min_allowable_headroom_c,higher,12,0.008699205044430705,-1.3518418191971193e-05,0.0348010778789757,-4.938426431877474e-05,-1.6427401952512355e-05,0.0341796875,,,,,
adverse_bias_s2.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s2.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
adverse_bias_s2.0,temporal_rci_hi_pct,higher,12,0.0010365229175578843,-1.1705296927289055e-06,0.004144304045038183,-5.765153190395722e-06,-1.7232225530960932e-06,0.02099609375,,,,,
combined_s1.0,common_cost,lower,12,-0.8221441003873858,-2.9814324568041117,0.6420813716280955,-9.35072794670981,-4.527919623031305,0.38037109375,-0.3534993780047948,-1.6665921617592432,0.5491915278218873,-5.572240588732392,-2.3836279665121674
combined_s1.0,e_grid_mwh,lower,12,-5.519443982770393,-12.58556559401644,-0.9962146254547061,-34.82940636068264,-17.423268469535078,0.0341796875,-0.7003310914066475,-2.2213477683897107,0.19752516936322878,-6.9001270667413515,-2.9763320792358567
combined_s1.0,co2_kg,lower,12,-1690.0800911023662,-5051.813748578958,328.56124682963343,-14157.979689841217,-7398.898369677481,0.38037109375,-0.6410575219820931,-2.139354151700016,0.34706710311219585,-6.8258002945068466,-3.084539213782271
combined_s1.0,e_total_mwh,lower,12,4.140709940863739,-4.11171122213575,16.756804257207087,-5.935758252644291,-4.9854045228617,0.85009765625,0.21581249111452647,-0.2717598123650102,0.9235634128892611,-0.37420957652875414,-0.31508424248997347
combined_s1.0,recommended_exceedance_degc_h,lower,12,1.1623260777563853e-06,-5.4080196476569126e-08,3.285699808230902e-06,-6.348586154558686e-07,-4.2234832757041347e-07,0.1513671875,,,,,
combined_s1.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
combined_s1.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
combined_s1.0,p95_t_inlet_c,lower,12,0.18948188407877029,0.11646787605710103,0.2575513292583971,-0.005627740252101887,3.3291374659683015e-05,0.00146484375,,,,,
combined_s1.0,p99_t_inlet_c,lower,12,0.13027383378684387,0.07312356691895837,0.18580992877912272,1.1129337451620813e-08,5.2995511385489635e-05,0.00048828125,,,,,
combined_s1.0,max_t_inlet_c,lower,12,2.866192503780951e-06,-1.2097323646524197e-07,7.856712662472152e-06,-7.489116242709315e-07,-5.620785010762575e-07,0.30126953125,,,,,
combined_s1.0,min_allowable_headroom_c,higher,12,2.8661925042250402e-06,-1.2516553389296804e-07,7.825700584681196e-06,-7.489116242709315e-07,-5.620785022604954e-07,0.30126953125,,,,,
combined_s1.0,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
combined_s1.0,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
combined_s1.0,temporal_rci_hi_pct,higher,12,1.383721522548361e-07,-6.222346460305061e-09,3.895235035263514e-07,-7.557839865057758e-08,-5.027956243945179e-08,0.1513671875,,,,,
noise_s1.0,common_cost,lower,12,-0.6144083624955871,-1.7992986529739343,0.17639465496734535,-5.363755331360721,-2.6687605398598513,0.2333984375,-0.36986538909164235,-0.8973999731352161,0.04296831617795972,-2.4180722656773694,-1.4612029536301434
noise_s1.0,e_grid_mwh,lower,12,-1.2133221276218837,-3.730168532213069,0.8227959318327347,-11.65711580753782,-6.019332706797741,0.33935546875,-0.2232004219613956,-0.6334159120979816,0.11114633704795035,-1.7383643074119406,-1.1173224396998402
noise_s1.0,co2_kg,lower,12,-770.8536783039705,-2383.3681679457295,470.93403846838225,-7023.178618506761,-4121.901988191967,0.26611328125,-0.5086164141263023,-1.045971388825677,0.025946473949459262,-2.295492919770445,-1.8961159958555982
noise_s1.0,e_total_mwh,lower,12,-2.2917364039166537,-5.664114810747019,0.2162547864473885,-15.180805107251444,-8.537486280043444,0.17626953125,-0.1333579458309275,-0.32275552914322475,0.012014387479050028,-0.8291399266337114,-0.48282331435668646
noise_s1.0,recommended_exceedance_degc_h,lower,12,-1.0381117299118581e-08,-4.450271089343851e-07,2.9218164302828126e-07,-1.6002778124857282e-06,-6.316452404083367e-07,0.90966796875,,,,,
noise_s1.0,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
noise_s1.0,recommended_compliance_pct,higher,12,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
noise_s1.0,p95_t_inlet_c,lower,12,0.054780243752762615,-0.019225606772112158,0.10793646098223399,-0.21347682698510084,-0.06630748483235512,0.04248046875,,,,,
noise_s1.0,p99_t_inlet_c,lower,12,0.07028068445680447,0.01139106088209876,0.12049211093831579,-0.1088525563365117,-0.03629214349156129,0.02099609375,,,,,
