country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
NOR,nominal_causal_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-177.32203760770568,1433.4593221248292,1595.2965320343478,1576.837910895776,284.83870564995016,12.912340169034795,143.37858877094686,0.0,0.0,0.0,0.0,1.2506759560437786e-05,0.0,0.0,0.0,0.0,0.0,2.3978565260767937,100.0,0.0,1.2506759560437786e-05,0.0,0.0,26.861239906742743,27.000000066079867,27.00000038439161,27.000009453131955,4.999990546868045,99.99999851110005,0.009515303653657017,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,nominal_causal_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-198.376772620023,1608.25022946434,3142.941797173957,1761.0375895590605,413.0318738735425,19.673709341253428,152.78736009472036,0.0,0.0,0.0,1.0,0.019195112999423003,0.0,0.0,0.0,0.0,0.0,1.37975512444973,99.40476190476191,1.0,0.019195112999423003,0.0,0.0,26.916872795238504,27.000000214272475,27.00000047261431,27.01918865793092,4.980811342069082,99.99771486750006,0.005475218651727552,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,nominal_causal_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-207.68174925228422,1693.1309345953923,1549.829228460316,1832.152007360443,476.2901429616922,26.028740487873772,139.02107276505077,0.0,0.0,0.0,4.0,0.5927487424550115,0.0,0.0,0.0,0.0,0.0,1.0606113970279694,97.61904761904762,4.0,0.5927487424550115,0.0,0.0,26.946651537699374,27.000000229010354,27.0859866246125,27.371122360465012,4.628877639534988,99.92943467351726,0.004208775336987206,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,nominal_causal_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-147.297720449069,1114.796979281471,199.91634653002998,1665.83594392146,365.2568364556412,16.13802158036207,551.038964639989,128.41853538660257,0.00010000000073455027,0.0,0.0,4.590157853812116e-06,0.0,0.0,0.0,0.0,0.0,1.5691318772733212,100.0,0.0,4.590157853812116e-06,0.0,0.0,26.92518336378732,27.000000103794143,27.000000350111325,27.000000523512508,4.999999476487492,99.99999945355263,0.0062267137286003815,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,static_robust_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-176.19030581909894,1431.5975890824373,1500.4557432816928,1574.976177853384,285.44984437796853,10.439468398584001,143.37858877094686,0.0,0.0,0.0,0.0,1.1728650761710924e-06,0.0,0.0,0.0,0.0,0.0,0.5215714871883392,100.0,0.0,1.1728650761710924e-06,0.0,0.0,26.79612744309106,27.000000036570775,27.00000011538834,27.00000018009567,4.999999819904328,99.99999986037321,0.0020697280595500375,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,static_robust_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-198.76242536007737,1610.8664982058522,3317.4895047375016,1763.6538583005727,414.2933560052413,21.02849595106648,152.78736009472036,0.0,0.0,0.0,0.0,2.0673186682529376e-06,0.0,0.0,0.0,0.0,0.0,0.885593831539154,100.0,0.0,2.0673186682529376e-06,0.0,0.0,26.7709644848222,27.00000007049558,27.000000126063963,27.000000688051383,4.999999311948617,99.99999975389063,0.003514261159580201,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,static_robust_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-213.20933663638777,1698.9169576030642,1582.7059549558655,1837.938030368115,479.9209980741622,28.183908383075874,139.02107276505077,0.0,0.0,0.0,0.0,2.0600416092975138e-06,0.0,0.0,0.0,0.0,0.0,1.645359680056572,100.0,0.0,2.0600416092975138e-06,0.0,0.0,26.7520412319695,27.00000005961073,27.000000379411894,27.000000407240403,4.999999592759597,99.99999975475696,0.006529205006137047,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,static_robust_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-143.39404082343003,1089.3444753606811,192.69003847550525,1673.0444827862502,370.9941817908431,17.60911210994975,583.7000074255693,95.7574926010223,0.0,0.0,0.0,8.388486595123368e-06,0.0,0.0,0.0,0.0,0.0,0.7603298723697662,100.0,0.0,8.388486595123368e-06,0.0,0.0,26.52218507497733,27.0000000423231,27.000000150290642,27.00000747442293,4.9999925255770705,99.99999900137064,0.003017181974081766,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,eact_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-178.27515736640194,1437.8916682428296,1528.8329596600083,1581.2702570137765,289.13407457265123,13.04931736429389,143.37858877094686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7122898101806641,100.0,0.0,0.0,0.0,0.0,26.342074314703115,26.98745604982274,26.999999964802768,26.999999998901398,5.000000001098602,100.0,0.0028265468038929007,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,eact_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-199.64988272828032,1619.1482210662077,3334.7392195168322,1771.9355811609282,420.606122088838,22.997452727825724,152.78736009472036,0.0,0.0,0.0,0.0,1.214086786660573e-07,0.0,0.0,0.0,0.0,0.0,0.7001361697912216,100.0,0.0,1.214086786660573e-07,0.0,0.0,26.39184703005402,26.999999959063377,27.00000003008625,27.000000037293617,4.999999962706383,99.99999998554658,0.0027783180883575584,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
NOR,eact_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-209.22117139953116,1707.474990245285,1577.8309665166335,1846.4960630103355,486.2642819945397,30.398657104919145,139.02107276505077,0.0,0.0,0.0,0.0,8.387618386507256e-07,0.0,0.0,0.0,0.0,0.0,0.6702997982501984,100.0,0.0,8.387618386507256e-07,0.0,0.0,26.412572077271967,27.000000011031375,27.000000142845185,27.0000001436474,4.9999998563525985,99.9999999001474,0.0026599197815466184,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.5,1.25,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
