country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
JPN,nominal_causal_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-225.76040570884064,732.3090320119538,288874.4770886656,1614.7238284710538,324.35802626043295,11.278937133789661,882.4147964591003,348.52488306063333,0.0,0.0,0.0,6.799889249009539e-06,0.0,0.0,0.0,0.0,0.0,7.350319646298885,100.0,0.0,6.799889249009539e-06,0.0,0.0,26.724523146623536,27.000000146347926,27.00000055124411,27.00000217863013,4.99999782136987,99.99999919048938,0.029167935269513345,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,nominal_causal_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-363.0475820193019,1177.5088611308602,517660.4208159151,1802.207427461893,457.25808796819956,16.617333149429285,624.6985663310331,198.25211404254975,0.0,0.0,0.0,3.8442060489529695e-05,0.0,0.0,0.0,0.0,0.0,3.8491751244291663,100.0,0.0,3.8442060489529695e-05,0.0,0.0,26.847711051402182,27.000000196698775,27.000001425693057,27.00002966246537,4.999970337534631,99.99999542356423,0.01527450435484449,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,nominal_causal_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-343.8445555302832,1094.1189564913889,486057.64891099813,1919.1559277302927,565.3957348785667,23.927068940849164,825.0369712389039,192.8847960217849,0.0,0.0,0.0,8.801844376904455e-06,0.0,0.0,0.0,0.0,0.0,8.09031418338418,100.0,0.0,8.801844376904455e-06,0.0,0.0,26.8974645525734,27.00000012711209,27.000000940317793,27.000002578517662,4.9999974214823375,99.99999895216138,0.03210442125823136,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,nominal_causal_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-429.6415684696867,1396.6903846152547,626976.585342617,1801.0379002555524,497.58252994471303,19.014284425368547,404.34751564029773,55.21642309756461,9.999998722020888e-05,0.0,3.0,0.8600923927299959,0.0,0.0,0.0,0.0,0.0,4.9336142828688025,98.21428571428571,3.0,0.8600923927299959,0.0,0.0,26.844875552847,27.000000603745086,27.158154857001474,27.435693270712395,4.564306729287605,99.89760804848451,0.019577834461834125,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,static_robust_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-214.07679297512684,691.3180898774067,277155.7627378038,1627.2363474323192,336.8798741168406,11.269608238647171,935.9182575549125,295.021421964821,0.0,0.0,0.0,1.6335065780026525e-06,0.0,0.0,0.0,0.0,0.0,8.998749375343323,100.0,0.0,1.6335065780026525e-06,0.0,0.0,25.736102838343555,27.00000006020932,27.000000268453764,27.00000033059676,4.999999669403241,99.99999980553494,0.035709322818244495,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,static_robust_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-359.39016218616536,1152.0210601606211,507149.72149033163,1815.8952296223847,469.4766344165598,18.0865888615605,663.8741694617636,159.07651091181924,0.0,0.0,1.0,0.30149742168454097,0.0,0.0,0.0,0.0,0.0,6.644376933807507,99.40476190476191,1.0,0.30149742168454097,0.0,0.0,26.33938870604157,27.000000014240925,27.000000152873536,27.30149680715404,4.698503192845958,99.96410744979946,0.02636657504430453,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,static_robust_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-352.92827064426234,1108.7770868205903,490631.55780567,1958.733234651133,596.7512003769627,32.14891036329331,849.9561478305425,167.96561943014618,0.0,0.0,0.0,1.1087456464053957e-06,0.0,0.0,0.0,0.0,0.0,12.22599850781262,100.0,0.0,1.1087456464053957e-06,0.0,0.0,25.98748027457231,27.00000003075443,27.000000132666866,27.0000003979126,4.999999602087399,99.99999986800647,0.04851586697484544,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,static_robust_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-429.6723004020109,1400.8730406644459,630179.0822624185,1814.2716139932813,508.72807715110315,21.102347956720568,413.3985733288355,46.16536540902679,0.0,0.0,0.0,2.353219162642972e-06,0.0,0.0,0.0,0.0,0.0,5.495756160467863,100.0,0.0,2.353219162642972e-06,0.0,0.0,26.405369321528724,27.000000053178628,27.00000023162598,27.000000785712544,4.999999214287456,99.99999971985486,0.021808556040345668,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,eact_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-215.61254703238464,697.6889735214558,279827.05676549405,1630.8321675374395,338.90182260466804,12.843479855940062,933.1431940159839,297.79648550374986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801327392458916,100.0,0.0,0.0,0.0,0.0,25.50642138645289,26.7857496502772,26.870680255109193,26.91397696439295,5.086023035607049,100.0,0.01905288638330863,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
JPN,eact_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-367.3640662726832,1191.7199180276784,526671.6424154495,1818.4101271882028,469.7107133573351,20.367407486603053,626.6902091605243,196.26047121305854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196625115349889,100.0,0.0,0.0,0.0,0.0,26.132464949977,26.911658529534247,26.982836026372922,26.999999987651076,5.000000012348924,100.0,0.012685020332269016,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
