country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
JPN,nominal_causal_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-217.02482507107385,688.8918744825843,276720.24120591424,1628.0503569854127,336.04372814665896,12.919764085604434,939.1584825028285,291.78119701690514,3.142544371031003e-07,0.0,0.0,1.1415735308162311e-06,0.0,0.0,0.0,0.0,0.0,8.560451824218035,100.0,0.0,1.1415735308162311e-06,0.0,0.0,25.812503903545814,27.000000026967463,27.000000142554736,27.000000365228278,4.999999634771722,99.99999986409838,0.0339700469689671,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-351.58779414853575,1137.7380538575208,501214.82810952945,1824.440255300886,477.4460024865675,18.662246470054043,686.7022014433653,136.24847893021763,0.0,0.0,0.0,2.842841521299988e-06,0.0,0.0,0.0,0.0,0.0,7.88118346594274,100.0,0.0,2.842841521299988e-06,0.0,0.0,25.957274297391862,27.000000075689353,27.00000039619505,27.000000514731735,4.999999485268265,99.99999966156649,0.03127453735353248,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-343.39221906104854,1092.2798296797305,482181.8558230445,1947.0039908181134,589.9550737129346,27.21579319430215,854.7241611383834,163.19760612230547,0.0,0.0,0.0,2.032543672925158e-06,0.0,0.0,0.0,0.0,0.0,4.702605959028006,100.0,0.0,2.032543672925158e-06,0.0,0.0,26.148389150011926,27.00000005866341,27.000000241177133,27.000000344235023,4.999999655764977,99.99999975803051,0.018661134699031766,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,nominal_causal_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-427.77224154190003,1390.673675313167,624350.20489545,1810.4626039828502,506.0793560284912,19.94205906890134,419.7889286696832,39.775010068179114,0.0,0.0,0.0,6.550689575490765e-05,0.0,0.0,0.0,0.0,0.0,4.793958630412817,100.0,0.0,6.550689575490765e-05,0.0,0.0,26.533733674360395,27.0000001697597,27.00000056221896,27.00006111458938,4.9999388854106215,99.99999220156003,0.019023645164755482,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,static_robust_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-214.83014520188806,695.8860773223264,279144.0072718031,1630.8942195985055,339.3626960603789,12.444658461295276,935.0081422761792,295.9315372435544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.506234258413315,100.0,0.0,0.0,0.0,0.0,25.481825320696252,26.937930613166785,26.997104715648963,26.999999995179206,5.000000004820794,100.0,0.021850135900811956,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,static_robust_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-354.2209797228954,1148.7851797116464,506091.8955668312,1813.853942738227,466.5321972377744,18.98973915618817,665.0687630265805,157.88191734700234,0.0,0.0,0.0,6.787009709796621e-08,0.0,0.0,0.0,0.0,0.0,1.4421061985194683,100.0,0.0,6.787009709796621e-08,0.0,0.0,26.227139234602276,26.947025590695777,26.999806766834364,27.000000067870097,4.999999932129903,99.99999999192023,0.005722643573790265,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,static_robust_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-344.45166455798164,1097.9099556483802,488194.53918182326,1936.3552596158415,577.9766100756916,28.545525629273005,838.4453039674613,179.47646329322743,0.0,0.0,0.0,7.72291741668596e-09,0.0,0.0,0.0,0.0,0.0,1.735848717391491,100.0,0.0,7.72291741668596e-09,0.0,0.0,26.37326964225905,26.946535135695584,26.997227585644744,27.000000007722917,4.999999992277083,99.9999999990806,0.006888288477923544,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,static_robust_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-430.7472396521189,1404.3040539100841,632073.0291560505,1809.5954417970192,503.3014398884641,21.852813023097728,405.2913878869352,54.272550850927125,0.0,0.0,0.0,7.45208694752364e-08,0.0,0.0,0.0,0.0,0.0,2.30544844456017,100.0,0.0,7.45208694752364e-08,0.0,0.0,26.448767108719874,26.946765472101468,26.99980207799586,27.00000007452087,4.9999999254791305,99.99999999112846,0.009148604875441552,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,eact_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-215.23681958183067,696.9201653348912,279471.9737428117,1634.2832444390856,341.240465381741,13.955913980513436,937.3630791041946,293.57660041553896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.557491034269333,100.0,0.0,0.0,0.0,0.0,25.32143702881811,26.783251381074322,26.86973024133562,26.920602176990457,5.079397823009543,100.0,0.022053535697826494,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
JPN,eact_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-354.439698458165,1148.2432427887647,505885.94287069107,1826.3779497309538,475.84826265730624,22.197680729382945,678.134706942189,144.81597343139393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1812163814902306,100.0,0.0,0.0,0.0,0.0,25.8322255495022,26.79208125715451,26.878386484285173,26.99999997939929,5.000000020600709,100.0,0.012623874427253398,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
