country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
NOR,nominal_causal_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-173.65963967690655,1409.3103953406571,1463.1160044621822,1552.688984111604,268.1705831841169,5.431535850655573,143.37858877094686,0.0,0.0,0.0,0.0,1.930351061218971e-06,0.0,0.0,0.0,0.0,0.0,1.5936047192662954,100.0,0.0,1.930351061218971e-06,0.0,0.0,26.837079102597542,27.00000005714631,27.000000152179638,27.00000043244342,4.9999995675565785,99.9999997701963,0.006323828156815753,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-193.70350494039712,1569.909467652978,3145.521009965828,1722.6968277476983,382.97212850791146,11.392692895522341,152.78736009472036,0.0,0.0,0.0,0.0,1.998491043764261e-06,0.0,0.0,0.0,0.0,0.0,1.1351605392992496,100.0,0.0,1.998491043764261e-06,0.0,0.0,26.798386001683543,27.00000009107837,27.000000153045367,27.000000213505963,4.999999786494037,99.9999997620844,0.004504605240765072,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-203.9406366457651,1645.0342268346928,1477.3840506085792,1784.0552995997436,439.08460632577567,15.13756936309106,139.02107276505077,0.0,0.0,0.0,0.0,1.130823552486504e-05,0.0,0.0,0.0,0.0,0.0,2.52083982527256,100.0,0.0,1.130823552486504e-05,0.0,0.0,26.82797986130167,27.000000101467943,27.000000541659542,27.00000806515426,4.999991934845738,99.99999865378149,0.01000333254064788,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,nominal_causal_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-139.84414254756734,1063.791285544239,189.09947946368072,1641.8537184028696,348.3976665943684,9.014862923043566,578.0624328586306,101.39506716796102,0.0,0.0,0.0,2.5195747141992797e-06,0.0,0.0,0.0,0.0,0.0,2.920821327716112,100.0,0.0,2.5195747141992797e-06,0.0,0.0,26.3558526943973,27.000000085425413,27.00000028661004,27.000000334545817,4.999999665454183,99.99999970005064,0.011590560766062626,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-173.3518510562257,1411.6746013257155,1517.947445659433,1555.0531900966625,270.0122167355605,5.954108284270532,143.37858877094686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7397433556616306,100.0,0.0,0.0,0.0,0.0,26.521962987098533,26.947402458924795,26.99969028439138,26.99999999663415,5.000000003365852,100.0,0.002935489445614318,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-193.40014647917093,1572.1095004784395,3046.9685876771673,1724.8968605731598,384.31705453530117,12.247799693594162,152.78736009472036,0.0,0.0,0.0,0.0,4.5814772420271765e-08,0.0,0.0,0.0,0.0,0.0,0.7400393132120371,100.0,0.0,4.5814772420271765e-08,0.0,0.0,26.55092296338335,26.94739663863518,26.999810384184787,27.000000045814772,4.999999954185228,99.99999999454586,0.0029366638821860156,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-201.61643073185422,1647.9761953883863,1509.1698572459084,1786.9972681534368,440.9392402723971,16.22490397016285,139.02107276505077,0.0,0.0,0.0,0.0,1.606743182946957e-08,0.0,0.0,0.0,0.0,0.0,0.7403905168175697,100.0,0.0,1.606743182946957e-08,0.0,0.0,26.563249921373014,26.94726878958834,26.999838691369643,27.000000016067432,4.999999983932568,99.9999999980872,0.002938057545439473,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,static_robust_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-140.33100452201776,1068.5368699478681,189.65926256253675,1644.5050482921579,349.14405046014144,10.919808946558643,575.9681783442895,103.48932168230213,0.0,0.0,0.0,2.374067520349854e-08,0.0,0.0,0.0,0.0,0.0,1.6794371604919434,100.0,0.0,2.374067520349854e-08,0.0,0.0,26.15930068891741,26.947481826213,26.999808872732974,27.000000023522915,4.999999976477085,99.99999999717373,0.006664433114651945,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,eact_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-173.58611551137858,1413.572513666773,1521.0031007423916,1556.95110243772,271.58726243544965,6.276974925438847,143.37858877094686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412351705133915,100.0,0.0,0.0,0.0,0.0,26.358834812367746,26.774413277110057,26.865555548996195,26.99999999406632,5.000000005933678,100.0,0.002941409344895787,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
NOR,eact_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-193.79022372650968,1575.2847415602714,3059.6913593512922,1728.072101654992,386.72200592472234,13.018089386005158,152.78736009472036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285916963592172,100.0,0.0,0.0,0.0,0.0,26.398848576790208,26.786419454366616,26.87333978579311,26.999999990515672,5.000000009484328,100.0,0.0028912368302588306,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,0.75,1.875,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,none,0.0,0,20260717
