country,algorithm,episode,reset_seed,start_hour,start_timestamp,week,start_step,n_hours,reward,e_grid_mwh,co2_kg,e_total_mwh,e_cooling_mwh,e_pump_mwh,e_wind_used_mwh,e_wind_unused_mwh,sla_violation_mwh,safety_intervention,recommended_exceedance_event,recommended_exceedance_c,allowable_exceedance_event,allowable_exceedance_c,safety_infeasible,workload_intervention,thermal_safety_override,rate_limit_override,recommended_compliance_pct,recommended_exceedance_hours,recommended_exceedance_degc_h,allowable_exceedance_hours,allowable_exceedance_degc_h,mean_t_inlet_c,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,min_allowable_headroom_c,temporal_rci_hi_pct,mean_action_override,final_backlog_mwh,mpc_horizon,confidence,constraint_tolerance,intervention_weight,weight_grid,weight_co2,weight_total,weight_smooth,adaptive_beta_floor,thermal_safety_shield,cooling_conductance_nominal_mw_per_k,cooling_conductance_multiplier,cooling_conductance_effective_mw_per_k,thermal_metric_schema,thermal_state_semantics,t_inlet_recommended_min_c,t_inlet_recommended_max_c,t_inlet_allowable_min_c,t_inlet_allowable_max_c,forecast_stress,forecast_stress_scale,forecast_stress_start_step,forecast_stress_seed
CHN,nominal_causal_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-165.33672901362704,474.1376020228443,199334.50580625166,1606.6868987563516,319.45944894591867,8.14068637394574,1132.5492967335072,193.22682017984192,9.867994590195828e-05,0.0,0.0,7.000939714174592e-06,0.0,0.0,0.0,0.0,0.0,10.028567662462592,100.0,0.0,7.000939714174592e-06,0.0,0.0,26.605820461479816,27.000000225561593,27.00000065257245,27.000001643571004,4.999998356428996,99.9999991665548,0.039795903256163,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,nominal_causal_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-200.7512166823677,625.441323394024,237558.45966381519,1857.9784367555303,514.0509498102361,15.595480601029589,1232.5371133615063,73.99549277642902,0.0,0.0,2.0,0.19340031122811752,0.0,0.0,0.0,0.0,0.0,12.777675092220306,98.80952380952381,2.0,0.19340031122811752,0.0,0.0,26.71938849414372,27.000000211734953,27.010314217128904,27.16214139479753,4.83785860520247,99.97697615342523,0.05070505998446606,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,nominal_causal_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-274.4939795929023,860.722286742144,368143.90110287804,1974.4847712866622,623.2305814639551,21.421065911830155,1113.7624845445182,50.16740055855247,0.0,0.0,0.0,2.2011783642028604e-05,0.0,0.0,0.0,0.0,0.0,6.623452067375183,100.0,0.0,2.2011783642028604e-05,0.0,0.0,26.90593491697022,27.00000018500867,27.00000301666985,27.000010339374295,4.999989660625705,99.99999737954957,0.026283539873215238,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,nominal_causal_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-416.2868952515872,1345.0937911160097,607786.733045903,1860.331030716849,559.6406370467473,16.249204784644167,515.2372396008394,40.633593626877094,0.0,0.0,0.0,1.791028441644471e-05,0.0,0.0,0.0,0.0,0.0,8.079611822962761,100.0,0.0,1.791028441644471e-05,0.0,0.0,26.900147001180812,27.00000020905045,27.000000478109584,27.00001186364087,4.9999881363591285,99.99999786782328,0.032061951647471956,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,static_robust_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-159.6750673803404,464.5086915583555,192228.3900934328,1607.643913773446,319.536101276969,9.020947419645479,1143.1352222150904,182.64089469825868,0.0,0.0,0.0,6.134102505939154e-07,0.0,0.0,0.0,0.0,0.0,11.163078194484115,100.0,0.0,6.134102505939154e-07,0.0,0.0,26.31920972334499,27.000000016555813,27.00000006335755,27.000000167266688,4.999999832733312,99.99999992697497,0.04429792927204823,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,static_robust_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-211.5512492627064,670.0893835352772,257470.67700203406,1884.077291646799,539.1178195053798,16.62746579715484,1213.9879081115218,92.54469802641339,0.0,0.0,0.0,4.1219365627398474e-06,0.0,0.0,0.0,0.0,0.0,17.889567902311683,100.0,0.0,4.1219365627398474e-06,0.0,0.0,25.945817584299807,27.00000002875039,27.000000221063303,27.00000320267738,4.99999679732262,99.99999950929327,0.07099034898454279,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,static_robust_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-273.16611942505335,859.262743682476,367521.7368466644,1977.517061490446,625.4182201053054,22.265717474263447,1118.2543178079698,45.67556729510089,0.0,0.0,0.0,2.189861682211358e-06,0.0,0.0,0.0,0.0,0.0,2.828025244176388,100.0,0.0,2.189861682211358e-06,0.0,0.0,26.793920950851778,27.00000006837214,27.000000246267206,27.0000003033522,4.9999996966478015,99.99999973930218,0.011222322409074488,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,static_robust_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-416.8201161462837,1346.2522559741144,607969.5875268943,1869.8617661137332,568.4966722353035,16.923904992972208,523.6095101396189,32.26132308809762,0.0,0.0,0.0,2.8189480403284506e-06,0.0,0.0,0.0,0.0,0.0,6.403574842959642,100.0,0.0,2.8189480403284506e-06,0.0,0.0,26.652996154811202,27.00000009511471,27.00000023553198,27.000000468686906,4.999999531313094,99.99999966441095,0.0254110113296303,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,eact_mpc,0,5000,1843,2025-03-18T19:00:00,0,0,168,-152.3396833899339,436.7126107130124,183054.167112977,1623.5306260303903,333.14843485397313,11.295326099583203,1186.818015317378,138.9581015959711,0.0,0.0,0.0,2.9875582718830174e-06,0.0,0.0,0.0,0.0,0.0,15.15595000050962,100.0,0.0,2.9875582718830174e-06,0.0,0.0,25.30414101969023,26.806073498439517,26.999999997478504,27.000002987558272,4.999997012441728,99.9999996443383,0.0601426588153637,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,eact_mpc,1,5001,3859,2025-06-10T19:00:00,0,0,168,-213.84637670723103,683.5396929266424,264488.76929788286,1869.620536684761,521.4530697865848,19.835460553910348,1186.0808437581186,120.45176237981657,0.0,0.0,0.0,4.790720176117702e-07,0.0,0.0,0.0,0.0,0.0,6.544794037938118,100.0,0.0,4.790720176117702e-07,0.0,0.0,26.15141045640658,27.000000032530007,27.00000005222883,27.000000058962634,4.999999941037366,99.99999994296762,0.025971404838076393,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,eact_mpc,2,5002,4531,2025-07-08T19:00:00,0,0,168,-277.02799068949304,872.3938860718457,373195.49385796255,1991.1488947420844,635.0663274865822,26.249443344625206,1118.7550086702386,45.17487643283208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.394791405647993,100.0,0.0,0.0,0.0,0.0,26.509430278671722,26.83103682553806,26.903748804040497,26.99999690643671,5.00000309356329,100.0,0.009503140471809144,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
CHN,eact_mpc,3,5003,6552,2025-10-01T00:00:00,0,0,168,-419.27771735765,1355.767584547134,612235.4312533226,1879.5309824233782,572.9275984966015,22.162195041318967,523.763397876244,32.107435351472546,0.0,0.0,0.0,3.561228467674482e-08,0.0,0.0,0.0,0.0,0.0,4.163745369762182,100.0,0.0,3.561228467674482e-08,0.0,0.0,26.394746378636103,26.81281051080489,26.908671272945224,27.000000035612285,4.999999964387715,99.99999999576045,0.016522798953311785,0.0,24,0.9,0.0001,0.0,1.0,2.0,0.2,0.5,0.1,False,2.5,1.0,2.5,ashrae_a1_inlet_v1,representative_lumped_it_equipment_inlet_air_temperature_proxy,18.0,27.0,15.0,32.0,adverse_bias,1.0,0,20260717
