condition,algorithm,metric,favorable_direction,comparison,n_pairs,mean_degradation,ci95_low,ci95_high,wilcoxon_p_value
adverse_bias_s1.0,eact_mpc,recommended_exceedance_degc_h,lower,availability_0.50_minus_1.00,12,0.12499983499560556,-4.16029444079887e-06,0.5000038051135839,0.6220703125
adverse_bias_s1.0,eact_mpc,recommended_exceedance_hours,lower,availability_0.50_minus_1.00,12,0.5833333333333334,0.0,2.3333333333333335,1.0
adverse_bias_s1.0,eact_mpc,recommended_compliance_pct,higher,availability_0.50_minus_1.00,12,0.34722222222222143,0.0,1.3888888888888857,1.0
adverse_bias_s1.0,eact_mpc,p95_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.0460522185338809,0.001703748295150387,0.09387111696254927,0.423828125
adverse_bias_s1.0,eact_mpc,p99_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.04900966153374142,0.008295272904507357,0.11209258390641856,0.26611328125
adverse_bias_s1.0,eact_mpc,max_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.02355927193548683,-0.0060951436795561404,0.10033583601825373,0.67724609375
adverse_bias_s1.0,nominal_causal_mpc,recommended_exceedance_degc_h,lower,availability_0.50_minus_1.00,12,17.18558988058569,0.1545605630686291,45.9670364825135,0.00244140625
adverse_bias_s1.0,nominal_causal_mpc,recommended_exceedance_hours,lower,availability_0.50_minus_1.00,12,15.25,1.0833333333333333,36.916666666666664,0.00390625
adverse_bias_s1.0,nominal_causal_mpc,recommended_compliance_pct,higher,availability_0.50_minus_1.00,12,9.07738095238095,0.6448412698412653,21.924603174603174,0.00390625
adverse_bias_s1.0,nominal_causal_mpc,p95_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.5068166683998951,-6.451720313549458e-08,1.3460630822608237,0.17626953125
adverse_bias_s1.0,nominal_causal_mpc,p99_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.6507457932804837,0.021496020295635354,1.5594106908580276,0.00927734375
adverse_bias_s1.0,nominal_causal_mpc,max_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.7748387791696661,0.09916170151269436,1.634325792401591,0.00244140625
adverse_bias_s1.0,static_robust_mpc,recommended_exceedance_degc_h,lower,availability_0.50_minus_1.00,12,1.5151332428788071,1.4313699849092625e-06,3.803043000600383,0.09228515625
adverse_bias_s1.0,static_robust_mpc,recommended_exceedance_hours,lower,availability_0.50_minus_1.00,12,3.75,0.0,8.25,0.0625
adverse_bias_s1.0,static_robust_mpc,recommended_compliance_pct,higher,availability_0.50_minus_1.00,12,2.2321428571428577,0.0,4.910714285714286,0.0625
adverse_bias_s1.0,static_robust_mpc,p95_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.0839649826885586,-9.666043965239624e-09,0.2195619547018507,0.2333984375
adverse_bias_s1.0,static_robust_mpc,p99_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.1569672686927411,1.1091055185374898e-08,0.3789121279265167,0.0771484375
adverse_bias_s1.0,static_robust_mpc,max_t_inlet_c,lower,availability_0.50_minus_1.00,12,0.2222647827392663,1.8173598220390848e-06,0.4734483367505102,0.05224609375
none_s0.0,eact_mpc,recommended_exceedance_degc_h,lower,availability_0.50_minus_1.00,12,0.13377063583366708,-2.4445671074069255e-07,0.5350828706760424,0.546875
