condition,availability,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,worst_case_improvement,worst_20pct_mean_improvement,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct,worst_case_relative_improvement_pct,worst_20pct_mean_relative_improvement_pct
adverse_bias_s1.0,0.5,common_cost,lower,12,-4.3446984655439165,-13.03122660186927,1.4175351531283813,-25.38028855999727,-17.01452431791434,0.20361328125,-1.1513024592750827,-3.632343653241953,0.7227480596959368,-7.396224784581332,-4.552913181425003
adverse_bias_s1.0,0.5,e_grid_mwh,lower,12,-20.48328782015344,-51.256672518362876,0.4451225549061175,-91.99303006842183,-64.47545391663932,0.02099609375,-1.652137102601183,-4.523711589642615,0.6844368589848887,-8.557865032972177,-5.442961656149416
adverse_bias_s1.0,0.5,co2_kg,lower,12,-8815.305979519515,-23526.80902623206,245.44866867759507,-43978.92406147305,-30594.952867013537,0.0341796875,-2.854886248506859,-5.646584601673978,-0.3303626575557394,-11.011530034301597,-8.149733029378064
adverse_bias_s1.0,0.5,e_total_mwh,lower,12,-11.013182761124028,-15.756277550741325,-6.7759090966374815,-23.81151228756221,-19.86119329228548,0.00048828125,-0.5882930855247122,-0.8179790715829474,-0.38944710475955685,-1.1872823477699415,-1.0173431854998372
adverse_bias_s1.0,0.5,e_cooling_mwh,lower,12,-8.320097818582227,-12.155364560438661,-4.785604090800726,-19.11721965340257,-16.315829169424887,0.00048828125,-1.585824394236716,-2.0923880047845644,-1.204778657229491,-3.0325325514289325,-2.5876646705190525
adverse_bias_s1.0,0.5,e_pump_mwh,lower,12,-2.6930849425413883,-4.622801769896648,-0.8916738361506834,-6.568650373222148,-5.958867999555245,0.01220703125,-8.960458005439449,-17.10128359887596,0.7166505940933448,-31.268142399129506,-24.117502497981977
adverse_bias_s1.0,0.5,recommended_exceedance_degc_h,lower,12,1.3901382185918185,3.7069130680578155e-06,3.642594341471392,3.4570818030488226e-07,9.132843423742543e-07,0.00048828125,,,,,
adverse_bias_s1.0,0.5,recommended_exceedance_hours,lower,12,3.1666666666666665,0.0,7.416666666666667,0.0,0.0,0.0625,,,,,
adverse_bias_s1.0,0.5,recommended_compliance_pct,higher,12,1.8849206349206362,0.0,4.464285714285712,0.0,0.0,0.0625,,,,,
adverse_bias_s1.0,0.5,p95_t_inlet_c,lower,12,0.1204374665207449,0.004153560003460174,0.2642683278102699,4.857935920199452e-08,0.00012038756556146761,0.00048828125,,,,,
