condition,availability,algorithm,n_candidate_plans,n_accepted_plans,n_rejected_plans,accepted_plan_rate,solver_success_rate,shifted_plan_fallbacks,safe_recovery_fallbacks,rule_based_fallbacks,accepted_min_constraint,solve_time_mean_s,solve_time_p95_s
adverse_bias_s1.0,0.5,eact_mpc,2016,1932,84,0.9583333333333334,0.9156746031746031,84,0,0,-9.971372915629216e-05,0.5186227478685425,1.2708829250186682
adverse_bias_s1.0,0.5,nominal_causal_mpc,2016,1828,188,0.9067460317460317,0.8432539682539683,177,11,0,-9.686271442888028e-05,0.7121637284236342,1.9259262750274502
adverse_bias_s1.0,0.5,static_robust_mpc,2016,1939,77,0.9618055555555556,0.878968253968254,73,4,0,-9.204882767477328e-05,0.5521507681532678,1.3978518249932677
adverse_bias_s1.0,0.75,eact_mpc,2016,1976,40,0.9801587301587301,0.941468253968254,40,0,0,-8.778986513391374e-05,0.5962672731168693,1.3540895250625908
adverse_bias_s1.0,0.75,nominal_causal_mpc,2016,1993,23,0.9885912698412699,0.9067460317460317,22,1,0,-8.774489118223983e-05,0.6224398930051913,1.6393701750203036
adverse_bias_s1.0,0.75,static_robust_mpc,2016,2004,12,0.9940476190476191,0.8983134920634921,12,0,0,-9.669747765528314e-05,0.6817745445432448,1.8633361749816684
adverse_bias_s1.0,1.0,eact_mpc,2016,1996,20,0.9900793650793651,0.9330357142857143,20,0,0,-8.674300267941248e-05,0.5879103630947596,1.5284733749576844
adverse_bias_s1.0,1.0,nominal_causal_mpc,2016,2013,3,0.9985119047619048,0.9226190476190477,3,0,0,-8.963026661135132e-05,0.5498881814984045,1.5178067499946337
adverse_bias_s1.0,1.0,static_robust_mpc,2016,2013,3,0.9985119047619048,0.9072420634920635,3,0,0,-8.184157148249938e-05,0.5935193208809771,1.7239730500150472
none_s0.0,0.5,eact_mpc,2016,1981,35,0.9826388888888888,0.9434523809523809,35,0,0,-9.389243728818995e-05,0.5847563600668403,1.3913656499935314
none_s0.0,0.5,nominal_causal_mpc,2016,1964,52,0.9742063492063492,0.8988095238095238,45,7,0,-8.44568681717007e-05,0.6209593930569042,1.5496111999382265
none_s0.0,0.5,static_robust_mpc,2016,2005,11,0.9945436507936508,0.9583333333333334,11,0,0,-9.981085683818948e-05,0.6075791172131305,1.3340703750145622
none_s0.0,0.75,eact_mpc,2016,2012,4,0.998015873015873,0.9538690476190477,4,0,0,-9.9172580544149e-05,0.6297404492061538,1.6128479250764942
none_s0.0,0.75,nominal_causal_mpc,2016,2012,4,0.998015873015873,0.9201388888888888,3,1,0,-8.8653482158918e-05,0.5972174133908877,1.6079822250758298
none_s0.0,0.75,static_robust_mpc,2016,2013,3,0.9985119047619048,0.9702380952380952,3,0,0,-8.934358263346098e-05,0.6017821092757495,1.2644151750428136
none_s0.0,1.0,eact_mpc,2016,2016,0,1.0,0.9568452380952381,0,0,0,-9.697652430062932e-05,0.5299374030255422,1.4517100749653764
none_s0.0,1.0,nominal_causal_mpc,2016,2016,0,1.0,0.9226190476190477,0,0,0,-9.76990040548742e-05,0.5113816573417381,1.4819411000062246
none_s0.0,1.0,static_robust_mpc,2016,2016,0,1.0,0.9662698412698413,0,0,0,-7.95032464040446e-05,0.5045126189993064,1.2003642749914434
