setting,forecast_stress,algorithm,common_cost,e_grid_mwh,co2_kg,e_total_mwh,recommended_exceedance_degc_h,recommended_exceedance_hours,recommended_compliance_pct,p95_t_inlet_c,p99_t_inlet_c,max_t_inlet_c,allowable_exceedance_hours
high_carbon,adverse_bias,eact_mpc,271.31820152438456,871.8558814441177,189623.81647799772,1562.7666872424688,1.9067342934183293e-07,0.0,100.0,26.82136580593711,26.90471682922977,27.0000001506978,0.0
high_carbon,adverse_bias,static_robust_mpc,269.7641859823487,867.5420282733711,187944.09810435722,1562.793959646946,6.208640960754981e-06,0.0,100.0,27.00000004425593,27.000000521475574,27.000004031937465,0.0
high_carbon,none,eact_mpc,272.8731043985328,875.2899158115916,191018.111593702,1565.2409931593693,1.5502608855892203e-07,0.0,100.0,26.812675046719303,26.90333181995258,26.99112021346221,0.0
high_carbon,none,static_robust_mpc,271.8541435559155,874.0817152027943,190270.30734514448,1563.6043792077835,2.407209471755323e-07,0.0,100.0,26.91121381089782,26.98462471017479,27.00000021696606,0.0
high_total,adverse_bias,eact_mpc,241.8001504001547,873.0926449161256,189507.1957950292,1554.911423725275,2.780482949068149e-07,0.0,100.0,26.845302222531814,26.910058735890427,27.000000182633602,0.0
high_total,adverse_bias,static_robust_mpc,241.20405401122153,869.0671584745263,188505.24257603587,1553.4202074641992,1.5548380554024397e-05,0.0,100.0,27.000000077055848,27.000001141822562,27.000011072572534,0.0
high_total,none,eact_mpc,242.97811487128524,876.2417767624479,191057.26570726352,1557.245268328724,1.892453393992355e-07,0.0,100.0,26.84298448405498,26.923531051397656,27.000000163355867,0.0
high_total,none,static_robust_mpc,242.52017611219537,874.7394317445929,190390.02893856645,1558.510150467083,4.152757554128546e-07,0.0,100.0,26.913164776516904,26.979653617077037,27.000000319069812,0.0
low_carbon,adverse_bias,eact_mpc,156.68034062020763,870.0497628226954,188394.73586304372,1558.6192455149003,9.72755360706401e-08,0.0,100.0,26.840814430323746,26.910161684594144,27.000000058686407,0.0
low_carbon,adverse_bias,static_robust_mpc,155.9282875139094,865.6384441847468,187122.15468541996,1554.221861227769,6.393827270893364e-06,0.0,100.0,27.00000005731737,27.00000028150552,27.000004776694627,0.0
low_carbon,none,eact_mpc,157.35149981384265,872.975856452576,189849.9569359145,1559.3544630443232,1.0987318284823762e-07,0.0,100.0,26.843389901683235,26.910868923986257,27.000000086381917,0.0
low_carbon,none,static_robust_mpc,157.46129012217384,874.0158474899537,190229.09602826802,1559.6919186078842,2.7686494904107423e-07,0.0,100.0,26.917551746808172,26.979764711744068,27.00000025081313,0.0
low_total,adverse_bias,eact_mpc,179.31801964014505,871.34993008422,188827.56510153678,1563.5036543787546,1.1954344862156557e-07,0.0,100.0,26.837542307299902,26.90702367186535,26.990847140678778,0.0
low_total,adverse_bias,static_robust_mpc,178.77562082100587,867.5733336712834,187997.51559869878,1563.520443728171,3.3100534171381923e-06,0.0,100.0,27.000000041275783,27.000000161401612,27.00000227232911,0.0
low_total,none,eact_mpc,179.9819433284815,873.2844893695501,189961.35187989808,1564.6075822447183,1.1040940517403897e-07,0.0,100.0,26.839493572891993,26.906492456602194,26.99106430817686,0.0
low_total,none,static_robust_mpc,179.8437405860362,873.3182294067459,189590.95737144235,1563.5005716752528,1.603942738626074e-07,0.0,100.0,26.920577699300917,26.983005977840723,26.995146834274454,0.0
primary,adverse_bias,eact_mpc,195.6922185642587,874.4354468774708,190100.2038891454,1560.0492457212529,2.1658451743178375e-07,0.0,100.0,26.840712753774927,26.92967391932456,27.000000159488504,0.0
primary,adverse_bias,static_robust_mpc,195.0488864355814,870.3789939640801,189210.49763948112,1559.476441747418,1.0689536076443448e-05,0.0,100.0,27.00000004642091,27.000000188949528,27.00000942800666,0.0
primary,none,eact_mpc,196.0645315869033,875.3055561909872,190987.94239063232,1559.7883374002058,1.9865557051209257e-07,0.0,100.0,26.825381919449352,26.909278169868724,27.000000170656676,0.0
primary,none,static_robust_mpc,196.15901361151978,875.605778201891,190512.4214989855,1561.7505051744138,2.503410693558787e-07,0.0,100.0,26.919650746151373,26.98335233165521,27.000000228346007,0.0
