setting,scenario,metric,favorable_direction,n_pairs,mean_improvement,ci95_low,ci95_high,wilcoxon_p_value,mean_relative_improvement_pct,relative_ci95_low_pct,relative_ci95_high_pct
high_carbon,adverse_bias,common_cost,lower,12,-1.5540155420358868,-3.4383885687292803,0.014697153872167709,0.0341796875,-0.39715430446625916,-0.9542630962132903,0.133185681421544
high_carbon,adverse_bias,e_grid_mwh,lower,12,-4.313853170746744,-7.844079112291506,-1.1208622101928991,0.00244140625,-0.5332594665728088,-1.1384503417911431,-0.09617617473091905
high_carbon,adverse_bias,co2_kg,lower,12,-1679.718373640514,-3657.360477351062,-11.324102826203424,0.00927734375,-0.8532250874480078,-1.5376420617239226,-0.24279491356283966
high_carbon,adverse_bias,e_total_mwh,lower,12,0.027272404477097705,-4.7128754848469425,6.786578401605728,0.30126953125,-0.02722522288343112,-0.3068533739776129,0.3481350797309547
high_carbon,adverse_bias,recommended_exceedance_degc_h,lower,12,6.017967531413149e-06,9.351686135916637e-07,2.03174339012883e-05,0.00048828125,,,
high_carbon,adverse_bias,recommended_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
high_carbon,adverse_bias,recommended_compliance_pct,higher,12,0.0,0.0,0.0,1.0,,,
high_carbon,adverse_bias,p95_t_inlet_c,lower,12,0.1786342383188222,0.09145556985678145,0.23147328045498453,0.00048828125,,,
high_carbon,adverse_bias,p99_t_inlet_c,lower,12,0.09528369224580195,0.04820076543692803,0.13432270737963373,0.0009765625,,,
high_carbon,adverse_bias,max_t_inlet_c,lower,12,3.881239664771385e-06,1.469046268927817e-07,1.4852641183911905e-05,0.0009765625,,,
high_carbon,adverse_bias,min_allowable_headroom_c,higher,12,3.8812396629950285e-06,1.4593400191239188e-07,1.4856167026936854e-05,0.0009765625,,,
high_carbon,adverse_bias,allowable_exceedance_hours,lower,12,0.0,0.0,0.0,1.0,,,
high_carbon,adverse_bias,allowable_exceedance_degc_h,lower,12,0.0,0.0,0.0,1.0,,,
high_carbon,adverse_bias,temporal_rci_hi_pct,higher,12,7.164247044499916e-07,1.1199164973163533e-07,2.4110472930753226e-06,0.00048828125,,,
