country,city,correlation,mae_mw,rmse_mw,bias_mw,capacity_factor_cds,capacity_factor_openmeteo
USA,Los Angeles,0.9999848818122865,0.010788895082391486,0.019467139729759837,1.9222504126638295e-05,0.14030486790536476,0.14030614940563985
CHN,Shanghai,0.9999831951170299,0.020118664297973918,0.031556378956637585,-0.00012628557094600766,0.42111364899717824,0.42110522995911526
GBR,Cardiff,0.9999848943561969,0.018998597181140574,0.030953596258226617,-0.0005700928925360538,0.4414596374493633,0.44142163125652745
AUS,Sydney,0.9999863602549806,0.018142306272323258,0.029747201442761533,-0.00014179598554130414,0.4300895799716177,0.43008012690591485
JPN,Tokyo,0.9999853776340667,0.01745130236982445,0.028374244702106845,-0.0003271331621622985,0.3367842577616467,0.3367624488841693
IRL,Dublin,0.9999878158395625,0.01708195564209435,0.028983715272658864,-0.00026550398045336606,0.4938258328817514,0.4938081326163879
NOR,Oslo,0.9999679985612472,0.014293872559640696,0.023385013732816994,-0.00014560433059529997,0.14061842367386596,0.1406087167184929
IND,Mumbai,0.9999855591942515,0.015453377155046947,0.02501119569209642,-0.0002777890352662886,0.2517622130322052,0.2517436937631874
MYS,Johor Bahru,0.9999666667325569,0.010850683888326187,0.01800909105883306,-2.7329444438871155e-05,0.1004023073423789,0.10040048537941632
PRT,Lisbon,0.9999846884496648,0.019470838241089798,0.031144657627090247,0.00040575853014165295,0.4444561467892558,0.4444831973579319
KOR,Incheon,0.9999856087434319,0.017245060774468662,0.028420348380080496,-5.0987443520202354e-05,0.33474359602765463,0.33474019686475326
NLD,Amsterdam,0.9999869272680231,0.01775239114221898,0.029541669031079784,-0.00011996788132965071,0.5007070665284348,0.5006990686696795
CAN,Vancouver,0.9999822192920657,0.009038639862646521,0.017909793374966645,0.0003645560770481671,0.10121479708385125,0.10123910082232114
IDN,Jakarta,0.9999747011949395,0.00990528999873976,0.01754077168643431,2.8805205727618083e-05,0.10078283365066248,0.10078475399771099
SGP,Singapore,0.9999666667325569,0.010850683888326187,0.01800909105883306,-2.7329444438871155e-05,0.1004023073423789,0.10040048537941632
